osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,lanes
25376658,Carrefour des Crus,primary,50,roundabout,True,False,24.951999999999998,"LINESTRING (4.7505946 46.1055206, 4.7506624 46.1054188, 4.7507876 46.1053476)",,
34176933,Avenue de Verdun,primary,50,,True,False,32.681,"LINESTRING (4.7505946 46.1055206, 4.7505105 46.1054215, 4.7503548 46.1052788)",D 337,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,8.211,"LINESTRING (4.7507876 46.1053476, 4.7508889 46.1053248)",,
25376660,,primary,80,,True,False,156.272,"LINESTRING (4.7532374 46.1052866, 4.7530629 46.1053262, 4.7529105 46.1053561, 4.7526187 46.1054181, 4.7522183 46.1055169, 4.7519289 46.10559, 4.7517111 46.1055997, 4.7514919 46.1055987, 4.7513879 46.1056202, 4.7512941 46.1056458)",D 337,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,10.885,"LINESTRING (4.7511711 46.1053746, 4.7512632 46.1054488)",,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,22.500999999999998,"LINESTRING (4.7512632 46.1054488, 4.751308 46.105545, 4.7512941 46.1056458)",,
34176074,,primary,80,,True,False,156.613,"LINESTRING (4.7512632 46.1054488, 4.7514122 46.1055052, 4.7515358 46.1055163, 4.7517985 46.1054859, 4.752172 46.1054208, 4.75259 46.10535, 4.7528971 46.1053049, 4.7530574 46.1052944, 4.7532374 46.1052866)",D 337,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,11.314,"LINESTRING (4.7512941 46.1056458, 4.7512235 46.105735)",,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,19.716,"LINESTRING (4.7512235 46.105735, 4.7511074 46.1057973, 4.7510035 46.10582)",,
386611860,Avenue Benoît Raclet,unclassified,,,True,False,24.416,"LINESTRING (4.7512235 46.105735, 4.7511942 46.1058394, 4.7512065 46.1059523)",,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,16.81,"LINESTRING (4.7510035 46.10582, 4.7508944 46.1058201, 4.7507904 46.1057976)",,
25376658,Carrefour des Crus,primary,50,roundabout,True,False,22.938000000000002,"LINESTRING (4.7508889 46.1053248, 4.7510375 46.1053292, 4.7511711 46.1053746)",,
34176178,,primary_link,50,,True,False,26.648,"LINESTRING (4.7508889 46.1053248, 4.7509678 46.1052711, 4.7510216 46.10519, 4.7510279 46.1051164)",,
34176513,Rue de la Serve de Vignes,unclassified,50,,True,False,18.631999999999998,"LINESTRING (4.7510279 46.1051164, 4.7510651 46.105043, 4.7511171 46.1049608)",,
34176460,,primary_link,50,,True,False,12.961,"LINESTRING (4.7510124 46.1048696, 4.7511171 46.1049608)",,
34176519,Rue de la Serve de Vignes,unclassified,50,,True,False,22.067,"LINESTRING (4.7510124 46.1048696, 4.7512938 46.1048333)",,
34176460,,primary_link,50,,True,False,19.383000000000003,"LINESTRING (4.7511171 46.1049608, 4.7511556 46.1050408, 4.7511423 46.1051303)",,
34176513,Rue de la Serve de Vignes,unclassified,50,,True,False,19.677999999999997,"LINESTRING (4.7511171 46.1049608, 4.751192 46.1049016, 4.7512938 46.1048333)",,
34176460,,primary_link,50,,True,False,27.578000000000003,"LINESTRING (4.7511423 46.1051303, 4.7511278 46.1052371, 4.7511711 46.1053746)",,
34176510,Rue de la Serve de Vignes,unclassified,50,,True,False,41.242000000000004,"LINESTRING (4.751464 46.1048375, 4.7514264 46.1048914, 4.7513111 46.1049736, 4.7511996 46.1050628, 4.7511423 46.1051303)",,
34176513,Rue de la Serve de Vignes,unclassified,50,,True,False,13.392,"LINESTRING (4.7512938 46.1048333, 4.7513851 46.1048237, 4.751464 46.1048375)",,
"[34176979, 923779244]",Avenue de Verdun,primary,50,,False,False,62.341,"LINESTRING (4.7492571 46.1049156, 4.7490094 46.1049001, 4.7488652 46.1048911, 4.7484541 46.1048511)",D 337,2
34176979,Avenue de Verdun,primary,50,,False,True,95.82,"LINESTRING (4.7492571 46.1049156, 4.7496001 46.104952, 4.7498834 46.1050353, 4.7499428 46.1050638, 4.7501137 46.1051459, 4.7503548 46.1052788)",D 337,2
34176961,Avenue de Verdun,primary,50,,True,False,34.822,"LINESTRING (4.7503548 46.1052788, 4.7506295 46.1053505, 4.7507876 46.1053476)",D 337,
34176979,Avenue de Verdun,primary,50,,False,False,95.82,"LINESTRING (4.7503548 46.1052788, 4.7501137 46.1051459, 4.7499428 46.1050638, 4.7498834 46.1050353, 4.7496001 46.104952, 4.7492571 46.1049156)",D 337,2
34177985,Avenue de Verdun,primary,,,True,False,20.025000000000002,"LINESTRING (4.7484541 46.1048511, 4.7484095 46.1048491, 4.7481949 46.1048395)",D 337,
"[34176979, 923779244]",Avenue de Verdun,primary,50,,False,True,62.341,"LINESTRING (4.7484541 46.1048511, 4.7488652 46.1048911, 4.7490094 46.1049001, 4.7492571 46.1049156)",D 337,2
34177973,Rond-Point du Lycée,primary,50,roundabout,True,False,12.445,"LINESTRING (4.7477657 46.1045539, 4.7479264 46.1045645)",,
34177973,Rond-Point du Lycée,primary,50,roundabout,True,False,13.825,"LINESTRING (4.7482366 46.1047196, 4.7482254 46.1047852, 4.7481949 46.1048395)",,
34177981,Avenue de Verdun,primary,,,True,False,22.248,"LINESTRING (4.7482366 46.1047196, 4.7484172 46.1048288, 4.7484541 46.1048511)",D 337,
34177973,Rond-Point du Lycée,primary,50,roundabout,True,False,18.971,"LINESTRING (4.7481949 46.1048395, 4.7481074 46.1048741, 4.7479631 46.1048861)",,
34177973,Rond-Point du Lycée,primary,50,roundabout,True,False,45.330999999999996,"LINESTRING (4.7479631 46.1048861, 4.7478613 46.1048769, 4.7476986 46.1048416, 4.7476375 46.1048049, 4.747605 46.1047655, 4.7475846 46.1047112, 4.7476008 46.1046515)",,
"[665397522, 735255558]",Rue Victor Hugo,tertiary,"['20', '30']",,False,True,146.73000000000002,"LINESTRING (4.7479631 46.1048861, 4.7479939 46.1049697, 4.7483623 46.105551, 4.7484333 46.1056631, 4.7485091 46.1058319, 4.7486109 46.1060585, 4.7486374 46.1061175)",D 109,2
34177973,Rond-Point du Lycée,primary,50,roundabout,True,False,31.811,"LINESTRING (4.7479264 46.1045645, 4.7481054 46.1045955, 4.748204 46.1046583, 4.7482366 46.1047196)",,
41940244,Rocade Nord de Belleville,primary,80,,False,True,66.083,"LINESTRING (4.7550643 46.1097779, 4.7548466 46.1102558, 4.7548061 46.1103446)",D 337,2
923779265,Impasse de l'Hôpital,residential,30,,True,False,19.182,"LINESTRING (4.7467545 46.1093866, 4.7468217 46.1095527)",,
923779249,Rue de la République,secondary,30,,False,False,53.748000000000005,"LINESTRING (4.7467545 46.1093866, 4.7470355 46.1093333, 4.7470658 46.1093276, 4.7474275 46.1092603)",D 37,
923779249,Rue de la République,secondary,30,,False,True,47.688,"LINESTRING (4.7467545 46.1093866, 4.7465276 46.1094306, 4.7461578 46.1094997)",D 37,
86923286,Rue du Docteur Duplant,residential,30,,True,False,72.163,"LINESTRING (4.7512449 46.1071375, 4.7512283 46.1072637, 4.7512115 46.1073914, 4.7511279 46.1076129, 4.7510895 46.1077758)",,
86923286,Rue du Docteur Duplant,residential,30,,True,False,14.514,"LINESTRING (4.7510895 46.1077758, 4.7510608 46.1079048)",,
86923323,Rue Joseph Pillard,residential,30,,True,False,69.177,"LINESTRING (4.7504632 46.108684, 4.750243 46.1080809)",,
923779249,Rue de la République,secondary,30,,False,False,39.123,"LINESTRING (4.7504632 46.108684, 4.7508881 46.1086017, 4.7509527 46.1085913)",D 37,
923779249,Rue de la République,secondary,30,,False,True,58.449,"LINESTRING (4.7504632 46.108684, 4.7499224 46.1087866, 4.7497318 46.1088225)",D 37,
