osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction,lanes
4486926,Rue Roger Salengro,residential,False,False,92.903,"LINESTRING (5.0007224 47.2920983, 5.0012358 47.291973, 5.0014849 47.2918914, 5.0016066 47.2918515, 5.0018447 47.291759)",,,,
"[1084456985, 4486926]",Rue Roger Salengro,residential,False,True,53.895,"LINESTRING (5.0007224 47.2920983, 5.0004074 47.2921687, 5.0001923 47.29222, 5.000053 47.292266)",,,,
23183246,Rue du 11 Novembre,residential,True,False,63.202,"LINESTRING (5.0007224 47.2920983, 5.0008927 47.2924326, 5.0009267 47.2924992, 5.0009505 47.2925654, 5.0009771 47.2926393)",,,,
4572858,Boulevard Édouard Branly,tertiary,False,False,75.093,"LINESTRING (5.004844 47.2945294, 5.0047309 47.2943733, 5.0046232 47.2942353, 5.0044956 47.2940671, 5.0043932 47.2939273)",,,,
23170137,Rue Alfred Changenet,tertiary,False,True,92.533,"LINESTRING (5.004844 47.2945294, 5.0046305 47.2945767, 5.0043984 47.2946265, 5.0037862 47.2947532, 5.0036725 47.2947767)",,,,
23191991,Rue Armand Thibaut,residential,False,True,104.98400000000001,"LINESTRING (5.004844 47.2945294, 5.0053373 47.2944273, 5.0054902 47.2943957, 5.0061748 47.2942524)",30,,,
"[362598000, 4572857]",Rue Pierre Curie,residential,False,False,107.881,"LINESTRING (5.0016388 47.2904907, 5.0016174 47.2904417, 5.0017021 47.2902147, 5.001846 47.289829, 5.0019036 47.2895446)",,,,
4572857,Rue Pierre Curie,residential,False,True,135.288,"LINESTRING (5.0016388 47.2904907, 5.0018435 47.2910523, 5.0019899 47.29137, 5.0020711 47.2916703)",,,,
32043314,Chemin du Clos du Roy,unclassified,False,False,139.727,"LINESTRING (5.0016388 47.2904907, 5.0012763 47.2906046, 5.0009297 47.2906714, 5.0004907 47.2907806, 4.9998921 47.290903)",,,,
23174405,Rue Roger Salengro,tertiary,False,False,10.139,"LINESTRING (5.0034778 47.2912975, 5.0035978 47.2912564)",30,,,
4572858,Boulevard Édouard Branly,tertiary,False,True,59.545,"LINESTRING (5.0034778 47.2912975, 5.0034858 47.2913531, 5.003554 47.2918305)",,,,
362598001,Rue Roger Salengro,residential,False,True,113.924,"LINESTRING (5.0034778 47.2912975, 5.0033311 47.2913303, 5.0020711 47.2916703)",,,,
4486926,Rue Roger Salengro,residential,False,True,19.719,"LINESTRING (5.0020711 47.2916703, 5.0018447 47.291759)",,,,
4572857,Rue Pierre Curie,residential,False,False,135.288,"LINESTRING (5.0020711 47.2916703, 5.0019899 47.29137, 5.0018435 47.2910523, 5.0016388 47.2904907)",,,,
362598001,Rue Roger Salengro,residential,False,False,113.924,"LINESTRING (5.0020711 47.2916703, 5.0033311 47.2913303, 5.0034778 47.2912975)",,,,
23191991,Rue Armand Thibaut,residential,False,False,104.984,"LINESTRING (5.0061748 47.2942524, 5.0054902 47.2943957, 5.0053373 47.2944273, 5.004844 47.2945294)",30,,,
23191991,Rue Armand Thibaut,residential,False,True,19.930999999999997,"LINESTRING (5.0061748 47.2942524, 5.0062282 47.2942409, 5.0063677 47.2942108, 5.0064268 47.2941984)",30,,,
23174405,Rue Roger Salengro,tertiary,False,True,53.373000000000005,"LINESTRING (5.0075668 47.2903377, 5.0074372 47.2903818, 5.0072552 47.2904396, 5.0070483 47.2904984, 5.0069187 47.2905293)",30,,,
31829537,Rue de Longvic,tertiary,True,False,21.712,"LINESTRING (5.0075668 47.2903377, 5.0075938 47.2902513, 5.0076178 47.2902355, 5.0076766 47.2901967, 5.0077069 47.2901768)",50,M 122A,,
32210362,Rue de Marsannay,tertiary,False,True,26.478,"LINESTRING (5.0075668 47.2903377, 5.007493 47.2902575, 5.0074397 47.2901996, 5.0073809 47.2901357)",50,M 122,,
