osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width,bridge,access
685728163,1,D 979,secondary,70,roundabout,True,False,10.732,"LINESTRING (4.1431708 43.5399206, 4.1431291 43.539883, 4.1430986 43.5398401)",,,,
517321207,1,D 979,secondary,70,roundabout,True,False,28.736,"LINESTRING (4.1430986 43.5398401, 4.1430801 43.5397921, 4.1430755 43.5397424, 4.1430851 43.539693, 4.1431085 43.5396461, 4.1431526 43.5395965)",,,,
"[289912488, 27061020, 1180228789]","['1', '2']",,"['secondary_link', 'tertiary']",,,True,False,123.01599999999999,"LINESTRING (4.1430986 43.5398401, 4.1429695 43.5397524, 4.1427228 43.5396398, 4.1426177 43.5395996, 4.1424787 43.5395463, 4.1422626 43.5394569, 4.1421795 43.5394203, 4.1420098 43.5393408, 4.1419798 43.5393306, 4.141925 43.5393184, 4.141807 43.5392598)",Route d'Aigues-Mortes,,,
115711083,,,residential,30,,True,False,69.597,"LINESTRING (4.1341985 43.5400476, 4.1350131 43.5398401)",Rue du Commandant Marceau,,,
27688173,,,residential,,,False,True,46.158,"LINESTRING (4.1341985 43.5400476, 4.1341819 43.5400143, 4.1341774 43.5399752, 4.1341934 43.5399216, 4.1343027 43.5397127, 4.1343303 43.5396538)",Rue de l'Égalité,,,
"[354089608, 429764265]",2,,tertiary,,,False,True,19.724999999999998,"LINESTRING (4.1341985 43.5400476, 4.1341678 43.5400738, 4.1340681 43.5401586, 4.1340399 43.5401827)",Rue du Commandant Marceau,,,
35710637,,,residential,30,,True,False,42.196000000000005,"LINESTRING (4.1364353 43.5390621, 4.1363688 43.5390446, 4.1359433 43.5389325)",Rue Gabriel Péri,5.1,,
115711083,,,residential,30,,True,False,105.998,"LINESTRING (4.1364353 43.5390621, 4.1368245 43.5382784, 4.1368446 43.5382327, 4.1368867 43.5381671)",Rue du Commandant Marceau,,,
115708450,,,residential,30,,False,False,58.419000000000004,"LINESTRING (4.1368867 43.5381671, 4.1369534 43.5380848, 4.1372117 43.5377663, 4.137254 43.5377142)",Rue du Commandant Marceau,,,
429538008,,,residential,30,,True,False,63.074999999999996,"LINESTRING (4.1368867 43.5381671, 4.1370004 43.5382351, 4.137258 43.5383549, 4.1374739 43.5384548, 4.13749 43.5384722, 4.1375145 43.5384987)",Rue du Vidourle,,,
"[27061680, 926186923, 429538006, 27061679]",,,residential,,,False,False,43.333,"LINESTRING (4.137254 43.5377142, 4.1372851 43.5376764, 4.1375073 43.5374178, 4.1375233 43.5373992, 4.1375391 43.5373839)",Pont Tournant,,movable,
115708450,,,residential,30,,False,True,58.419,"LINESTRING (4.137254 43.5377142, 4.1372117 43.5377663, 4.1369534 43.5380848, 4.1368867 43.5381671)",Rue du Commandant Marceau,,,
"[655950025, 41420498]",2,,residential,,,True,False,73.549,"LINESTRING (4.1383773 43.5363704, 4.1384138 43.5363704, 4.1384705 43.5363851, 4.1386619 43.5364758, 4.1391478 43.5367146)",Rue de la Rotonde,,,
943235048,2,,tertiary,,,False,False,32.174,"LINESTRING (4.1383773 43.5363704, 4.1382898 43.5362926, 4.1382214 43.5362375, 4.1381764 43.5361866, 4.1381489 43.536136)",Rue de la Rotonde,,,
1173730120,2,D 62B,secondary,,,True,False,11.096,"LINESTRING (4.1433035 43.5399807, 4.1431702 43.5400056)",,,,
1173817361,1,D 979,secondary,70,roundabout,True,False,12.702,"LINESTRING (4.1433035 43.5399807, 4.1432322 43.5399564, 4.1431708 43.5399206)",,,,
27047892,2,D 62B,secondary,,,True,False,9.452,"LINESTRING (4.1431702 43.5400056, 4.1431705 43.5399566, 4.1431708 43.5399206)",,,,
"[1180228790, 27061022]",1,,"['tertiary_link', 'tertiary']",,,True,False,107.48100000000001,"LINESTRING (4.1420944 43.5391922, 4.1420751 43.5392333, 4.1420763 43.5392723, 4.1421112 43.5393268, 4.142156 43.5393519, 4.1422098 43.5393786, 4.1424785 43.539486, 4.1426635 43.5395448, 4.1427972 43.5395854, 4.142846 43.5396008, 4.1429239 43.5396087, 4.1430285 43.5396029, 4.1430947 43.5395987, 4.1431526 43.5395965)",Route d'Aigues-Mortes,,,
