osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,junction,tunnel,ref
"[51362306, 51362311, 606985366, 1232193081, 1041391741]","['2', '3']","['Route de Montaigu', 'Rue des Rochettes']",tertiary,30,False,False,264.252,"LINESTRING (5.5539552 46.6682464, 5.5539783 46.6684353, 5.5539978 46.6685488, 5.5540119 46.6686317, 5.5540389 46.6687411, 5.5540628 46.6688178, 5.5540897 46.6688784, 5.5541163 46.668911, 5.5541469 46.6689368, 5.5541863 46.668961, 5.5542396 46.6689803, 5.5550559 46.6691967, 5.5552196 46.66924, 5.5553953 46.6692813, 5.5555496 46.6693127, 5.5556792 46.669332, 5.5557832 46.6693419, 5.5563596 46.669385, 5.5564592 46.6693888)",,,,,
49717048,2,Avenue de la Marseillaise,secondary,30,True,False,108.62799999999999,"LINESTRING (5.5546175 46.6725988, 5.5547006 46.6725888, 5.5550975 46.6725422, 5.5553152 46.6725166, 5.5554171 46.6725046, 5.5555179 46.6725044, 5.5555799 46.6725142, 5.5557504 46.6725517, 5.5560065 46.6726081)",,,,,
"[1173360892, 36270132, 1173360893]",,Rue Rouget de Lisle,secondary,30,False,False,79.697,"LINESTRING (5.5546175 46.6725988, 5.5546096 46.6725044, 5.5546094 46.6724865, 5.5546096 46.6724748, 5.5545554 46.6720594, 5.5545388 46.6719535, 5.5545266 46.671885)",,,,,
409974507,,Rue des Mouillères,tertiary,30,False,False,23.673,"LINESTRING (5.5635852 46.67457, 5.5638918 46.6746027)",,,,,
707247417,2,Rue François Bussenet,tertiary,30,True,False,20.987,"LINESTRING (5.5635852 46.67457, 5.5633121 46.6745926)",,,,,
409974507,,Rue des Mouillères,tertiary,30,False,True,23.673,"LINESTRING (5.5638918 46.6746027, 5.5635852 46.67457)",,,,,
1053624556,,Rue des Mouillères,residential,30,False,False,10.738999999999999,"LINESTRING (5.5638918 46.6746027, 5.5638865 46.674639, 5.5638872 46.6746629, 5.5638941 46.6746819, 5.5639048 46.6746968)",,,,,
964954224,,Rue Georges Trouillot,secondary,30,False,False,57.959999999999994,"LINESTRING (5.5551046 46.6769333, 5.5551045 46.6768838, 5.5551039 46.6768034, 5.5551022 46.6767821, 5.5550324 46.6764152)",,,,,
"[1180606341, 45343007]",,Rue de l'Aubépin,residential,30,True,False,154.501,"LINESTRING (5.5551046 46.6769333, 5.555149 46.6769344, 5.5556277 46.6769466, 5.5558128 46.6769422, 5.5558954 46.6769368, 5.5561846 46.6769, 5.5562309 46.6768949, 5.5563931 46.6768632, 5.5564172 46.6768263, 5.5564475 46.6763706)",,,,,
49628959,,Rue du Puits Salé,residential,30,True,False,80.58999999999999,"LINESTRING (5.5564475 46.6763706, 5.5565324 46.6763617, 5.5566428 46.6763426, 5.5571334 46.6762576, 5.557351 46.6762127, 5.5574086 46.6762025, 5.5574704 46.6761914)",,,,,
