osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,maxspeed,bridge
4974067,secondary,roundabout,True,False,8.077,"LINESTRING (-1.6028346 48.1211591, -1.6028581 48.1211407, -1.6028723 48.1211184, -1.602876 48.1210943)",,,,
4974067,secondary,roundabout,True,False,8.878,"LINESTRING (-1.602876 48.1210943, -1.602869 48.1210706, -1.6028516 48.1210493, -1.6028197 48.1210262)",,,,
1245868265,residential,,True,False,17.231,"LINESTRING (-1.602876 48.1210943, -1.6029642 48.1210617, -1.6030123 48.1210407, -1.6030423 48.1210231, -1.6030655 48.1210066)",Avenue de Caradeuc,,,
4974067,secondary,roundabout,True,False,3.105,"LINESTRING (-1.6026796 48.1211614, -1.6027163 48.1211748)",,,,
23859890,tertiary,,False,True,171.616,"LINESTRING (-1.6026796 48.1211614, -1.6026087 48.1211872, -1.6025378 48.1212029, -1.6024969 48.1212094, -1.6022827 48.121255, -1.6018684 48.1213803, -1.6012961 48.1215548, -1.600786 48.1217094, -1.6005634 48.1217784)",Rue de Belle Épine,,,
4974067,secondary,roundabout,True,False,18.282999999999998,"LINESTRING (-1.6027047 48.1210247, -1.6026833 48.1210329, -1.6026572 48.1210504, -1.6026402 48.1210723, -1.6026339 48.1210966, -1.6026388 48.121121, -1.6026545 48.1211433, -1.6026796 48.1211614)",,,,
4974066,secondary,roundabout,True,False,20.445999999999998,"LINESTRING (-1.6010095 48.1186756, -1.601106 48.1186518, -1.6011586 48.1186042, -1.6011384 48.1185498)",,,,
4974079,secondary,,False,False,279.85800000000006,"LINESTRING (-1.6010095 48.1186756, -1.6010431 48.1187154, -1.6010708 48.1187483, -1.6010766 48.1187551, -1.6012962 48.1190339, -1.6015399 48.1193314, -1.6016656 48.1194829, -1.601692 48.1195154, -1.6017441 48.1195796, -1.6019964 48.1198826, -1.602161 48.1200844, -1.6021871 48.1201154, -1.6022927 48.1202411, -1.6024661 48.1204495, -1.602596 48.1206044, -1.6026415 48.1206743, -1.6026822 48.1207464, -1.6027136 48.1208165, -1.6027414 48.1209044)",Rue de la Chalotais,2,,
4974066,secondary,roundabout,True,False,15.887999999999998,"LINESTRING (-1.6011384 48.1185498, -1.6010751 48.1185028, -1.6009633 48.1184749)",,,,
5363010,secondary,,False,False,23.346,"LINESTRING (-1.6011384 48.1185498, -1.6011974 48.1185512, -1.6012564 48.1185527, -1.6013125 48.118554, -1.6013976 48.1185561, -1.6014527 48.118557)",Mail de Bourgchevreuil,,30,
