osmid,highway,junction,oneway,reversed,length,geometry,name,ref,maxspeed,bridge,lanes
34917172,primary,roundabout,True,False,15.100000000000001,"LINESTRING (1.9015676 43.9013709, 1.901523 43.9013737, 1.9014791 43.9013675, 1.9014393 43.9013528, 1.9014185 43.9013403, 1.9014009 43.9013254)",,,,,
60947766,residential,,False,False,85.835,"LINESTRING (1.9018224 43.9007116, 1.9019705 43.9006967, 1.9022302 43.9006814, 1.9028875 43.9006296)",Rue des Chalets,,,,
589087353,primary,,False,False,86.12700000000001,"LINESTRING (1.9018224 43.9007116, 1.901798 43.900653, 1.9017655 43.900593, 1.9017248 43.9005388, 1.9016884 43.9005037, 1.9016661 43.9004822, 1.9016029 43.9004421, 1.9015297 43.9004084, 1.9013935 43.9003615, 1.9012044 43.9003088, 1.901131 43.9002909, 1.9010235 43.9002619)",Avenue Jean Calvet,D 30,,,
589087355,primary,,False,True,22.114,"LINESTRING (1.9018224 43.9007116, 1.9018173 43.9008165, 1.9017892 43.9009082)",Avenue Jean Calvet,D 30,,,
154376733,primary,roundabout,True,False,9.003,"LINESTRING (1.8988553 43.8996984, 1.8988387 43.8997226, 1.8988135 43.8997426, 1.8987818 43.8997569)",,,,,
589087353,primary,,False,True,184.675,"LINESTRING (1.8988553 43.8996984, 1.8989815 43.8997312, 1.8990739 43.8997552, 1.899983 43.8999913, 1.9001204 43.9000272, 1.9010235 43.9002619)",Avenue Jean Calvet,D 30,,,
34916677,primary,,True,False,56.992999999999995,"LINESTRING (1.8985525 43.8999519, 1.8983145 43.9000259, 1.8978984 43.9001533)",Boulevard Gambetta,D 988,,,
60929015,residential,,True,False,24.177,"LINESTRING (1.8985525 43.8999519, 1.8986305 43.9000018, 1.8987781 43.9000963)",Rue de la Voulte,,,,
154376733,primary,roundabout,True,False,14.301,"LINESTRING (1.8988008 43.8995849, 1.8988336 43.8996067, 1.8988549 43.899635, 1.8988624 43.8996667, 1.8988553 43.8996984)",,,,,
34916677,primary,,True,False,28.62,"LINESTRING (1.8987818 43.8997569, 1.8987256 43.8997926, 1.8986671 43.8998425, 1.8986199 43.8999014, 1.8985525 43.8999519)",Boulevard Gambetta,D 988,,,
154376733,primary,roundabout,True,False,13.666,"LINESTRING (1.8987818 43.8997569, 1.8987406 43.8997649, 1.898698 43.8997634, 1.8986581 43.8997525, 1.8986249 43.8997333)",,,,,
154376733,primary,roundabout,True,False,17.866999999999997,"LINESTRING (1.8986249 43.8997333, 1.8986064 43.8997146, 1.8985944 43.8996933, 1.8985895 43.8996706, 1.8985947 43.8996403, 1.8986125 43.8996125, 1.8986413 43.89959)",,,,,
654287029,primary,,True,False,73.131,"LINESTRING (1.8978984 43.9001533, 1.897704 43.9002109, 1.8974699 43.9002803, 1.8972578 43.9003301, 1.8971157 43.9003583, 1.8970526 43.9003925)",Place de la Libération,D 988,,,
154376735,primary,roundabout,True,False,3.347,"LINESTRING (1.8970526 43.9003925, 1.8970375 43.9004029, 1.89702 43.9004111)",,,,,
35275945,primary,,False,False,168.256,"LINESTRING (1.8952445 43.901334, 1.895521 43.9011947, 1.8957382 43.9010926, 1.8958222 43.9010488, 1.8959067 43.900999, 1.8963614 43.9007152, 1.8965301 43.9006242, 1.8966448 43.9005659, 1.8966795 43.9005476, 1.8968939 43.9004018)",Rue Joseph Rigal,D 988,30,,
"[35580752, 35275945]",primary,,False,"[False, True]",89.147,"LINESTRING (1.8952445 43.901334, 1.8951738 43.9013732, 1.8950943 43.9014128, 1.895028 43.9014495, 1.8949718 43.9014817, 1.8946048 43.9017165, 1.894552 43.9017492, 1.8944804 43.9017919, 1.8943872 43.9018441)",Rue Joseph Rigal,D 988,30,,
37803201,residential,,True,False,56.523,"LINESTRING (1.8952445 43.901334, 1.8952998 43.9013538, 1.8958596 43.9015828)",Rue Gaubil,,50,,
147476083,primary,,False,True,31.195,"LINESTRING (1.9017892 43.9009082, 1.9016634 43.9010881, 1.9016156 43.9011593)",Avenue Jean Calvet,D 30,,,
589087355,primary,,False,False,22.114,"LINESTRING (1.9017892 43.9009082, 1.9018173 43.9008165, 1.9018224 43.9007116)",Avenue Jean Calvet,D 30,,,
685102952,residential,,True,False,86.899,"LINESTRING (1.9017892 43.9009082, 1.9016201 43.9008419, 1.9013127 43.900727, 1.9008033 43.9005858)",Rue de la Voulte,,,,
34917172,primary,roundabout,True,False,17.552999999999997,"LINESTRING (1.9014009 43.9013254, 1.9013772 43.9012899, 1.9013713 43.9012506, 1.9013841 43.9012122, 1.9014141 43.9011792)",,,,,
"[35275954, 589087260]",primary,,True,False,45.283,"LINESTRING (1.9014009 43.9013254, 1.9013279 43.9013104, 1.90123 43.9013162, 1.901171 43.9013326, 1.9011147 43.9013577, 1.9010597 43.9013993, 1.900943 43.9014998)",Place Jean Moulin,D 4,,,
34917172,primary,roundabout,True,False,13.087,"LINESTRING (1.9016156 43.9011593, 1.9016721 43.9012018, 1.9016924 43.9012588)",,,,,
147476083,primary,,False,False,31.195,"LINESTRING (1.9016156 43.9011593, 1.9016634 43.9010881, 1.9017892 43.9009082)",Avenue Jean Calvet,D 30,,,
35275953,primary,,False,False,55.614999999999995,"LINESTRING (1.900943 43.9014998, 1.9008424 43.9016119, 1.9007794 43.9016834, 1.90068 43.9018097, 1.9005833 43.9019274)",Place Jean Moulin,D 4,50,,
35275955,primary,,True,False,39.766,"LINESTRING (1.900943 43.9014998, 1.9010637 43.9013268, 1.9010919 43.9012833, 1.9011053 43.9012504, 1.9011174 43.9012312, 1.9011469 43.901207, 1.9011844 43.9011983)",Place Jean Moulin,D 4,,,
37803202,residential,,False,False,85.452,"LINESTRING (1.9004311 43.9021, 1.9003987 43.902094, 1.9001297 43.9020289, 1.8997188 43.9019069, 1.899434 43.9018284)",Rue du Champ de Calvet,,50,,
"[35275953, 319975499]",primary,,False,True,22.739,"LINESTRING (1.9004311 43.9021, 1.9005012 43.9020222, 1.9005298 43.9019892, 1.9005833 43.9019274)","['Place Jean Moulin', 'Rue Aristide Briand']",D 4,50,,
589086995,primary,,True,False,91.73600000000002,"LINESTRING (1.9004311 43.9021, 1.9003893 43.9021626, 1.9001453 43.902411, 1.9000598 43.9024905, 1.9000072 43.9025299, 1.8998564 43.9026429, 1.8997671 43.9027124, 1.8997179 43.9027393)",Rue Aristide Briand,D 4,50,,
160694014,secondary,,False,True,47.601,"LINESTRING (1.8963965 43.8980411, 1.8958966 43.8978414, 1.8958768 43.8978337)",Rue Cavaille-Coll,D 87,,,
589249969,secondary,,False,False,73.484,"LINESTRING (1.8963965 43.8980411, 1.8968055 43.8982103, 1.8971389 43.8983566, 1.8971868 43.8983763)",Rue Cavaille-Coll,D 87,,,
35275944,primary,roundabout,True,False,12.754999999999999,"LINESTRING (1.8908457 43.9024298, 1.8908142 43.9024474, 1.890777 43.9024574, 1.8907372 43.9024591, 1.8906986 43.9024522)",,,,,
292355065,primary,,True,False,18.297,"LINESTRING (1.8908457 43.9024298, 1.8908415 43.9024799, 1.8908532 43.9025187, 1.8908684 43.9025575, 1.8908642 43.9025917)",Rue de l'Égalité,D 922,,,
35275944,primary,roundabout,True,False,7.104,"LINESTRING (1.8906986 43.9024522, 1.890661 43.9024353, 1.8906332 43.9024104)",,,,,
35275944,primary,roundabout,True,False,10.457,"LINESTRING (1.8906494 43.9023001, 1.8906831 43.9022802, 1.8907238 43.9022693, 1.8907673 43.9022684)",,,,,
174892921,primary,,True,False,18.256,"LINESTRING (1.8906494 43.9023001, 1.8906519 43.9022887, 1.8906514 43.9022759, 1.8906494 43.9022609, 1.8906473 43.9022441, 1.8906392 43.902221, 1.890625 43.9021972, 1.8905857 43.9021464)",Avenue Saint-Exupéry,D 988,,,
60928731,residential,,False,True,34.924,"LINESTRING (1.89702 43.9004111, 1.8970672 43.9004989, 1.8970712 43.9007188)",Place d'Hautpoul,,,,
154376735,primary,roundabout,True,False,10.725,"LINESTRING (1.89702 43.9004111, 1.8969884 43.9004191, 1.896955 43.9004202, 1.8969225 43.9004142, 1.8968939 43.9004018)",,,,,
154376735,primary,roundabout,True,False,6.834,"LINESTRING (1.8969596 43.9002562, 1.896988 43.9002575, 1.8970151 43.9002638, 1.8970391 43.9002747)",,,,,
184589962,residential,,False,True,34.855000000000004,"LINESTRING (1.8969596 43.9002562, 1.8968696 43.9000586, 1.8968333 43.8999564)",Côte du Tarn,C 20,,,
35275947,primary,,True,False,152.31699999999998,"LINESTRING (1.8970391 43.9002747, 1.8971223 43.9003017, 1.8972901 43.9002924, 1.8974812 43.9002512, 1.8976731 43.9001946, 1.897745 43.900173, 1.8981382 43.9000549, 1.8983313 43.8999957, 1.8985268 43.8999276, 1.898588 43.8998856, 1.8986262 43.899822, 1.8986249 43.8997333)",Place de la Libération,D 988,,,
154376735,primary,roundabout,True,False,14.597000000000001,"LINESTRING (1.8970391 43.9002747, 1.8970632 43.9002944, 1.8970775 43.9003186, 1.8970805 43.9003447, 1.8970719 43.9003702, 1.8970526 43.9003925)",,,,,
