osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,maxspeed,junction,tunnel,access,bridge
175831619,residential,False,False,17.91,,,"LINESTRING (2.2586276 48.7777856, 2.2588067 48.777676)",,,,,,
20628917,secondary,True,False,37.557,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2586276 48.7777856, 2.2585575 48.7777374, 2.2584994 48.7776974, 2.2582732 48.7775416)",,,,,,
175831619,residential,False,True,17.91,,,"LINESTRING (2.2588067 48.777676, 2.2586276 48.7777856)",,,,,,
20629554,secondary,True,False,101.30599999999998,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2588067 48.777676, 2.2589208 48.7777593, 2.259638 48.7782695, 2.2597415 48.7783472)",,,,,,
24739164,unclassified,False,False,11.222,,,"LINESTRING (2.2635391 48.7810547, 2.2633933 48.7810856)",,,,,,
"[685379590, 229749591]",secondary,True,False,68.867,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2635391 48.7810547, 2.2635847 48.781143, 2.2636505 48.7812704, 2.2637132 48.7813908, 2.2638402 48.7816414)",,,,,,
24739164,unclassified,False,True,11.222,,,"LINESTRING (2.2633933 48.7810856, 2.2635391 48.7810547)",,,,,,
24739420,unclassified,False,False,16.013,,Grand'Place,"LINESTRING (2.2633933 48.7810856, 2.2631823 48.7811231)",2,,,,,
229749589,residential,True,False,98.97,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2633933 48.7810856, 2.2631249 48.7805745, 2.2630222 48.7804273, 2.26286 48.7802736)",,30,,,,
685379591,secondary,True,False,79.313,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2633933 48.7810856, 2.2633566 48.780944, 2.2633177 48.7808211, 2.2632748 48.7806735, 2.2632037 48.7805056, 2.2631519 48.7803911)",,,,,,
24739420,unclassified,False,False,47.114,,Grand'Place,"LINESTRING (2.2631823 48.7811231, 2.2625818 48.7812746)",2,,,,,
24739420,unclassified,False,True,16.013,,Grand'Place,"LINESTRING (2.2631823 48.7811231, 2.2633933 48.7810856)",2,,,,,
24739165,unclassified,True,False,88.33800000000001,,Grand'Place,"LINESTRING (2.2631823 48.7811231, 2.2632774 48.7813033, 2.2632683 48.7813507, 2.2628291 48.7814695, 2.2627899 48.7814823, 2.2627165 48.7814624, 2.2626084 48.781317)",1,,,,,
24739420,unclassified,False,True,47.114,,Grand'Place,"LINESTRING (2.2625818 48.7812746, 2.2631823 48.7811231)",2,,,,,
1083472245,unclassified,False,True,5.102,,Grand'Place,"LINESTRING (2.2625818 48.7812746, 2.2626084 48.781317)",1,,,,,
24739419,unclassified,True,False,82.021,,Grande Rue,"LINESTRING (2.2622938 48.7805618, 2.2625818 48.7812746)",1,30,,,,
202979973,residential,False,False,52.431,,Rue des Azalées,"LINESTRING (2.2622938 48.7805618, 2.2624019 48.7805048, 2.2627413 48.7803374, 2.26286 48.7802736)",,,,,,
24739417,residential,True,False,9.811,,Place François Spoerry,"LINESTRING (2.2616656 48.7802334, 2.2616871 48.7802228, 2.2617124 48.7802171, 2.2617392 48.7802168, 2.2617649 48.7802218, 2.2617869 48.7802318)",,,roundabout,,,
24739418,residential,False,False,31.439,,Villa des Hortensias,"LINESTRING (2.2617869 48.7802318, 2.2620689 48.7800187)",,,,,,
24739417,residential,True,False,10.004,,Place François Spoerry,"LINESTRING (2.2617869 48.7802318, 2.2618036 48.7802461, 2.2618127 48.780263, 2.2618133 48.780281, 2.2618054 48.7802982, 2.2617898 48.780313)",,,roundabout,,,
24739417,residential,True,False,19.895000000000003,,Place François Spoerry,"LINESTRING (2.2617898 48.780313, 2.2617698 48.7803231, 2.2617462 48.780329, 2.2617211 48.7803302, 2.2616965 48.7803266, 2.2616719 48.7803171, 2.2616534 48.7803029, 2.2616428 48.7802855, 2.2616414 48.7802668, 2.2616493 48.7802487, 2.2616656 48.7802334)",,,roundabout,,,
24739419,unclassified,True,False,46.143,,Grande Rue,"LINESTRING (2.2617898 48.780313, 2.2618645 48.7803499, 2.2622938 48.7805618)",1,30,,,,
202979973,residential,False,True,52.431,,Rue des Azalées,"LINESTRING (2.26286 48.7802736, 2.2627413 48.7803374, 2.2624019 48.7805048, 2.2622938 48.7805618)",,,,,,
229749589,residential,True,False,94.92,D 75,Avenue Charles de Gaulle,"LINESTRING (2.26286 48.7802736, 2.2627652 48.7802016, 2.2625564 48.7800797, 2.2622315 48.7799074, 2.2618813 48.7797162)",,30,,,,
1245617017,secondary,False,True,10.555,,Place Charles Pasqua,"LINESTRING (2.2608117 48.7792355, 2.2608509 48.7792158, 2.2608813 48.7791901, 2.2609 48.7791629)",,,circular,,,
1245617018,secondary,False,False,14.815000000000001,,Place Charles Pasqua,"LINESTRING (2.2608117 48.7792355, 2.2607649 48.7792482, 2.2607147 48.7792523, 2.2606647 48.7792477, 2.2606182 48.7792347)",,,circular,,,
27515087,tertiary,False,False,48.039,,Avenue Aristide Briand,"LINESTRING (2.2606182 48.7792347, 2.2605916 48.7792982, 2.2604609 48.7795707, 2.2604281 48.7796481)",,50,,,,
1245617018,secondary,False,True,14.815,,Place Charles Pasqua,"LINESTRING (2.2606182 48.7792347, 2.2606647 48.7792477, 2.2607147 48.7792523, 2.2607649 48.7792482, 2.2608117 48.7792355)",,,circular,,,
1245617019,secondary,False,False,17.598,,Place Charles Pasqua,"LINESTRING (2.2606182 48.7792347, 2.260572 48.7792094, 2.2605398 48.779176, 2.260525 48.7791377, 2.2605288 48.7790982)",,,circular,,,
351163525,secondary,True,False,9.085999999999999,,Place Charles Pasqua,"LINESTRING (2.2606564 48.7790057, 2.2607177 48.7789995, 2.2607788 48.7790064)",,,roundabout,,,
1245617020,secondary,False,True,14.465,,Place Charles Pasqua,"LINESTRING (2.2606564 48.7790057, 2.2605983 48.7790261, 2.260554 48.7790582, 2.2605288 48.7790982)",,,circular,,,
"[300625730, 24739427]",secondary,True,False,143.99099999999999,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2609 48.7791629, 2.2609776 48.7792035, 2.2612087 48.7793235, 2.2616013 48.7795126, 2.261761 48.779591, 2.2618121 48.7796161, 2.2623113 48.7798437, 2.2624765 48.779935)",2,,,,,
1245617016,secondary,False,True,21.484,,Place Charles Pasqua,"LINESTRING (2.2609 48.7791629, 2.2609078 48.7791224, 2.2608975 48.7790849, 2.2608708 48.7790512, 2.26083 48.7790242, 2.2607788 48.7790064)",,,circular,,,
1245617017,secondary,False,False,10.555,,Place Charles Pasqua,"LINESTRING (2.2609 48.7791629, 2.2608813 48.7791901, 2.2608509 48.7792158, 2.2608117 48.7792355)",,,circular,,,
236596320,secondary,False,True,71.516,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2631519 48.7803911, 2.2629665 48.7802077, 2.2626448 48.7800218, 2.2624765 48.779935)",2,,,,,
685379592,secondary,True,False,79.261,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2631519 48.7803911, 2.2632625 48.7805224, 2.2635391 48.7810547)",,,,,,
"[482038408, 20628917]",secondary,True,False,97.836,D 75,Avenue Charles de Gaulle,"LINESTRING (2.2605288 48.7790982, 2.2604139 48.7790167, 2.2603635 48.7789809, 2.2601427 48.7788207, 2.2596243 48.778451)",,,,,,
1245617019,secondary,False,True,17.598,,Place Charles Pasqua,"LINESTRING (2.2605288 48.7790982, 2.260525 48.7791377, 2.2605398 48.779176, 2.260572 48.7792094, 2.2606182 48.7792347)",,,circular,,,
1245617020,secondary,False,False,14.465,,Place Charles Pasqua,"LINESTRING (2.2605288 48.7790982, 2.260554 48.7790582, 2.2605983 48.7790261, 2.2606564 48.7790057)",,,circular,,,
27515087,tertiary,False,False,45.562,,Avenue Aristide Briand,"LINESTRING (2.2604281 48.7796481, 2.2603491 48.7797185, 2.2601607 48.7797669, 2.2599617 48.77981, 2.2598908 48.7798302)",,50,,,,
27515087,tertiary,False,True,48.039,,Avenue Aristide Briand,"LINESTRING (2.2604281 48.7796481, 2.2604609 48.7795707, 2.2605916 48.7792982, 2.2606182 48.7792347)",,50,,,,
"[377870048, 377870049]",residential,True,False,69.83,,Grande Rue,"LINESTRING (2.2604281 48.7796481, 2.2606591 48.7797577, 2.2606721 48.7797639, 2.261201 48.7800155)",,30,,building_passage,,
27515087,tertiary,False,True,92.326,,Avenue Aristide Briand,"LINESTRING (2.2586901 48.7800819, 2.2589055 48.7800337, 2.2594131 48.7799288, 2.2598908 48.7798302)",,50,,,,
27515088,tertiary,False,False,255.74200000000002,,Rue Pierre d'Artagnan,"LINESTRING (2.2586901 48.7800819, 2.2588049 48.7805914, 2.258822 48.7806658, 2.2588343 48.780719, 2.2589149 48.7810692, 2.2589269 48.7811216, 2.2589354 48.7811586, 2.2589516 48.7812295, 2.2589619 48.7812746, 2.259046 48.781642, 2.2590769 48.7817768, 2.2590888 48.7818289, 2.259136 48.7820612, 2.2591663 48.7822275, 2.2591622 48.7822906, 2.2591552 48.7823587)",2,50,,,yes,
