osmid,oneway,name,highway,reversed,length,geometry,junction,maxspeed,lanes,ref,tunnel,bridge
8876528,False,Rue de Gros Bois,residential,False,75.254,"LINESTRING (2.8100445 48.3709574, 2.8093193 48.370567, 2.809253 48.3705313)",,,,,,
9036186,False,Rue de la Croix Rouge,residential,False,78.434,"LINESTRING (2.8100445 48.3709574, 2.8100149 48.3710028, 2.8096945 48.3715107, 2.8096297 48.3716067)",,,,,,
9036186,False,Rue de la Croix Rouge,residential,True,78.43400000000001,"LINESTRING (2.8096297 48.3716067, 2.8096945 48.3715107, 2.8100149 48.3710028, 2.8100445 48.3709574)",,,,,,
23275177,False,Rue des Rogeries,residential,True,46.994,"LINESTRING (2.8096297 48.3716067, 2.8097606 48.3716658, 2.809851 48.3717011, 2.8099379 48.371728, 2.8101471 48.3718488)",,,,,,
459764993,True,Place de la Division Leclerc,secondary,False,16.544999999999998,"LINESTRING (2.8211537 48.3722977, 2.8211764 48.3723133, 2.821192 48.3723324, 2.8211991 48.3723536, 2.8211974 48.3723752, 2.8211908 48.3723901, 2.82118 48.3724038, 2.8211653 48.3724159, 2.8211474 48.3724258)",roundabout,,,,,
9641384,False,Rue de la République,residential,True,86.05999999999999,"LINESTRING (2.8150243 48.369802, 2.8149568 48.3698323, 2.8141864 48.3701884, 2.8140593 48.3702348)",,50,,,,
"[658132387, 658132388]",False,Avenue Georges Clemenceau,tertiary,True,35.421,"LINESTRING (2.8150243 48.369802, 2.814785 48.3696416, 2.8147308 48.3696012, 2.8146948 48.3695709)",,30,2,D 104,,
"[45848872, 709278085]",False,Avenue Georges Clemenceau,tertiary,False,124.507,"LINESTRING (2.8150243 48.369802, 2.8151835 48.3698956, 2.8154263 48.3700301, 2.8156042 48.3701167, 2.8156328 48.3701353, 2.8156443 48.3701427, 2.8157678 48.3702077, 2.8158061 48.3702268, 2.8162955 48.3704694, 2.8163458 48.3704958)",,50,2,D 104,,
1022198641,False,Rue de Grez,tertiary,True,15.431,"LINESTRING (2.8163458 48.3704958, 2.81652 48.3705724)",,,,D 104,,
"[45848872, 709278085]",False,Avenue Georges Clemenceau,tertiary,True,124.507,"LINESTRING (2.8163458 48.3704958, 2.8162955 48.3704694, 2.8158061 48.3702268, 2.8157678 48.3702077, 2.8156443 48.3701427, 2.8156328 48.3701353, 2.8156042 48.3701167, 2.8154263 48.3700301, 2.8151835 48.3698956, 2.8150243 48.369802)",,50,2,D 104,,
215015238,True,Rue de Grez,tertiary,False,8.971,"LINESTRING (2.8171616 48.3709414, 2.8170707 48.3708879)",,,,D 104,,
658132382,True,Rue Montmartre,living_street,False,41.635,"LINESTRING (2.8171616 48.3709414, 2.8174879 48.370768, 2.8176189 48.3707255)",,20,,,,
91448611,False,Rue Grande,tertiary,True,19.5,"LINESTRING (2.8182164 48.3727846, 2.8184634 48.3727227)",,,,D 302,,
11087419,True,Rue de l'Église,living_street,False,26.317,"LINESTRING (2.8182164 48.3727846, 2.8182116 48.3727353, 2.8180858 48.3725677)",,20,,D 104,,
11078213,False,Rue de Madame,residential,True,116.86099999999999,"LINESTRING (2.8177883 48.3699285, 2.8177578 48.3699478, 2.8172687 48.3702779, 2.8172318 48.3703019, 2.8170374 48.3703928, 2.8166285 48.370584, 2.8165803 48.370599)",,,,,,
45560482,False,Rue de Madame,residential,False,64.323,"LINESTRING (2.8177883 48.3699285, 2.8178932 48.3698481, 2.8183732 48.3695)",,,,,,
"[895590984, 9641470]",True,Rue du Donjon,residential,False,247.41400000000002,"LINESTRING (2.8177883 48.3699285, 2.8178697 48.3699219, 2.818302 48.3698868, 2.8185078 48.3698701, 2.8190634 48.3699504, 2.8191512 48.3699971, 2.8191504 48.3700414, 2.8190714 48.3701768, 2.8188784 48.3705592, 2.8188574 48.3706027, 2.8187015 48.3709845, 2.8186993 48.3710765, 2.8186933 48.3712414)",,,,,,
9641390,False,Rue des Demoiselles,living_street,False,43.371,"LINESTRING (2.8146715 48.3722425, 2.8147669 48.3722558, 2.8152351 48.3723511)",,20,,,,
10897824,False,Rue du Clos Blanchet,residential,True,91.79,"LINESTRING (2.8146715 48.3722425, 2.8145756 48.372225, 2.8142047 48.371887, 2.8139717 48.371645, 2.813928 48.3715996)",,50,,,,
106269822,False,Rue des Fossés,residential,False,159.65300000000002,"LINESTRING (2.8146715 48.3722425, 2.8146505 48.3722895, 2.8146364 48.3723284, 2.8145667 48.3725666, 2.8145092 48.3729416, 2.8145624 48.3732496, 2.8145642 48.3733164, 2.8145219 48.3734372, 2.8144374 48.3736034, 2.8144191 48.3736528)",,50,2,,,
"[658132380, 106269822, 709278815]",False,Rue des Fossés,residential,True,164.79299999999998,"LINESTRING (2.8146715 48.3722425, 2.8146902 48.3722046, 2.8147691 48.3720664, 2.8149352 48.3718564, 2.8150621 48.3717057, 2.8152157 48.3715479, 2.8152305 48.3715304, 2.8155362 48.3712218, 2.8156898 48.3710831, 2.8158115 48.3709752)",,"['50', '30']",2,,,
11264605,False,Rue de l'Echaudey,residential,True,82.72900000000001,"LINESTRING (2.8155557 48.3743291, 2.8151927 48.3745221, 2.8146896 48.3748008)",,30,,,,
20027577,False,Rue du Peintre Zanaroff,residential,False,101.67399999999999,"LINESTRING (2.8155557 48.3743291, 2.8153179 48.3742325, 2.8151409 48.3741342, 2.8146658 48.3738264, 2.8145899 48.3737749, 2.8145253 48.3737287)",,,,,,
20027577,False,Rue du Peintre Zanaroff,residential,True,78.048,"LINESTRING (2.8155557 48.3743291, 2.8158699 48.37443, 2.8160489 48.3744647, 2.8163991 48.3745018, 2.8165643 48.3745161)",,,,,,
45561217,False,Rue Grande,tertiary,False,6.289,"LINESTRING (2.8185431 48.3727028, 2.8184634 48.3727227)",,,,D 302,,
"[45849056, 205691691, 9654511, 205691696, 22873625]",False,"['Rue Grande', 'Rue du Pont du Loing']",tertiary,"[False, True]",168.15099999999998,"LINESTRING (2.8185431 48.3727028, 2.8186541 48.3726759, 2.8187573 48.3726527, 2.818781 48.3726478, 2.8187988 48.3726442, 2.8193569 48.372547, 2.8195094 48.372535, 2.8195646 48.3725307, 2.819619 48.3725282, 2.8202836 48.3724983, 2.820592 48.3724791, 2.8207714 48.3724387)",,,2,D 302,building_passage,yes
"[48861929, 957129459]",True,Rue de la Tannerie,residential,False,66.261,"LINESTRING (2.8185431 48.3727028, 2.8185529 48.3726678, 2.8184947 48.3724937, 2.8185812 48.3721161)",,20,,,,
10589212,False,Rue du Pont National,residential,False,82.582,"LINESTRING (2.8101471 48.3718488, 2.8102684 48.3717912, 2.810402 48.371711, 2.8107378 48.3714597, 2.8108528 48.3714035, 2.8109848 48.3713721)",,,,,,
20027838,False,Rue des Rogeries,residential,True,134.507,"LINESTRING (2.8101471 48.3718488, 2.8102214 48.3719088, 2.8106087 48.3722453, 2.810927 48.3725084, 2.8112236 48.372761, 2.8112629 48.3728042)",,,,,,
23275177,False,Rue des Rogeries,residential,False,46.99400000000001,"LINESTRING (2.8101471 48.3718488, 2.8099379 48.371728, 2.809851 48.3717011, 2.8097606 48.3716658, 2.8096297 48.3716067)",,,,,,
8876528,False,Rue de Gros Bois,residential,True,75.254,"LINESTRING (2.809253 48.3705313, 2.8093193 48.370567, 2.8100445 48.3709574)",,,,,,
10588905,False,Rue des Rogeries,residential,False,84.87100000000001,"LINESTRING (2.8119676 48.374381, 2.8119295 48.374309, 2.8116089 48.3736559)",,,,,,
104261481,False,Avenue Jean Jaurès,tertiary,False,63.181,"LINESTRING (2.8119676 48.374381, 2.8118548 48.3744068, 2.8111669 48.3745808)",,30,2,D 302,,
104261481,False,Avenue Jean Jaurès,tertiary,True,56.074,"LINESTRING (2.8119676 48.374381, 2.8125325 48.3742347, 2.812674 48.3741963)",,30,2,D 302,,
168924806,True,Rue Grande,tertiary,False,54.085,"LINESTRING (2.8165184 48.3732176, 2.8165917 48.3732014, 2.8172033 48.3730457)",,50,,D 302,,
168924806,True,Rue Grande,tertiary,False,80.28,"LINESTRING (2.8172033 48.3730457, 2.81727 48.3730286, 2.8173698 48.373003, 2.8176235 48.3729316, 2.8181698 48.372796, 2.8182164 48.3727846)",,50,,D 302,,
"[658132388, 658132389, 658132390]",False,Avenue Georges Clemenceau,tertiary,False,107.87400000000001,"LINESTRING (2.8138075 48.3688007, 2.8139456 48.3689165, 2.814182 48.3691259, 2.8142928 48.3692329, 2.814627 48.3695139, 2.8146948 48.3695709)",,"['50', '30']",2,D 104,,
10589219,True,Rue Georges Lioret,residential,False,76.876,"LINESTRING (2.8184717 48.3734542, 2.8184036 48.3733092, 2.8183745 48.3732426, 2.8182323 48.3728144, 2.8182164 48.3727846)",,,,,,
35465279,True,Rue de la Pêcherie,residential,False,137.068,"LINESTRING (2.8184717 48.3734542, 2.8185293 48.3735893, 2.8185511 48.3740052, 2.8185316 48.3745542, 2.8185276 48.374609, 2.8185162 48.3746807)",,,,,,
