osmid,oneway,highway,reversed,length,geometry,lanes,width,ref,name
198923396,False,residential,False,78.757,"LINESTRING (-149.3150516 -17.7223466, -149.3149361 -17.7226705, -149.314842 -17.7229145, -149.3148034 -17.7230142)",,,,
378215402,False,residential,True,159.51800000000003,"LINESTRING (-149.3167151 -17.7230742, -149.316566 -17.7231344, -149.3163522 -17.7232453, -149.3161444 -17.7234039, -149.3158502 -17.7235746, -149.3157278 -17.7236625, -149.3155487 -17.7237833, -149.3154671 -17.7238634)",,,,
378215478,False,residential,True,138.09199999999998,"LINESTRING (-149.3132078 -17.7278959, -149.3135173 -17.7271317, -149.3135316 -17.7270637, -149.3135054 -17.7269844, -149.3134864 -17.7269277, -149.3135544 -17.7267271)",,,,
731190807,False,residential,False,212.289,"LINESTRING (-149.3125181 -17.7284044, -149.3125191 -17.7284026, -149.3132048 -17.7266108)",,,,
754409495,False,secondary,False,46.623,"LINESTRING (-149.3125181 -17.7284044, -149.3121309 -17.7282694, -149.3121046 -17.7282606)",,,,
754409495,False,secondary,True,36.665000000000006,"LINESTRING (-149.3125181 -17.7284044, -149.3126985 -17.7284673, -149.3128432 -17.7285177)",,,,
754410671,False,primary,True,15.888,"LINESTRING (-149.3132048 -17.7266108, -149.3133462 -17.7266585)",2,6,,
731190807,False,residential,True,212.289,"LINESTRING (-149.3132048 -17.7266108, -149.3125191 -17.7284026, -149.3125181 -17.7284044)",,,,
754410671,False,primary,False,83.00200000000001,"LINESTRING (-149.3132048 -17.7266108, -149.3131006 -17.7265757, -149.3127647 -17.7264601, -149.3125106 -17.7263742, -149.3125043 -17.726372, -149.312467 -17.7263592)",2,6,,
754410671,False,primary,True,40.796,"LINESTRING (-149.3135544 -17.7267271, -149.3139163 -17.7268527)",2,6,,
378215478,False,residential,False,138.09199999999998,"LINESTRING (-149.3135544 -17.7267271, -149.3134864 -17.7269277, -149.3135054 -17.7269844, -149.3135316 -17.7270637, -149.3135173 -17.7271317, -149.3132078 -17.7278959)",,,,
754410671,False,primary,False,23.334,"LINESTRING (-149.3135544 -17.7267271, -149.3134627 -17.7266977, -149.3133462 -17.7266585)",2,6,,
754410671,False,primary,False,15.888,"LINESTRING (-149.3133462 -17.7266585, -149.3132048 -17.7266108)",2,6,,
198923396,False,residential,True,326.429,"LINESTRING (-149.3133462 -17.7266585, -149.3133579 -17.7266267, -149.3133952 -17.7265248, -149.3134346 -17.7264219, -149.3134991 -17.7262415, -149.3136148 -17.7259362, -149.3136752 -17.7257875, -149.3137065 -17.7257088, -149.3137929 -17.7255387, -149.3138718 -17.7253859, -149.3139088 -17.725305, -149.3139427 -17.7252197, -149.3140292 -17.7249982, -149.3141021 -17.7248242, -149.3142178 -17.724519, -149.3143077 -17.724285, -149.3144206 -17.7240093, -149.3144534 -17.7239209)",,,,
754410671,False,primary,True,23.334,"LINESTRING (-149.3133462 -17.7266585, -149.3134627 -17.7266977, -149.3135544 -17.7267271)",2,6,,
198923396,False,residential,False,326.429,"LINESTRING (-149.3144534 -17.7239209, -149.3144206 -17.7240093, -149.3143077 -17.724285, -149.3142178 -17.724519, -149.3141021 -17.7248242, -149.3140292 -17.7249982, -149.3139427 -17.7252197, -149.3139088 -17.725305, -149.3138718 -17.7253859, -149.3137929 -17.7255387, -149.3137065 -17.7257088, -149.3136752 -17.7257875, -149.3136148 -17.7259362, -149.3134991 -17.7262415, -149.3134346 -17.7264219, -149.3133952 -17.7265248, -149.3133579 -17.7266267, -149.3133462 -17.7266585)",,,,
198923396,False,residential,True,63.519,"LINESTRING (-149.3144534 -17.7239209, -149.3145129 -17.7237606, -149.3146287 -17.7234675, -149.3146604 -17.7233848)",,,,
754408668,False,residential,True,38.346000000000004,"LINESTRING (-149.3144534 -17.7239209, -149.3144667 -17.7239257, -149.3147925 -17.7240417)",,,,
338651423,False,primary,False,25.936,"LINESTRING (-149.3108674 -17.7257972, -149.3108187 -17.7257795, -149.3107447 -17.7257518, -149.3106386 -17.7257141)",2,6,RT2,
338651423,False,primary,True,16.573,"LINESTRING (-149.3108674 -17.7257972, -149.3109953 -17.7258437, -149.3110136 -17.7258503)",2,6,RT2,
754408524,False,residential,True,80.609,"LINESTRING (-149.3108674 -17.7257972, -149.3108802 -17.7257599, -149.3109478 -17.7255962, -149.3110223 -17.7253923, -149.3111303 -17.7251382, -149.3111386 -17.7251201)",,,,
754408524,False,residential,False,80.60900000000001,"LINESTRING (-149.3111386 -17.7251201, -149.3111303 -17.7251382, -149.3110223 -17.7253923, -149.3109478 -17.7255962, -149.3108802 -17.7257599, -149.3108674 -17.7257972)",,,,
375456395,False,residential,False,69.5,"LINESTRING (-149.3088444 -17.7301388, -149.3089049 -17.7298919, -149.3090193 -17.7296241, -149.3090555 -17.7295493)",,,,
754409292,False,residential,False,57.801,"LINESTRING (-149.311198 -17.7270404, -149.3117118 -17.7272156)",,,,
44116419,False,secondary,False,117.03399999999999,"LINESTRING (-149.311198 -17.7270404, -149.3113057 -17.7267529, -149.3114106 -17.7265019, -149.3115202 -17.7261908, -149.3115849 -17.7260552)",,,,
44116419,False,secondary,True,37.325,"LINESTRING (-149.311198 -17.7270404, -149.3111922 -17.7270558, -149.3110987 -17.7272986, -149.3110786 -17.7273562)",,,,
44116419,False,secondary,False,58.415000000000006,"LINESTRING (-149.3108953 -17.7278516, -149.3109993 -17.7275834, -149.3110786 -17.7273562)",,,,
44116419,False,secondary,True,243.863,"LINESTRING (-149.3108953 -17.7278516, -149.310837 -17.728005, -149.3107886 -17.7281352, -149.3107793 -17.7281603, -149.3107303 -17.728292, -149.3106352 -17.7285413, -149.3105228 -17.7288409, -149.3104782 -17.7289594, -149.310426 -17.7290982, -149.3103354 -17.7293575, -149.3102796 -17.7294931, -149.310189 -17.7297156, -149.310113 -17.729914)",,,,
754409495,False,secondary,False,178.55100000000002,"LINESTRING (-149.3108953 -17.7278516, -149.3108221 -17.7278263, -149.3106525 -17.7277679, -149.3103954 -17.7276745, -149.3101532 -17.7275881, -149.3098871 -17.7274969, -149.3097416 -17.7274477, -149.3096686 -17.727423, -149.3096066 -17.727402, -149.3094288 -17.7273239, -149.3093226 -17.727276)",,,,
754409495,False,secondary,True,135.925,"LINESTRING (-149.3108953 -17.7278516, -149.3111823 -17.7279441, -149.311535 -17.7280685, -149.3118618 -17.7281789, -149.3121046 -17.7282606)",,,,
25122443,False,secondary,False,119.118,"LINESTRING (-149.310113 -17.729914, -149.3097443 -17.7297875, -149.3091261 -17.7295738, -149.3090555 -17.7295493)",2,,RT31,
44116419,False,secondary,False,243.86300000000003,"LINESTRING (-149.310113 -17.729914, -149.310189 -17.7297156, -149.3102796 -17.7294931, -149.3103354 -17.7293575, -149.310426 -17.7290982, -149.3104782 -17.7289594, -149.3105228 -17.7288409, -149.3106352 -17.7285413, -149.3107303 -17.728292, -149.3107793 -17.7281603, -149.3107886 -17.7281352, -149.310837 -17.728005, -149.3108953 -17.7278516)",,,,
198923398,False,residential,True,349.3880000000001,"LINESTRING (-149.3152703 -17.7239977, -149.3152091 -17.7242201, -149.3151514 -17.7244438, -149.315082 -17.7246769, -149.3150157 -17.7248756, -149.3149706 -17.7250192, -149.3148797 -17.725237, -149.3147653 -17.7254782, -149.3146458 -17.7257265, -149.3145319 -17.7259709, -149.3144753 -17.7263211, -149.3144294 -17.7266079, -149.3143642 -17.7268596, -149.3143323 -17.7269941)",,,,
754408644,False,residential,False,29.999,"LINESTRING (-149.3165964 -17.7280565, -149.3166692 -17.7278276, -149.3166785 -17.7277983)",,,,
