osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,lanes
101384743,Avenue du Général Leclerc,tertiary,,False,True,49.534000000000006,"LINESTRING (-0.2759268 47.192273, -0.2759843 47.1922513, -0.2760519 47.1922051, -0.2761045 47.1921748, -0.2761744 47.1921171, -0.2762439 47.1920581, -0.2762708 47.1920291, -0.2762941 47.1919954, -0.276323 47.1919314)",,,
338070802,Place du Champ de Foire,secondary,30,False,False,94.80900000000001,"LINESTRING (-0.2759268 47.192273, -0.2758411 47.1920733, -0.2758204 47.192032, -0.2757712 47.1919342, -0.2756661 47.1917686, -0.2755791 47.1916626, -0.2755185 47.1915888, -0.275483 47.1915426, -0.2754326 47.1914942)",,6,
559739975,Place du Champ de Foire,secondary,30,False,True,55.631,"LINESTRING (-0.2759268 47.192273, -0.2760495 47.1925642, -0.2761267 47.1927545)",,6,
153977272,Rue Saint-François,residential,30,False,False,19.217,"LINESTRING (-0.2709032 47.1941136, -0.2706497 47.1940996)",,,
896595616,Rue Saint-François,residential,30,False,False,25.35,"LINESTRING (-0.2709032 47.1941136, -0.2712354 47.1941455)",,,
160997438,Rue de Cunault,residential,,False,False,138.97799999999998,"LINESTRING (-0.2709032 47.1941136, -0.2708434 47.1943136, -0.2708403 47.1943682, -0.2708388 47.1945428, -0.2708243 47.194751, -0.2708167 47.19485, -0.2708167 47.19495, -0.2708251 47.1950241, -0.2708486 47.1951542, -0.2708674 47.1952284, -0.2709009 47.1953132, -0.2709318 47.1953478)",,,
896595616,Rue Saint-François,residential,30,False,True,25.35,"LINESTRING (-0.2712354 47.1941455, -0.2709032 47.1941136)",,,
648057513,,unclassified,,False,False,135.04399999999998,"LINESTRING (-0.2712354 47.1941455, -0.2712562 47.194017, -0.2712706 47.1939285, -0.2712773 47.1938871, -0.2713319 47.1935504, -0.2713401 47.1935002, -0.2715662 47.1935208, -0.271773 47.1935396, -0.2719578 47.1935564, -0.2721646 47.1935752)",,,
896595616,Rue Saint-François,residential,30,False,False,134.825,"LINESTRING (-0.2712354 47.1941455, -0.2714308 47.1941823, -0.2715564 47.1941982, -0.2716936 47.1942039, -0.2717447 47.1942039, -0.2718145 47.1941978, -0.2719859 47.1941777, -0.2720841 47.1941629, -0.2722989 47.1941154, -0.2723976 47.1940905, -0.2726538 47.1940161, -0.2729509 47.1939545)",,,
160997487,Place de l'Ancienne Gare,residential,,False,False,47.485,"LINESTRING (-0.276432 47.1878346, -0.2760529 47.1878353, -0.2758037 47.1878312)",,,
160997487,Place de l'Ancienne Gare,residential,,False,True,46.958,"LINESTRING (-0.276432 47.1878346, -0.2768163 47.1878339, -0.2770534 47.1878334)",,,
160997487,Place de l'Ancienne Gare,residential,,False,True,47.485,"LINESTRING (-0.2758037 47.1878312, -0.2760529 47.1878353, -0.276432 47.1878346)",,,
101384756,Avenue du Général Leclerc,tertiary,,False,True,9.718,"LINESTRING (-0.2770684 47.1879202, -0.2770534 47.1878334)",,,
101384756,Avenue du Général Leclerc,tertiary,,False,False,251.643,"LINESTRING (-0.2770684 47.1879202, -0.2770828 47.1880146, -0.2766695 47.1901645)",,,
160997488,Rue Edmé Crespin Chatenay,residential,,False,True,104.349,"LINESTRING (-0.2770684 47.1879202, -0.2771691 47.1879236, -0.2773147 47.187934, -0.2777221 47.187963, -0.2784458 47.1879776)",,,
160997488,Rue Edmé Crespin Chatenay,residential,,False,False,104.349,"LINESTRING (-0.2784458 47.1879776, -0.2777221 47.187963, -0.2773147 47.187934, -0.2771691 47.1879236, -0.2770684 47.1879202)",,,
160997488,Rue Edmé Crespin Chatenay,residential,,False,True,80.16300000000001,"LINESTRING (-0.2784458 47.1879776, -0.2794349 47.1879995, -0.279506 47.1880018)",,,
