osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,width,tunnel,junction,lanes
35744378,D 69,Rue de Beauregard,secondary,False,True,93.951,"LINESTRING (4.0611173 45.6103002, 4.0620682 45.6100845, 4.062099 45.6100752, 4.0622593 45.6100267)",,,,,,
39173520,,Rue du Faubourg de la Croix,residential,True,False,160.412,"LINESTRING (4.0611173 45.6103002, 4.0609299 45.6103709, 4.0607869 45.6104248, 4.0604462 45.61053, 4.0603675 45.6105543, 4.0599439 45.6107805, 4.05982 45.6108693, 4.0594582 45.6111288)",,,,,,
589038740,D 69,Rue de Beauregard,secondary,False,False,197.82699999999997,"LINESTRING (4.0611173 45.6103002, 4.0606017 45.6102724, 4.0601051 45.6101467, 4.0600484 45.6101242, 4.0599919 45.6101047, 4.0592182 45.6098378, 4.0590882 45.6097929, 4.0587614 45.6096837)",,,,,,
589038740,D 69,Rue de Beauregard,secondary,False,False,28.423,"LINESTRING (4.0570887 45.609181, 4.0567276 45.6091419)",,,,,,
39186152,,Rue de la Plagne,residential,False,False,102.191,"LINESTRING (4.0570887 45.609181, 4.0573242 45.6085582, 4.0574195 45.6082916)",,,,,,
589038740,D 69,Rue de Beauregard,secondary,False,True,141.815,"LINESTRING (4.0570887 45.609181, 4.0574286 45.6092614, 4.0576112 45.6093045, 4.0582842 45.6095204, 4.0586326 45.6096396, 4.0587614 45.6096837)",,,,,,
35744381,,Boulevard Duguet,residential,False,False,9.521,"LINESTRING (4.0674011 45.6103299, 4.067306 45.6103838)",,,,,,
35744381,,Boulevard Duguet,residential,False,True,36.885000000000005,"LINESTRING (4.0674011 45.6103299, 4.0675002 45.6102924, 4.0675993 45.6102548, 4.0678478 45.6102632)",,,,,,
592475279,,Boulevard Duguet,residential,False,False,75.577,"LINESTRING (4.0674011 45.6103299, 4.0674693 45.6102741, 4.0675182 45.6102342, 4.0675686 45.610193, 4.0678932 45.6099585, 4.0680605 45.609831)",,,,,,
35744378,D 69,Rue de Beauregard,secondary,False,False,93.95100000000001,"LINESTRING (4.0622593 45.6100267, 4.062099 45.6100752, 4.0620682 45.6100845, 4.0611173 45.6103002)",,,,,,
595637474,,Place de la Préfecture,residential,False,False,91.14800000000001,"LINESTRING (4.0622593 45.6100267, 4.0624649 45.6099867, 4.062495 45.6099809, 4.0628213 45.6099174, 4.0631758 45.6098491, 4.0633038 45.609822, 4.0633871 45.6098044)",,,,,,
