osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,width
24584238,Place de la Révolution Française,tertiary,30,roundabout,True,False,14.966,"LINESTRING (1.3769137 43.6394309, 1.3769405 43.6393554, 1.37698 43.6393065)",,
"[27798694, 1132740447]",,trunk_link,30,,True,False,166.20999999999998,"LINESTRING (1.3769137 43.6394309, 1.376838 43.6393553, 1.3767755 43.6393257, 1.3764856 43.6392319, 1.3763891 43.6392007, 1.3763321 43.6391916, 1.3762438 43.6391975, 1.3761498 43.6392351, 1.3760734 43.639281, 1.3759598 43.6394272, 1.3755515 43.6399692)",,
24584238,Place de la Révolution Française,tertiary,30,roundabout,True,False,25.562,"LINESTRING (1.37698 43.6393065, 1.3770852 43.639271, 1.3772041 43.6392469, 1.3772821 43.6392441)",,
24584238,Place de la Révolution Française,tertiary,30,roundabout,True,False,46.742,"LINESTRING (1.3777163 43.6396186, 1.3776607 43.6396729, 1.3775736 43.6397075, 1.3774512 43.6397305, 1.3773171 43.6397266, 1.3771919 43.6397094)",,
24584300,Avenue du Général de Gaulle,tertiary,30,,False,False,242.432,"LINESTRING (1.3777163 43.6396186, 1.3778592 43.6396588, 1.3780598 43.6397241, 1.3782569 43.6397924, 1.3788944 43.640016, 1.3790421 43.6400816, 1.3790828 43.6401133, 1.3791159 43.6401487, 1.3794101 43.6405739, 1.3795719 43.6408081, 1.3797023 43.6410131, 1.3797268 43.6410481, 1.3797457 43.6410697)",,
24584300,Avenue du Général de Gaulle,tertiary,30,,False,True,242.432,"LINESTRING (1.3797457 43.6410697, 1.3797268 43.6410481, 1.3797023 43.6410131, 1.3795719 43.6408081, 1.3794101 43.6405739, 1.3791159 43.6401487, 1.3790828 43.6401133, 1.3790421 43.6400816, 1.3788944 43.640016, 1.3782569 43.6397924, 1.3780598 43.6397241, 1.3778592 43.6396588, 1.3777163 43.6396186)",,
24584303,Place de Catalogne,tertiary,30,,False,False,51.352999999999994,"LINESTRING (1.3797457 43.6410697, 1.3797786 43.6410895, 1.3800762 43.6411694, 1.380253 43.6412141, 1.380343 43.6412221)",2,
24584303,Place de Catalogne,tertiary,30,,False,True,51.352999999999994,"LINESTRING (1.380343 43.6412221, 1.380253 43.6412141, 1.3800762 43.6411694, 1.3797786 43.6410895, 1.3797457 43.6410697)",2,
24584306,Avenue du Général de Gaulle,tertiary,30,,False,False,60.774,"LINESTRING (1.380343 43.6412221, 1.3804611 43.6411839, 1.3810283 43.6409924)",2,
128417243,Place de Catalogne,residential,,,True,False,80.20899999999999,"LINESTRING (1.380343 43.6412221, 1.3803819 43.6412951, 1.3803926 43.6413112, 1.3804013 43.6413287, 1.3804101 43.6413636, 1.3804141 43.6413956, 1.3804143 43.6414078, 1.3804107 43.6414388, 1.380402 43.6414695, 1.3803429 43.6415856, 1.3802973 43.6416345, 1.380236 43.641683, 1.3801631 43.641725, 1.3800866 43.6417435, 1.3800218 43.6417435, 1.3799621 43.6417424)",,
