osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,ref
22950292,Rond-Point Charles de Gaulle,primary,roundabout,True,False,13.497,"LINESTRING (3.8108945 43.613995, 3.8108642 43.614016, 3.810827 43.6140299, 3.8107858 43.6140356, 3.8107441 43.6140327)",,,
22950292,Rond-Point Charles de Gaulle,primary,roundabout,True,False,7.561,"LINESTRING (3.8107441 43.6140327, 3.8107008 43.6140195, 3.8106655 43.6139971)",,,
57941621,Rue des Alouettes,residential,,False,True,50.14,"LINESTRING (3.8107441 43.6140327, 3.8106222 43.6141649, 3.8103997 43.6144084)",,,
22950307,Allée de l'Europe,tertiary,,True,False,124.58299999999998,"LINESTRING (3.8106655 43.6139971, 3.8105789 43.6139648, 3.8105012 43.6139578, 3.8103518 43.6139427, 3.8096607 43.6138726, 3.8095638 43.6138602, 3.8093508 43.6138384, 3.8091488 43.613798)",1,,
158243504,Rond-Point Charles de Gaulle,primary,roundabout,True,False,20.192999999999998,"LINESTRING (3.8106655 43.6139971, 3.8106406 43.6139655, 3.8106319 43.6139298, 3.8106403 43.613894, 3.8106648 43.6138623, 3.8107026 43.6138384)",,,
158243503,Rond-Point Charles de Gaulle,primary,roundabout,True,False,10.017,"LINESTRING (3.8107026 43.6138384, 3.8107615 43.6138238, 3.8108234 43.613828)",,,
102571036,Route de Saint-Georges-d'Orques,primary,,False,True,59.131,"LINESTRING (3.8108234 43.613828, 3.81093 43.6137159, 3.8110364 43.6135975, 3.8110606 43.6135705, 3.8111314 43.6134917, 3.8111584 43.6134255, 3.8111589 43.6133663)",,,
160895144,Rond-Point Charles de Gaulle,primary,roundabout,True,False,9.629999999999999,"LINESTRING (3.8108234 43.613828, 3.8108755 43.6138493, 3.8109116 43.6138838)",,,
"[102663368, 22950293]",Rue Bernard-Henri de Tréviers,primary,,True,False,374.02899999999994,"LINESTRING (3.8109116 43.6138838, 3.811022 43.6139007, 3.8111615 43.6139082, 3.8118182 43.6139483, 3.8120899 43.613963, 3.8125198 43.6139881, 3.8128097 43.6140122, 3.8130304 43.6140402, 3.8131873 43.614074, 3.8137102 43.6142099, 3.8149163 43.6145379, 3.8151974 43.6146087, 3.8153965 43.6146556)",1,,
160895145,Rond-Point Charles de Gaulle,primary,roundabout,True,False,13.058,"LINESTRING (3.8109116 43.6138838, 3.8109237 43.6139118, 3.8109249 43.6139411, 3.8109149 43.6139696, 3.8108945 43.613995)",,,
102617774,Allée de l'Europe,primary,,True,False,4.073,"LINESTRING (3.8154876 43.6146825, 3.8155152 43.6147132)",,,
22950295,Allée de l'Europe,primary,,False,False,21.607,"LINESTRING (3.8155152 43.6147132, 3.8157636 43.6147868)",2,,
