osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,tunnel,junction,access
24049552,True,Rue Hadancourt,residential,False,73.391,"LINESTRING (2.2757232 49.1481311, 2.2747873 49.1478844)",,,,,,
24049554,False,Rue de la Paix,residential,True,232.333,"LINESTRING (2.2757232 49.1481311, 2.2756862 49.1481656, 2.2743315 49.1494281, 2.2740217 49.1498471, 2.2739955 49.1498826)",,,,,,
24049552,True,Rue Hadancourt,residential,False,58.353,"LINESTRING (2.2764703 49.1483219, 2.276297 49.1482716, 2.2757232 49.1481311)",,,,,,
24049552,True,Rue Hadancourt,residential,False,71.18799999999999,"LINESTRING (2.2773811 49.1485563, 2.2769468 49.1484445, 2.2764703 49.1483219)",,,,,,
24049553,True,Rue d'Estienne d'Orves,residential,False,244.216,"LINESTRING (2.2773811 49.1485563, 2.2773379 49.1485946, 2.2762455 49.1495629, 2.275444 49.1502952, 2.2754031 49.150331)",,,,,,
253248429,False,Avenue Gaston Vermeire,secondary,True,101.108,"LINESTRING (2.2798118 49.1492386, 2.2796729 49.1493192, 2.2788899 49.1497225, 2.278724 49.1498044)",2,D 78,30,,,
"[615494513, 104524922, 104524919]",False,"['Avenue Jean Jaurès', 'Avenue Gaston Vermeire']",secondary,False,194.636,"LINESTRING (2.2798118 49.1492386, 2.2804137 49.1488699, 2.2805591 49.148784, 2.2811229 49.1485037, 2.2817713 49.1482495, 2.281926 49.1481758)",2,D 78,30,yes,,
1060837098,False,Rue Hadancourt,residential,False,46.464,"LINESTRING (2.2798118 49.1492386, 2.2797417 49.1491899, 2.2796607 49.1491398, 2.2793989 49.1490654, 2.2792691 49.1490317)",,,,,,
190866730,False,Rue Pierre Brossolette,residential,False,33.141,"LINESTRING (2.2754031 49.150331, 2.2750886 49.1502303, 2.2749944 49.1501992)",,,,,,
190866730,False,Rue Pierre Brossolette,residential,True,113.349,"LINESTRING (2.2754031 49.150331, 2.2754909 49.1503548, 2.2767174 49.1507644, 2.2768013 49.1507777)",,,,,,
424920689,False,Rue Jeanne d'Arc,unclassified,True,44.04,"LINESTRING (2.2754031 49.150331, 2.2753461 49.1503645, 2.2749185 49.1505681)",,,,,,
