osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed,lanes,junction,width,access,tunnel
240839612,True,unclassified,False,35.217,"LINESTRING (2.1285337 48.8303422, 2.1285915 48.8304083, 2.1285648 48.8306481)",,,,,,,,
"[19844669, 748860327]",True,secondary,False,91.887,"LINESTRING (2.1285648 48.8306481, 2.1284703 48.8308034, 2.1283614 48.8310071, 2.1282698 48.8311673, 2.1282441 48.8312355, 2.1282282 48.8313166, 2.1282205 48.8314364)",D 321,Rue de Versailles,50,1,,,,
207875600,False,secondary,False,11.008,"LINESTRING (2.1224154 48.828065, 2.1224406 48.8279674)",,Avenue Charles de Gaulle,50,,,,,
19893222,True,secondary,False,148.609,"LINESTRING (2.1224154 48.828065, 2.1221837 48.8280538, 2.1218553 48.828046, 2.1215654 48.828044, 2.1213246 48.8280428, 2.1208222 48.8280387, 2.1206772 48.8280349, 2.1206249 48.8280309, 2.1205849 48.8280251, 2.1203957 48.8279883)",,Avenue Charles de Gaulle,50,,,,,
172203284,True,residential,False,198.22500000000002,"LINESTRING (2.1224154 48.828065, 2.1223824 48.8281855, 2.1223675 48.8282446, 2.122192 48.8287721, 2.1220248 48.8292732, 2.1218564 48.8296138, 2.1218352 48.8296702, 2.1218318 48.8297167, 2.1218345 48.8298011)",,Rue Louis Foucault,50,,,,,
23894194,True,tertiary,False,29.036,"LINESTRING (2.1202527 48.8281124, 2.1202458 48.82824, 2.1202403 48.8283734)",,Avenue Dutartre,50,,,,,
331679918,True,secondary,False,21.735999999999997,"LINESTRING (2.1202527 48.8281124, 2.1201186 48.8281543, 2.1199706 48.8281623)",,Rond-Point du 18 Juin,50,,roundabout,,,
19918025,True,secondary,False,141.635,"LINESTRING (2.1196656 48.8277392, 2.1196582 48.8276985, 2.1196496 48.8274251, 2.1196471 48.8273883, 2.1195503 48.8271982, 2.1193995 48.8269543, 2.1193963 48.8269406, 2.1192075 48.8266496, 2.1191185 48.8265354)",,Avenue Dutartre,50,,,4,,
331670064,True,secondary,False,61.252,"LINESTRING (2.1196656 48.8277392, 2.119742 48.8276826, 2.1198391 48.827642, 2.1199494 48.8276205, 2.1200644 48.8276198, 2.1201753 48.8276399, 2.1202736 48.8276793, 2.120372 48.8277508)",,Rond-Point du 18 Juin,50,,roundabout,,,
28879787,True,secondary,False,1.541,"LINESTRING (2.120372 48.8277508, 2.1203817 48.8277631)",,Rond-Point du 18 Juin,50,,roundabout,,,
19893593,True,secondary,False,154.022,"LINESTRING (2.1203817 48.8277631, 2.1207734 48.8278639, 2.1208917 48.8278866, 2.1209277 48.8278921, 2.1211016 48.8279228, 2.1212146 48.827938, 2.1215013 48.8279528, 2.1220686 48.8279526, 2.1221031 48.8279528, 2.1222322 48.8279536, 2.1224406 48.8279674)",,Avenue Charles de Gaulle,50,,,,,
331679915,True,secondary,False,25.724,"LINESTRING (2.1203817 48.8277631, 2.1204229 48.8278592, 2.1204203 48.8279342, 2.1203957 48.8279883)",,Rond-Point du 18 Juin,50,,roundabout,,,
28880641,True,tertiary,False,24.403,"LINESTRING (2.1174763 48.8289182, 2.1175326 48.8290435, 2.1175454 48.8291319)",,Rue de Marly-Le-Roi,,,,,,
331679939,False,secondary,False,10.554000000000002,"LINESTRING (2.1174763 48.8289182, 2.1174453 48.8289366, 2.1173887 48.8289551, 2.1173495 48.8289563)",,Avenue Charles de Gaulle,,,circular,,,
331679943,False,secondary,True,10.053,"LINESTRING (2.1174763 48.8289182, 2.1175053 48.8288693, 2.1175035 48.8288314)",,Avenue Charles de Gaulle,,,circular,,,
331670051,True,secondary,False,82.12,"LINESTRING (2.1201178 48.8270412, 2.1201993 48.8271623, 2.1202795 48.8272912, 2.1203167 48.8273873, 2.1203632 48.8275524, 2.120384 48.8276469, 2.120372 48.8277508)",,Avenue Dutartre,50,,,,,
19794121,True,secondary,False,35.213,"LINESTRING (2.1282371 48.8254016, 2.1281889 48.825475, 2.1281785 48.8255256, 2.1282132 48.8256569, 2.1282285 48.8257083)",D 321,Rue de Versailles,50,,,,,
331679941,True,secondary,False,10.366,"LINESTRING (2.1282371 48.8254016, 2.1281666 48.8254062, 2.1281009 48.8253889)",,,50,,roundabout,,,
172456503,True,residential,False,150.82600000000002,"LINESTRING (2.1281688 48.827257, 2.1281847 48.8273001, 2.1283347 48.8277068, 2.128322 48.8277326, 2.1282878 48.8277447, 2.1270775 48.8277653, 2.1270203 48.8277429)",,Rue Séméraire,,1,,,,
172578392,False,unclassified,False,32.839,"LINESTRING (2.1281688 48.827257, 2.128551 48.8272238, 2.1285893 48.827221, 2.1286137 48.8272192)",,Rue Hippolyte Deslandes,,,,,,
169634865,True,unclassified,False,95.852,"LINESTRING (2.1268667 48.8273479, 2.1281688 48.827257)",,Rue Hippolyte Deslandes,,1,,,,
"[20462325, 173695495]",False,unclassified,True,85.63,"LINESTRING (2.1268667 48.8273479, 2.1265008 48.8273689, 2.1264159 48.8273779, 2.1263738 48.8273913, 2.1263391 48.8274002, 2.1262894 48.8274087, 2.1261654 48.827416, 2.1259036 48.8274277, 2.1258589 48.8274282, 2.1257095 48.8274243)",,Rue Hippolyte Deslandes,50,2,,,,
683297928,False,secondary,False,6.161,"LINESTRING (2.1284023 48.8262809, 2.1283206 48.8262942)",D 321,Rue de Versailles,50,,,,,
172578392,False,unclassified,True,32.839,"LINESTRING (2.1286137 48.8272192, 2.1285893 48.827221, 2.128551 48.8272238, 2.1281688 48.827257)",,Rue Hippolyte Deslandes,,,,,,
686570192,True,secondary,False,105.096,"LINESTRING (2.1286137 48.8272192, 2.1285187 48.826926, 2.1284807 48.8268261, 2.1284609 48.8267389, 2.1283543 48.8264081, 2.1283206 48.8262942)",D 321,Rue de Versailles,50,,,,,
683297928,False,secondary,True,6.161,"LINESTRING (2.1283206 48.8262942, 2.1284023 48.8262809)",D 321,Rue de Versailles,50,,,,,
686570192,True,secondary,False,103.127,"LINESTRING (2.1283206 48.8262942, 2.1282735 48.8261847, 2.1282723 48.8261519, 2.1282776 48.8261168, 2.1282772 48.8260961, 2.1282515 48.8259506, 2.128202 48.825901, 2.1281311 48.825641, 2.128112 48.8255774, 2.1281089 48.8254904, 2.1281155 48.825422, 2.1281009 48.8253889)",D 321,Rue de Versailles,50,,,,,
331679932,True,tertiary,False,3.146,"LINESTRING (2.1174493 48.8306849, 2.1174106 48.8306972)",,,,,roundabout,,,
331679946,True,tertiary,False,10.106,"LINESTRING (2.1172673 48.8306475, 2.1172608 48.8306249, 2.1172646 48.8306019, 2.1172785 48.8305807, 2.1172996 48.8305641)",,,,,roundabout,,,
23893886,True,tertiary,False,24.225,"LINESTRING (2.1175454 48.8291319, 2.1174647 48.8290596, 2.1173924 48.8289948, 2.1173495 48.8289563)",,Rue de Marly-Le-Roi,,,,,,
28880635,False,tertiary,False,140.923,"LINESTRING (2.1175454 48.8291319, 2.1176601 48.8294282, 2.1177554 48.8296999, 2.117763 48.8297425, 2.1177706 48.8297943, 2.1177732 48.8298478, 2.1177668 48.8298971, 2.1177588 48.8299432, 2.1177435 48.829995, 2.1177271 48.8300398, 2.1176927 48.8301003, 2.1176533 48.8301597, 2.1175905 48.830238, 2.1174719 48.8303312)",,Rue de Marly-Le-Roi,,,,,,
28880635,False,tertiary,True,140.92300000000003,"LINESTRING (2.1174719 48.8303312, 2.1175905 48.830238, 2.1176533 48.8301597, 2.1176927 48.8301003, 2.1177271 48.8300398, 2.1177435 48.829995, 2.1177588 48.8299432, 2.1177668 48.8298971, 2.1177732 48.8298478, 2.1177706 48.8297943, 2.117763 48.8297425, 2.1177554 48.8296999, 2.1176601 48.8294282, 2.1175454 48.8291319)",,Rue de Marly-Le-Roi,,,,,,
331679928,True,tertiary,False,25.103,"LINESTRING (2.1174719 48.8303312, 2.1174179 48.8304437, 2.1174209 48.8304709, 2.1174297 48.8305512)",,Rue de Marly-Le-Roi,,,,,,
23893901,False,tertiary,False,8.456,"LINESTRING (2.1189855 48.8338547, 2.1189991 48.8338309, 2.1190235 48.8338114, 2.1190563 48.8337981)",,,,1,circular,,,
331679921,True,tertiary,False,28.250999999999998,"LINESTRING (2.1189855 48.8338547, 2.1188994 48.8337888, 2.1187372 48.8336602)",,Rue Moxouris,,1,,,,
704285509,False,tertiary,True,8.155,"LINESTRING (2.1189855 48.8338547, 2.1189842 48.8338791, 2.1189946 48.8339026, 2.1190155 48.8339228)",,,,1,circular,,,
331679937,False,tertiary,True,7.8420000000000005,"LINESTRING (2.1191416 48.8339421, 2.1191728 48.8339306, 2.1191973 48.8339136, 2.1192129 48.8338924)",,,,1,circular,,,
331679949,False,tertiary,False,9.998000000000001,"LINESTRING (2.1191416 48.8339421, 2.1191082 48.8339467, 2.1190742 48.8339449, 2.1190424 48.8339367, 2.1190155 48.8339228)",,,,1,circular,,,
331679949,False,tertiary,True,9.998000000000001,"LINESTRING (2.1190155 48.8339228, 2.1190424 48.8339367, 2.1190742 48.8339449, 2.1191082 48.8339467, 2.1191416 48.8339421)",,,,1,circular,,,
704285509,False,tertiary,False,8.155,"LINESTRING (2.1190155 48.8339228, 2.1189946 48.8339026, 2.1189842 48.8338791, 2.1189855 48.8338547)",,,,1,circular,,,
23893902,True,tertiary,False,28.215,"LINESTRING (2.1170588 48.8308604, 2.1171486 48.8307787, 2.1172023 48.8307269, 2.1172673 48.8306475)",,Rue Moxouris,,,,,,
331679922,False,tertiary,False,145.808,"LINESTRING (2.1170588 48.8308604, 2.1169053 48.8309455, 2.1168581 48.8309746, 2.1168213 48.8310016, 2.1167986 48.831026, 2.1167649 48.8310764, 2.116705 48.8311973, 2.1166487 48.8313457, 2.1165651 48.8316396, 2.1165515 48.8316957, 2.1165439 48.8317171, 2.116519 48.8318023, 2.1165035 48.8318596, 2.1164928 48.8319875, 2.1164978 48.8320731)",,Rue Moxouris,,2,,,,
181437676,False,residential,True,53.592999999999996,"LINESTRING (2.1164978 48.8320731, 2.1163736 48.8320777, 2.1160375 48.8320416, 2.1157745 48.8320104)",,,,,,,permissive,
331679922,False,tertiary,False,193.405,"LINESTRING (2.1164978 48.8320731, 2.1165239 48.8321667, 2.1165448 48.8322291, 2.1165777 48.8322995, 2.1166236 48.8323605, 2.1166606 48.8324114, 2.1166954 48.8324525, 2.1167422 48.8324967, 2.1169676 48.8326585, 2.1171489 48.8327622, 2.1176143 48.8330266, 2.118014 48.833248, 2.11819 48.833351)",,Rue Moxouris,,2,,,,
331679922,False,tertiary,True,145.80800000000002,"LINESTRING (2.1164978 48.8320731, 2.1164928 48.8319875, 2.1165035 48.8318596, 2.116519 48.8318023, 2.1165439 48.8317171, 2.1165515 48.8316957, 2.1165651 48.8316396, 2.1166487 48.8313457, 2.116705 48.8311973, 2.1167649 48.8310764, 2.1167986 48.831026, 2.1168213 48.8310016, 2.1168581 48.8309746, 2.1169053 48.8309455, 2.1170588 48.8308604)",,Rue Moxouris,,2,,,,
1241580025,False,tertiary,True,13.572,"LINESTRING (2.1177869 48.8306401, 2.1179695 48.8306189)",,Rue Moxouris,50,,,,,
331679926,True,tertiary,False,25.348,"LINESTRING (2.1177869 48.8306401, 2.1175806 48.8306793, 2.1174493 48.8306849)",,Rue Moxouris,30,,,,,
