osmid,oneway,name,highway,access,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,width
1086787553,False,Rue Georges Clemenceau,living_street,no,False,6.301,"LINESTRING (-1.4316767 46.6694075, -1.4317547 46.6693889)",,,,,,
166258572,False,Rue Georges Clemenceau,living_street,no,True,104.16,"LINESTRING (-1.4316767 46.6694075, -1.4315511 46.6694376, -1.4312911 46.6694999, -1.4303879 46.6697163)",,,,,,
1086787554,True,Boulevard Aristide Briand,living_street,,False,63.617999999999995,"LINESTRING (-1.4316767 46.6694075, -1.4319035 46.6698469, -1.4319551 46.6699468)",2,D 747,20,,,
25439074,True,Place de la Vendée,secondary,,False,65.748,"LINESTRING (-1.4319551 46.6699468, -1.4321134 46.6699155, -1.4322469 46.6698904, -1.4324497 46.6697949, -1.4325504 46.6697273, -1.4326437 46.6696284)",2,D 760,30,,,
219157559,False,Boulevard Aristide Briand,secondary,,False,107.483,"LINESTRING (-1.4319551 46.6699468, -1.4319919 46.6700189, -1.432037 46.6701072, -1.4320638 46.6701688, -1.4320935 46.6702371, -1.4323683 46.6707818, -1.4324087 46.6708618)",2,D 760,50,,,
353672499,False,Boulevard Aristide Briand,living_street,no,True,64.815,"LINESTRING (-1.4319551 46.6699468, -1.431971 46.6698263, -1.4317547 46.6693889)",,,20,,,
25439074,True,Place de la Vendée,secondary,,False,41.973,"LINESTRING (-1.4326437 46.6696284, -1.4326659 46.6696024, -1.4326927 46.6695506, -1.4327205 46.6694708, -1.4327194 46.6693644, -1.4327074 46.6692608)",2,D 760,30,,,
171688008,True,Rue Raymond Poincaré,secondary,,False,18.669,"LINESTRING (-1.4328541 46.6691319, -1.4327538 46.6691199, -1.4327175 46.6691155, -1.4326316 46.6690729)",1,D 760,,,,
219157555,True,Boulevard Aristide Briand,living_street,,False,64.86699999999999,"LINESTRING (-1.4314034 46.6688551, -1.4316366 46.6693265, -1.4316767 46.6694075)",2,D 747,20,,,
336135362,False,Boulevard Aristide Briand,living_street,no,False,66.307,"LINESTRING (-1.4314034 46.6688551, -1.4315012 46.6689097, -1.4317547 46.6693889)",,,20,,,
354491824,False,Boulevard Aristide Briand,secondary,,True,108.466,"LINESTRING (-1.4314034 46.6688551, -1.4313796 46.6688164, -1.4313725 46.6688038, -1.4313452 46.6687519, -1.4312662 46.6686, -1.4311789 46.6684323, -1.4309214 46.6679375)",3,D 747,50,,,
1177017322,True,Rue La Fayette,tertiary,,False,104.76899999999999,"LINESTRING (-1.4314034 46.6688551, -1.4313037 46.6688791, -1.4312416 46.668894, -1.4301075 46.6691665)",,,,,,
961272189,True,Boulevard Aristide Briand,secondary,,False,9.069,"LINESTRING (-1.4331056 46.6721767, -1.4330321 46.6721126)",,D 760,50,,,
