osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,tunnel,access,width,junction
5200250,True,D 19,Faubourg de Montbéliard,secondary,50,False,38.614,"LINESTRING (6.8573127 47.6340685, 6.8573434 47.634181, 6.8573838 47.634374, 6.8573943 47.6344113)",,,,,,
26978722,True,,Rue Pierre-Philippe Denfert-Rochereau,residential,30,False,163.348,"LINESTRING (6.8573127 47.6340685, 6.8574442 47.6340705, 6.8577715 47.6340741, 6.8594925 47.6340879)",,,,,,
29261408,True,,Rue Pierre et Michel Dreyfus-Schmidt,residential,50,False,115.27999999999999,"LINESTRING (6.8602168 47.640238, 6.8601303 47.6401773, 6.8599403 47.6399503, 6.8598688 47.6397082, 6.8597526 47.6393433, 6.8597407 47.6393024, 6.8597322 47.6392727)",,,,,,
140111491,True,,Rue du Docteur Fréry,residential,50,False,71.591,"LINESTRING (6.8602168 47.640238, 6.8597712 47.6406118, 6.8596348 47.6407481)",2,,,,,
29263504,False,D 419,Avenue du Maréchal Foch,secondary,50,False,114.07000000000001,"LINESTRING (6.8605126 47.636288, 6.8605824 47.636245, 6.8608795 47.6360533, 6.8611075 47.6359143, 6.86134 47.6357172, 6.8613939 47.6356735, 6.8615556 47.6355441)",,,,,,
430708919,True,,Rue de la République,residential,50,False,62.779,"LINESTRING (6.8605126 47.636288, 6.8603678 47.6363981, 6.8601693 47.6365228, 6.8600631 47.6365929, 6.8599306 47.6366934)",,,,,,
5200290,True,D 419,Rue Général Gaulard,secondary,50,False,10.828,"LINESTRING (6.8618251 47.6342706, 6.8618873 47.6341827)",2,,,,,
30744830,True,,Rue Pierre-Philippe Denfert-Rochereau,residential,,False,68.09599999999999,"LINESTRING (6.8618251 47.6342706, 6.8617321 47.6342656, 6.8616942 47.6342617, 6.8611986 47.6342252, 6.8610559 47.634206, 6.860927 47.6341837)",,,,,,
29323785,False,,Rue sous le Rempart,residential,,False,119.82300000000001,"LINESTRING (6.8658078 47.6407149, 6.8657369 47.6406778, 6.8656416 47.6406449, 6.8649312 47.6405298, 6.8645312 47.6404739, 6.8642734 47.6404378)",,,,,,
263552515,False,,Rue Jean-Pierre Melville,residential,,False,143.157,"LINESTRING (6.8658078 47.6407149, 6.8658471 47.640686, 6.8659026 47.6406309, 6.8659829 47.6403952, 6.8660462 47.6402229, 6.8664444 47.6399554, 6.8665354 47.6398935, 6.8666267 47.6398674, 6.8668473 47.6398476, 6.8669163 47.6398414, 6.8669646 47.6398441)",,,,,,
"[212437856, 1039668290]",False,,Rue Jean-Pierre Melville,residential,,True,23.180999999999997,"LINESTRING (6.8658078 47.6407149, 6.8657147 47.6407695, 6.8655775 47.6408541)",,,,,,
"[30838969, 264009869]",False,,Rue P. Bonneff,residential,,"[False, True]",74.089,"LINESTRING (6.8612787 47.6405869, 6.8610648 47.6406275, 6.8609025 47.640648, 6.8608226 47.6406329, 6.8604294 47.6404051)",2,,,,,
263549316,False,,Rue de la Cavalerie,residential,,False,70.92,"LINESTRING (6.8612787 47.6405869, 6.8612859 47.6406236, 6.8612917 47.6406528, 6.8613078 47.6407557, 6.8613803 47.641221)",,,,,,
"[263549315, 1039668292]",False,,Rue sous le Rempart,residential,,True,43.817,"LINESTRING (6.8612787 47.6405869, 6.8614057 47.6405679, 6.8618499 47.6405023)",,,,,,
"[431827360, 30804105, 30804106, 159639850, 29261687, 29332281, 29332282]",True,,Rue des Mobiles de 1870,unclassified,,False,138.02100000000002,"LINESTRING (6.8669646 47.6398441, 6.8669416 47.63978, 6.866927 47.6396283, 6.8669259 47.6395968, 6.8669034 47.639485, 6.8668541 47.6394249, 6.8668018 47.6393746, 6.8667325 47.6393313, 6.8666672 47.6392929, 6.866169 47.6390986, 6.8659579 47.6390129, 6.8658681 47.6389723)",,yes,yes,,,
35263891,False,,Allée Giuseppe Garibaldi,residential,,False,187.87699999999998,"LINESTRING (6.8669646 47.6398441, 6.8670478 47.6397985, 6.8674444 47.6397564, 6.8677427 47.639654, 6.8688359 47.6392598, 6.8689716 47.6391613, 6.8690883 47.6390319)",,,,,,
