osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,lanes,access,width
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,10.101,"LINESTRING (4.9925468 45.7330028, 4.9925901 45.7330045, 4.9926315 45.7330136, 4.9926684 45.7330295)",,,,
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,17.541,"LINESTRING (4.9926684 45.7330295, 4.9927058 45.7330588, 4.9927278 45.7330949, 4.9927323 45.733134, 4.9927181 45.7331728)",,,,
722413203,Route de Lyon,secondary,50,,True,False,31.128999999999998,"LINESTRING (4.9926684 45.7330295, 4.992869 45.7330301, 4.9930686 45.7330171)",D 29,,,
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,4.442,"LINESTRING (4.9927181 45.7331728, 4.9926867 45.7332062)",,,,
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,13.699,"LINESTRING (4.9925264 45.7332431, 4.9924711 45.7332286, 4.992426 45.7332021, 4.9923964 45.7331669)",,,,
722413201,Route de Lyon,tertiary,50,,True,False,56.217,"LINESTRING (4.9925264 45.7332431, 4.9922307 45.7333297, 4.9918585 45.7334387)",,,,
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,13.604,"LINESTRING (4.9923964 45.7331669, 4.9923851 45.7331269, 4.9923935 45.7330865, 4.9924206 45.7330504)",,,,
5088934,Rond-Point de la République,secondary,50,roundabout,True,False,11.439,"LINESTRING (4.9924206 45.7330504, 4.9924555 45.7330263, 4.9924988 45.73301, 4.9925468 45.7330028)",,,,
5088937,Rue Roger Salengro,secondary,50,,True,False,33.561,"LINESTRING (4.9924206 45.7330504, 4.9923567 45.732915, 4.9922877 45.7327632)",D 29,,,
5088938,Rue Roger Salengro,secondary,50,,True,False,33.382,"LINESTRING (4.9922877 45.7327632, 4.9924292 45.7328963, 4.9925123 45.7329711, 4.9925468 45.7330028)",D 29,,,
5089017,Rue Roger Salengro,secondary,50,,False,False,41.797,"LINESTRING (4.9922877 45.7327632, 4.9922528 45.7327082, 4.9922145 45.7326478, 4.9921256 45.7325049, 4.9920697 45.7324195)",D 29,,,
5088936,Route de Lyon,secondary,50,,True,False,32.248,"LINESTRING (4.9930686 45.7330171, 4.9928965 45.7330933, 4.992798 45.7331359, 4.9927181 45.7331728)",D 29,,,
"[724490738, 617476210, 722413198]",Route de Lyon,secondary,"['50', '30']",,False,True,176.24800000000002,"LINESTRING (4.9930686 45.7330171, 4.9943436 45.7326211, 4.9946728 45.7325817, 4.9950443 45.7325513, 4.9951006 45.7325466, 4.9952106 45.732539)",D 29,2,,
33803374,Rue Danton,residential,,,False,True,108.326,"LINESTRING (5.0016162 45.7317368, 5.0016564 45.7318418, 5.0016693 45.7318717, 5.0017509 45.7320621, 5.0018691 45.732338, 5.0018944 45.7323972, 5.0019273 45.7324773, 5.0019733 45.7325834, 5.0019975 45.7326393, 5.0020113 45.7326711)",,,,
724490733,Rue de la République,secondary,30,,False,False,16.958,"LINESTRING (5.0016162 45.7317368, 5.0017876 45.7317136, 5.0018307 45.7317078)",D 29,2,,
"[693366797, 724490733]",Rue de la République,secondary,30,,False,"[False, True]",205.238,"LINESTRING (5.0016162 45.7317368, 5.0015032 45.7317514, 5.001471 45.7317553, 5.0010547 45.7317929, 5.0009975 45.7317973, 5.000761 45.7318075, 5.0004883 45.7318045, 5.0001342 45.7318053, 4.9997792 45.731794, 4.9997163 45.7317936, 4.9995388 45.7317912, 4.9994421 45.7317942, 4.9992719 45.7317987, 4.9990831 45.7318161, 4.9989819 45.731826)",D 29,"['1', '2']",,
"[316963721, 413808777]","['Place de la République', ""Rue de l'Égalité""]",tertiary,50,,False,True,137.35999999999996,"LINESTRING (4.9970734 45.7324906, 4.9971472 45.7325794, 4.9971908 45.7326296, 4.9972084 45.732651, 4.997353 45.7328268, 4.9975588 45.733077, 4.9978534 45.7334519, 4.9978834 45.7335113, 4.9979161 45.7335748)",,2,,
"[724490736, 693366797, 724490735]",Rue de la République,secondary,30,,False,"[False, True]",166.15099999999998,"LINESTRING (4.9970734 45.7324906, 4.9972732 45.7324085, 4.9975779 45.7322789, 4.9982327 45.7320339, 4.9983475 45.7319911, 4.9986503 45.7318939, 4.9987393 45.7318745, 4.998851 45.7318502, 4.9989819 45.731826)",D 29,"['1', '2']",,
"[724490736, 724490739, 693366796]",Rue de la République,secondary,30,,False,True,123.92699999999999,"LINESTRING (4.9970734 45.7324906, 4.9969327 45.732511, 4.9968716 45.7325148, 4.9967829 45.7325203, 4.9965735 45.7325333, 4.9963742 45.7325286, 4.9961798 45.732523, 4.9958282 45.732513, 4.9957257 45.7325121, 4.995627 45.7325148, 4.9954819 45.7325187)",D 29,2,,
617476210,Route de Lyon,secondary,30,,False,True,21.178,"LINESTRING (4.9952106 45.732539, 4.9954819 45.7325187)",D 29,2,,
413808485,,residential,,,True,False,181.643,"LINESTRING (4.9952106 45.732539, 4.9952382 45.7325968, 4.9952587 45.7326434, 4.9952916 45.7327085, 4.9953096 45.7327462, 4.9954764 45.733069, 4.9959563 45.7340356, 4.9959787 45.734082)",,,,
"[724490738, 617476210, 722413198]",Route de Lyon,secondary,"['30', '50']",,False,False,176.248,"LINESTRING (4.9952106 45.732539, 4.9951006 45.7325466, 4.9950443 45.7325513, 4.9946728 45.7325817, 4.9943436 45.7326211, 4.9930686 45.7330171)",D 29,2,,
5089017,Rue Roger Salengro,secondary,50,,False,True,164.639,"LINESTRING (4.9905922 45.7308576, 4.9910038 45.73114, 4.991072 45.731185, 4.9912465 45.7313117, 4.9913874 45.7314225, 4.9915631 45.7316186, 4.9916048 45.7316847, 4.991827 45.7320369)",D 29,,,
133872082,Route de Lyon,tertiary,50,,False,True,15.614,"LINESTRING (4.9916742 45.733495, 4.9918585 45.7334387)",,,,
133872082,Route de Lyon,tertiary,50,,False,False,113.28099999999999,"LINESTRING (4.9916742 45.733495, 4.9915212 45.7335431, 4.9912491 45.7336363, 4.990833 45.7337705, 4.9903867 45.7339704)",,,,
133872148,Allée des Troënes,residential,,,False,True,138.851,"LINESTRING (4.9916742 45.733495, 4.9917197 45.7335646, 4.9920791 45.7341054, 4.992136 45.7341889, 4.9924372 45.7346244)",,,,
33803374,Rue Danton,residential,,,False,False,108.326,"LINESTRING (5.0020113 45.7326711, 5.0019975 45.7326393, 5.0019733 45.7325834, 5.0019273 45.7324773, 5.0018944 45.7323972, 5.0018691 45.732338, 5.0017509 45.7320621, 5.0016693 45.7318717, 5.0016564 45.7318418, 5.0016162 45.7317368)",,,,
133872149,Rue Danton,residential,,,False,True,84.65,"LINESTRING (5.0020113 45.7326711, 5.0020409 45.7327147, 5.0020515 45.7327281, 5.0020694 45.7327532, 5.0021403 45.7328525, 5.0021627 45.7328838, 5.0023929 45.7333681, 5.002399 45.7333809)",,,,
802861710,Chemin de la Grange,residential,30,,False,False,32.522,"LINESTRING (5.0020113 45.7326711, 5.0018777 45.7327146, 5.0016274 45.7327882)",,,,
531523270,Chemin de la Grange,residential,,,False,True,5.945,"LINESTRING (4.9984868 45.7341301, 4.998549 45.7340989)",,,,
413808778,Rue de l'Égalité,tertiary,,,False,False,43.120000000000005,"LINESTRING (4.9984868 45.7341301, 4.9983285 45.7340589, 4.9982929 45.7340199, 4.9982456 45.7339666, 4.9981605 45.7338317)",,2,,
"[799091144, 1251849445, 799091143]",Rue de l'Égalité,tertiary,"['50', '30']",,False,True,51.421,"LINESTRING (4.9984868 45.7341301, 4.9985298 45.7341643, 4.9985677 45.7341944, 4.9986687 45.7342747, 4.998805 45.7343831, 4.9988443 45.7344151, 4.9989239 45.7344776)",,2,,
33803377,Rue Jacques Brel,residential,,,False,True,97.40400000000001,"LINESTRING (4.9979161 45.7335748, 4.9978096 45.7335821, 4.9977761 45.733589, 4.9972729 45.7337337, 4.9972346 45.7337448, 4.9969728 45.7338118, 4.9967409 45.7338741)",,,,
"[413808777, 316963721]","['Place de la République', ""Rue de l'Égalité""]",tertiary,50,,False,False,137.36,"LINESTRING (4.9979161 45.7335748, 4.9978834 45.7335113, 4.9978534 45.7334519, 4.9975588 45.733077, 4.997353 45.7328268, 4.9972084 45.732651, 4.9971908 45.7326296, 4.9971472 45.7325794, 4.9970734 45.7324906)",,2,,
1251849457,Rue de l'Égalité,tertiary,50,,False,True,34.537,"LINESTRING (4.9979161 45.7335748, 4.9979843 45.7336193, 4.9981605 45.7338317)",,3,,
802089928,Rue Victor Hugo,tertiary,,,False,True,70.236,"LINESTRING (5.0004334 45.7287263, 5.000447 45.728752, 5.0006901 45.7292109, 5.000747 45.7293188)",,,,
802089927,Rue Victor Hugo,tertiary,30,,False,False,4.616,"LINESTRING (5.0010801 45.7299792, 5.0010984 45.7300187)",,,,
"[803408407, 802089927]",Rue Victor Hugo,tertiary,30,,False,True,77.875,"LINESTRING (5.0010801 45.7299792, 5.001035 45.7298848, 5.0009251 45.7296479, 5.0008372 45.7294799, 5.000747 45.7293188)",,,,
81524080,Impasse Victor Hugo,residential,,,False,True,103.00200000000001,"LINESTRING (5.0015899 45.731107, 5.0024937 45.7309099, 5.0026342 45.7308906, 5.0028689 45.7308677)",,,,
311102305,Rue Victor Hugo,tertiary,,,False,False,69.39399999999999,"LINESTRING (5.0015899 45.731107, 5.0017653 45.7315207, 5.0018096 45.7316391, 5.0018307 45.7317078)",,,,
311102305,Rue Victor Hugo,tertiary,,,False,True,101.786,"LINESTRING (5.0015899 45.731107, 5.0014505 45.7307929, 5.0011924 45.7302347)",,,,
311102305,Rue Victor Hugo,tertiary,,,False,True,69.39399999999999,"LINESTRING (5.0018307 45.7317078, 5.0018096 45.7316391, 5.0017653 45.7315207, 5.0015899 45.731107)",,,,
724490733,Rue de la République,secondary,30,,False,True,16.958,"LINESTRING (5.0018307 45.7317078, 5.0017876 45.7317136, 5.0016162 45.7317368)",D 29,2,,
617476210,Route de Lyon,secondary,30,,False,False,21.178,"LINESTRING (4.9954819 45.7325187, 4.9952106 45.732539)",D 29,2,,
"[316967636, 760038237, 760038238, 760038239]","['Rue de la Liberté', 'Place de la Libération']",tertiary,"['50', '30']",,True,False,232.59799999999996,"LINESTRING (4.9954819 45.7325187, 4.9954884 45.7324033, 4.9955084 45.7323483, 4.995731 45.7321193, 4.9958504 45.7320213, 4.9962364 45.7318081, 4.9963498 45.7317497, 4.9965881 45.7316325, 4.9968727 45.7314918, 4.9971015 45.7313788, 4.9972237 45.7313133, 4.997292 45.7312768, 4.9975957 45.7311227)",,,,
"[724490736, 724490739, 693366796]",Rue de la République,secondary,30,,False,False,123.92699999999999,"LINESTRING (4.9954819 45.7325187, 4.995627 45.7325148, 4.9957257 45.7325121, 4.9958282 45.732513, 4.9961798 45.732523, 4.9963742 45.7325286, 4.9965735 45.7325333, 4.9967829 45.7325203, 4.9968716 45.7325148, 4.9969327 45.732511, 4.9970734 45.7324906)",D 29,2,,
49219295,Rue Jean Moulin,residential,30,,False,False,83.948,"LINESTRING (4.9910531 45.7299966, 4.9908309 45.7300927, 4.9907548 45.7301277, 4.9902524 45.7303461, 4.9902031 45.7303785, 4.9901784 45.730401, 4.9901587 45.7304157)",,2,,
"[802175705, 803408403, 803408404, 49219295]",Rue Jean Moulin,residential,30,,False,True,144.28699999999998,"LINESTRING (4.9910531 45.7299966, 4.9911722 45.7299472, 4.9914457 45.7298307, 4.9915177 45.7298025, 4.9916315 45.7297817, 4.9918236 45.7297764, 4.9919512 45.7297817, 4.9920604 45.7298042, 4.9925895 45.7299608, 4.9927669 45.7300105)",,2,,
1264096556,Rue René Cassin,residential,25,,False,True,60.660999999999994,"LINESTRING (4.9910531 45.7299966, 4.9910355 45.7299744, 4.9910213 45.7299557, 4.9906775 45.7295595, 4.9906509 45.7295289)",,2,,
49368031,Place de la Paix,residential,,,True,False,44.24700000000001,"LINESTRING (4.9950533 45.7297222, 4.9950034 45.7296421, 4.9950299 45.7295914, 4.9950525 45.7295494, 4.995269 45.7294756, 4.9953296 45.729486)",,1,,
802175706,Rue Jean Moulin,residential,30,,False,False,128.865,"LINESTRING (4.9950533 45.7297222, 4.9945982 45.7298811, 4.9944755 45.7299356, 4.9942383 45.7300167, 4.9937205 45.7301901, 4.9936502 45.7302138, 4.9935697 45.730241)",,2,,
49368029,Rue Jean Moulin,residential,30,,False,False,147.82299999999998,"LINESTRING (4.9954528 45.7295835, 4.9959317 45.7294231, 4.9960744 45.729365, 4.9962262 45.7292755, 4.9963808 45.729147, 4.9965865 45.7288784, 4.9967143 45.728664)",,2,,
49368031,Place de la Paix,residential,,,True,False,30.476999999999997,"LINESTRING (4.9954528 45.7295835, 4.9955018 45.7296695, 4.9954819 45.7297067, 4.9954613 45.7297486, 4.9953352 45.7297906)",,1,,
49368031,Place de la Paix,residential,,,True,False,27.975,"LINESTRING (4.9953352 45.7297906, 4.9952252 45.7298239, 4.995108 45.729793, 4.9950533 45.7297222)",,1,,
"[133872172, 1268344341]","['Rue Ferdinand Buisson', 'Place de la Paix']",residential,,,False,True,59.519999999999996,"LINESTRING (4.9953352 45.7297906, 4.9955305 45.7300769, 4.9956669 45.7302732)",,1,,
49368031,Place de la Paix,residential,,,True,False,15.599,"LINESTRING (4.9953296 45.729486, 4.9953993 45.729503, 4.9954528 45.7295835)",,1,,
133872166,Rue Léon Jouhaux,residential,,,False,False,112.217,"LINESTRING (4.9953296 45.729486, 4.9953552 45.7293942, 4.9951873 45.7291368, 4.9949726 45.7291036, 4.9948629 45.7289608, 4.9948641 45.7286435)",,,destination,
49861819,Rue du Château d'Eau,residential,50,,False,False,159.76600000000002,"LINESTRING (5.0000562 45.7356856, 5.0001964 45.7356633, 5.0015095 45.7352233, 5.0018437 45.7350698, 5.0018901 45.7350454)",,2,,
"[799091144, 1251849446, 760038246]",Rue de l'Égalité,tertiary,"['50', '30']",,False,False,161.406,"LINESTRING (5.0000562 45.7356856, 5.0000208 45.7355967, 4.9995647 45.7350922, 4.9994055 45.734916, 4.9993611 45.7348625, 4.9993048 45.7347907, 4.9991829 45.7346913, 4.9991322 45.7346498, 4.9989239 45.7344776)",,2,,
760038246,Rue de l'Égalité,tertiary,50,,False,True,216.52299999999997,"LINESTRING (5.0000562 45.7356856, 5.0000757 45.7357523, 5.0002322 45.7362889, 5.0002611 45.7363801, 5.0003315 45.7366026, 5.0004054 45.736768, 5.0004945 45.7368632, 5.000608 45.7369652, 5.0008008 45.7370902, 5.0011063 45.7372499, 5.0012849 45.7373222)",,2,,
49861819,Rue du Château d'Eau,residential,50,,False,True,159.766,"LINESTRING (5.0018901 45.7350454, 5.0018437 45.7350698, 5.0015095 45.7352233, 5.0001964 45.7356633, 5.0000562 45.7356856)",,2,,
133872100,Place du Docteur Dargent,residential,20,,False,False,36.816,"LINESTRING (5.0018901 45.7350454, 5.0018544 45.7350006, 5.0016807 45.7347484)",,,,
49368029,Rue Jean Moulin,residential,30,,False,True,32.933,"LINESTRING (4.9971238 45.7286289, 4.9967799 45.7286316, 4.9967143 45.728664)",,2,,
133872151,Impasse Léon Bourgeois,residential,30,,False,True,66.419,"LINESTRING (4.9971238 45.7286289, 4.997115 45.7286902, 4.9969838 45.7289085, 4.9969447 45.7290989, 4.9970049 45.7291969)",,1,,
133872114,Rue Albert Schweitzer,residential,,,False,True,63.888,"LINESTRING (4.993931 45.7286394, 4.9931081 45.7286515)",,,destination,
