osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,width,junction,bridge
45108695,True,1,D 346,Avenue de Corbeil,primary,False,10.266,,"LINESTRING (2.5961717 48.5604109, 2.59611 48.5604937)",,,
456210813,False,2,D 346,,primary,True,239.654,90,"LINESTRING (2.5961717 48.5604109, 2.597607 48.5593734, 2.5983246 48.5587948)",,,
92924449,False,2,,Rue Janisset Soeber,tertiary,True,41.571000000000005,50,"LINESTRING (2.6060872 48.563188, 2.6061223 48.5632349, 2.6061831 48.5632866, 2.6062489 48.5633207, 2.6063414 48.563354, 2.6064299 48.5633864, 2.6065191 48.5634113)",,,
104379890,False,,,Place du Verneau,tertiary,True,43.266999999999996,,"LINESTRING (2.6060872 48.563188, 2.6060242 48.5629591, 2.6059999 48.562827, 2.6059956 48.5628038)",9,,
243811110,True,,,Rue Janisset Soeber,tertiary,False,62.521,50,"LINESTRING (2.6060872 48.563188, 2.6061283 48.5631486, 2.6065844 48.5628501, 2.6066186 48.5628257, 2.6066329 48.5628047, 2.6066237 48.5627717)",6,,
45108691,True,1,D 346,Avenue de Corbeil,primary,False,36.591,,"LINESTRING (2.5957314 48.5605483, 2.5958432 48.560536, 2.5959519 48.5605152, 2.596026 48.5604846, 2.5961717 48.5604109)",,,
1265449273,True,2,,,primary,False,19.244999999999997,,"LINESTRING (2.5957314 48.5605483, 2.5958512 48.560626, 2.5958883 48.560683)",,roundabout,
1265449272,True,2,,,primary,False,28.401,,"LINESTRING (2.5953704 48.5604675, 2.5955611 48.5604889, 2.5957314 48.5605483)",,roundabout,
104379890,False,,,Place du Verneau,tertiary,False,43.266999999999996,,"LINESTRING (2.6059956 48.5628038, 2.6059999 48.562827, 2.6060242 48.5629591, 2.6060872 48.563188)",9,,
499457387,False,,,Avenue Charles Monier,tertiary,False,135.192,,"LINESTRING (2.6059956 48.5628038, 2.6057111 48.5627931, 2.6055796 48.5627918, 2.6050191 48.562818, 2.6049111 48.5628251, 2.6041629 48.5628615)",7,,
499457387,False,,,Avenue Charles Monier,tertiary,True,46.548,,"LINESTRING (2.6059956 48.5628038, 2.6060968 48.5628086, 2.6062549 48.5628077, 2.6064276 48.5627947, 2.6066237 48.5627717)",7,,
52867592,True,,,Rue Maurice Creuset,residential,False,335.765,,"LINESTRING (2.6041629 48.5628615, 2.6041555 48.5628129, 2.6041125 48.5623165, 2.6040866 48.5621326, 2.6039924 48.5617005, 2.6038928 48.5613605, 2.6033655 48.5599904, 2.6033327 48.5599009)",,,
499457387,False,,,Avenue Charles Monier,tertiary,False,35.948,,"LINESTRING (2.6041629 48.5628615, 2.6040017 48.5628728, 2.6039621 48.5628763, 2.6037765 48.562885, 2.603678 48.5628978)",7,,
499457387,False,,,Avenue Charles Monier,tertiary,True,135.192,,"LINESTRING (2.6041629 48.5628615, 2.6049111 48.5628251, 2.6050191 48.562818, 2.6055796 48.5627918, 2.6057111 48.5627931, 2.6059956 48.5628038)",7,,
171841465,False,2,,Avenue Charles Monier,tertiary,False,105.36200000000001,50,"LINESTRING (2.5977784 48.5655653, 2.5975089 48.5657805, 2.5973409 48.5658908, 2.5967914 48.5661315, 2.5966928 48.5661692)",,,
171841465,False,2,,Avenue Charles Monier,tertiary,True,116.114,50,"LINESTRING (2.5977784 48.5655653, 2.5980212 48.5653607, 2.598194 48.5652157, 2.5983142 48.5651237, 2.5984358 48.5650423, 2.5988379 48.5647949)",,,
107831081,False,2,,Avenue Charles Monier,tertiary,True,89.056,50,"LINESTRING (2.5966928 48.5661692, 2.5960167 48.5664615, 2.5956738 48.5666012)",,,
171841465,False,2,,Avenue Charles Monier,tertiary,True,105.362,50,"LINESTRING (2.5966928 48.5661692, 2.5967914 48.5661315, 2.5973409 48.5658908, 2.5975089 48.5657805, 2.5977784 48.5655653)",,,
172048433,True,,,Rue de Paris,residential,False,111.109,,"LINESTRING (2.5966928 48.5661692, 2.5962174 48.5652695, 2.59621 48.5652526, 2.5961971 48.5652254)",,,
