osmid,oneway,lanes,name,highway,maxspeed,reversed,length,access,geometry,junction,width,bridge,tunnel
44778759,True,2,Rue de l'Université,living_street,20,False,25.463,,"LINESTRING (0.3425322 46.5844836, 0.3422145 46.5845526)",,,,
68800168,False,,Rue de l'Université,living_street,20,True,106.34100000000001,no,"LINESTRING (0.3425322 46.5844836, 0.3427738 46.5844332, 0.3432817 46.5843272, 0.3437269 46.5842232, 0.343741 46.5842199, 0.343787 46.5842088, 0.3438583 46.5841943)",,,,
31742522,False,,Rue de l'Université,living_street,20,True,29.314,yes,"LINESTRING (0.3438583 46.5841943, 0.3439107 46.584187, 0.3439722 46.5841801, 0.344084 46.5841588, 0.3442278 46.5841254)",,,,
68800168,False,,Rue de l'Université,living_street,20,False,106.341,no,"LINESTRING (0.3438583 46.5841943, 0.343787 46.5842088, 0.343741 46.5842199, 0.3437269 46.5842232, 0.3432817 46.5843272, 0.3427738 46.5844332, 0.3425322 46.5844836)",,,,
31761153,False,,Rue Prosper Augouard,residential,,True,88.86599999999999,,"LINESTRING (0.3462639 46.5838763, 0.3462296 46.5838795, 0.3461777 46.58388, 0.3461313 46.5838758, 0.3457569 46.5838202, 0.3454077 46.583776, 0.3453398 46.5837708, 0.3453049 46.5837699, 0.3452657 46.5837694, 0.3452294 46.5837726, 0.3451206 46.5837918)",,,,
159108623,True,,Rue Riffault,residential,30,False,59.867,,"LINESTRING (0.3462639 46.5838763, 0.3462882 46.5839475, 0.3464129 46.5844048)",,,,
772404125,True,2,Pont Saint-Cyprien,tertiary,,False,6.548,,"LINESTRING (0.3452434 46.576531, 0.3452169 46.576587)",,,,
41190032,True,,Boulevard Anatole-France,primary,30,False,29.844,,"LINESTRING (0.3452434 46.576531, 0.34533 46.5765631, 0.3454148 46.5765962, 0.345584 46.5766622)",,,,
70438889,True,,Rue Théophraste Renaudot,tertiary,30,False,267.572,,"LINESTRING (0.3368615 46.5807131, 0.3367483 46.5806602, 0.336348 46.5803829, 0.3359116 46.5800341, 0.3356039 46.5797408, 0.3353818 46.5794753, 0.3353169 46.5793722, 0.335202 46.5791898, 0.334992 46.5788601, 0.3348829 46.578763)",,,,
75113543,False,,Rue Victor Hugo,residential,30,True,118.517,,"LINESTRING (0.3368615 46.5807131, 0.3381466 46.5805454, 0.3382713 46.5805291, 0.338385 46.5805143)",,,,
178129488,False,,Rue Victor Hugo,tertiary,,False,59.18,,"LINESTRING (0.3368615 46.5807131, 0.3366018 46.5807515, 0.3363036 46.5807954, 0.3362682 46.5808007, 0.3361043 46.5808244)",,,,
"[144348784, 38663951]",True,1,Rue de Blossac,tertiary,,False,131.496,,"LINESTRING (0.3372732 46.576487, 0.3360764 46.5761777, 0.3357696 46.5760972, 0.3357423 46.5760893, 0.3357179 46.5760808, 0.3356964 46.5760712, 0.3356727 46.5760577)",,,,
70438890,False,,Rue Scheurer Kestner,residential,30,True,89.20000000000002,,"LINESTRING (0.3361166 46.5776116, 0.336149 46.57758, 0.3367525 46.5769906, 0.3367883 46.5769556)",,,,
75113540,True,,Rue Sadi Carnot,residential,30,False,71.813,,"LINESTRING (0.3361166 46.5776116, 0.3363865 46.577788, 0.3366268 46.5779444, 0.3368083 46.5780483)",,,,
75113543,False,,Rue Victor Hugo,residential,30,False,118.517,,"LINESTRING (0.338385 46.5805143, 0.3382713 46.5805291, 0.3381466 46.5805454, 0.3368615 46.5807131)",,,,
31741545,True,,Rue Arthur Ranc,residential,30,False,115.54500000000002,,"LINESTRING (0.336237 46.5827551, 0.3363229 46.582727, 0.3367725 46.5825779, 0.3372074 46.5824287, 0.3375959 46.5822997)",,,,
178129472,False,2,Boulevard de Verdun,tertiary,,True,13.469000000000001,,"LINESTRING (0.336237 46.5827551, 0.3362534 46.5828112, 0.3362728 46.5828737)",,,,
"[203449336, 178129476]",False,2,Boulevard de Verdun,tertiary,,False,47.54900000000001,,"LINESTRING (0.336237 46.5827551, 0.3362256 46.5827189, 0.3361131 46.582356, 0.3361071 46.5823369)",,,,
38695242,False,,Rue Saint-Paul,residential,,False,74.574,,"LINESTRING (0.3454149 46.5809513, 0.3454332 46.5809697, 0.3454476 46.5809841, 0.3455587 46.5810957, 0.3459659 46.5815048)",,,,
843664704,False,2,Rue Jean Jaurès,tertiary,30,False,40.285000000000004,,"LINESTRING (0.3454149 46.5809513, 0.3449911 46.581054, 0.3449178 46.5810718)",,,,
