osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction
16821777,2,Rue de l'Abbé Letty,tertiary,30,False,False,147.727,"LINESTRING (-4.3974454 48.4081727, -4.3975787 48.4082708, -4.3976735 48.4083407, -4.3977104 48.4083678, -4.3978832 48.4085126, -4.3980818 48.408773, -4.3981647 48.4089424, -4.3981796 48.4091137, -4.3981458 48.4093522)",,,
18501273,,Rue Danton,secondary,30,False,False,49.483,"LINESTRING (-4.3974454 48.4081727, -4.3975766 48.4081034, -4.3980429 48.4079787)",,,
58916551,,Rue de la Mairie,secondary,30,False,False,51.369,"LINESTRING (-4.3974454 48.4081727, -4.397291 48.4081007, -4.3970109 48.4079573, -4.3968849 48.4078991)",D 233,,
26643922,,Place de la Libération,residential,30,True,False,67.928,"LINESTRING (-4.3968849 48.4078991, -4.3969141 48.4078642, -4.3969405 48.4077994, -4.3969438 48.4077629, -4.3969378 48.4077209, -4.3968819 48.4076444, -4.3967329 48.4075847, -4.3967058 48.4075738, -4.3966769 48.4073712)",,,
58916551,,Rue de la Mairie,secondary,30,False,False,78.97999999999999,"LINESTRING (-4.3968849 48.4078991, -4.3967305 48.4078381, -4.3963417 48.4077031, -4.3961224 48.4076276, -4.3959395 48.4075669)",D 233,,
58916551,,Rue de la Mairie,secondary,30,False,True,51.369,"LINESTRING (-4.3968849 48.4078991, -4.3970109 48.4079573, -4.397291 48.4081007, -4.3974454 48.4081727)",D 233,,
214445547,,Rue de la Mairie,secondary,30,False,False,62.45099999999999,"LINESTRING (-4.3949354 48.407281, -4.3943624 48.4073813, -4.3942318 48.4073846, -4.3941121 48.4073665)",D 233,,
"[214445547, 58916551]",,Rue de la Mairie,secondary,30,False,True,81.206,"LINESTRING (-4.3949354 48.407281, -4.3950669 48.4072905, -4.3952258 48.4073286, -4.3957285 48.4074968, -4.395852 48.4075369, -4.3959395 48.4075669)",D 233,,
25496868,2,Rue de Kergaret,tertiary,30,False,False,25.311,"LINESTRING (-4.3941121 48.4073665, -4.3940726 48.4074138, -4.3940225 48.4074611, -4.3939012 48.4075442)",,,
214445547,,Rue de la Mairie,secondary,30,False,True,62.45099999999999,"LINESTRING (-4.3941121 48.4073665, -4.3942318 48.4073846, -4.3943624 48.4073813, -4.3949354 48.407281)",D 233,,
