osmid,oneway,name,highway,junction,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width
122541987,True,Place Sadi Carnot,secondary,circular,False,8.403,"LINESTRING (5.3716899 43.2995386, 5.3716455 43.2995502, 5.3715892 43.2995548)",,,,,
"[700788920, 35336993]",False,Rue de la République,secondary,,True,96.751,"LINESTRING (5.3740467 43.2961388, 5.3740762 43.2962241, 5.3740799 43.2962464, 5.3740836 43.2962687, 5.3740716 43.2963258, 5.3740558 43.2963689, 5.374031 43.2964114, 5.3740045 43.2964526, 5.3736266 43.296921)",3,"['30', '50']",,,
120925156,True,Quai des Belges,secondary,,False,40.607,"LINESTRING (5.3740467 43.2961388, 5.3741501 43.2960628, 5.374205 43.2960231, 5.3742429 43.2959778, 5.3742926 43.295883, 5.3743233 43.2958412)",2,30,,,
"[200054024, 201485941]",True,Quai du Port,residential,,False,187.17100000000002,"LINESTRING (5.3740467 43.2961388, 5.3739419 43.2961349, 5.3738424 43.2961408, 5.3737237 43.2961579, 5.3735818 43.2961978, 5.3731036 43.2963318, 5.3729552 43.2963723, 5.3728638 43.2963925, 5.3728287 43.2963973, 5.3727833 43.296399, 5.3726481 43.2963934, 5.3724715 43.2963755, 5.3720771 43.2963359, 5.3719274 43.2963191, 5.3718043 43.2963086)",1,30,,,
200130290,True,Quai de Rive-Neuve,secondary,,False,31.867,"LINESTRING (5.371121 43.2933122, 5.3712825 43.2933176, 5.3715012 43.2933741)",,30,,,
"[421161737, 1237737156]",False,Quai de Rive-Neuve,secondary,,True,200.29299999999998,"LINESTRING (5.371121 43.2933122, 5.370978 43.2932912, 5.3709392 43.2932814, 5.3707552 43.2932348, 5.3704163 43.2931514, 5.3701356 43.2930936, 5.3694031 43.2929761, 5.3690973 43.2929251, 5.3688289 43.2928809, 5.3687272 43.2928633)",3,30,,,
200054021,True,Quai des Belges,secondary,,False,35.684000000000005,"LINESTRING (5.3745509 43.2942831, 5.3744837 43.2942547, 5.3744258 43.2942221, 5.3743276 43.2941748, 5.374285 43.2941529, 5.3742532 43.2941319, 5.3742044 43.2940884)",,30,,,
200061918,False,Quai des Belges,secondary,,False,45.079,"LINESTRING (5.3745509 43.2942831, 5.3745684 43.29431, 5.3745992 43.2944058, 5.3746018 43.2944564, 5.3745761 43.294606, 5.3745624 43.2946812)",2,30,,,
"[139762729, 185074315, 6312953]",False,Quai des Belges,secondary,,False,130.436,"LINESTRING (5.3745624 43.2946812, 5.3744692 43.2951263, 5.3744595 43.2951725, 5.374434 43.2952973, 5.3744248 43.295348, 5.374407 43.2954474, 5.374397 43.2954934, 5.3743279 43.2958125, 5.3743233 43.2958412)",2,30,,,
200061918,False,Quai des Belges,secondary,,True,45.079,"LINESTRING (5.3745624 43.2946812, 5.3745761 43.294606, 5.3746018 43.2944564, 5.3745992 43.2944058, 5.3745684 43.29431, 5.3745509 43.2942831)",2,30,,,
