osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge
"[1005011054, 1005011055]",True,"['1', '2']",D 6113,Boulevard Général Sarrail,primary,50,False,198.70800000000003,"LINESTRING (2.7565034 43.2052247, 2.7565364 43.2051783, 2.7567335 43.2051357, 2.7568703 43.205103, 2.7575161 43.2048923, 2.7578212 43.2047936, 2.7586178 43.2044989, 2.7587134 43.2044957)",,,
1005011056,False,4,D 6113,Boulevard Général Sarrail,primary,50,False,110.98200000000001,"LINESTRING (2.7565034 43.2052247, 2.7563108 43.2052528, 2.7560338 43.2052913, 2.7557355 43.2053105, 2.7556275 43.2053073, 2.7554059 43.2053008, 2.7551465 43.2052764)",,,
62173197,False,5,D 6113,Boulevard Général Sarrail,primary,50,True,213.901,"LINESTRING (2.7521832 43.2034379, 2.7525052 43.2039085, 2.7526552 43.2040979, 2.7528086 43.2042557, 2.7529796 43.2044024, 2.7532118 43.2045654, 2.753442 43.2047063, 2.7536231 43.2048035, 2.7538198 43.2049041)",,,
221402967,True,,D 6113,Boulevard Général Sarrail,primary,50,False,56.403,"LINESTRING (2.7521832 43.2034379, 2.7520006 43.2032508, 2.7518747 43.2031467, 2.7517488 43.2030425)",,,
8024352,True,,,,primary,50,False,14.998999999999999,"LINESTRING (2.7517488 43.2030425, 2.7516757 43.2030376, 2.7515769 43.2029997)",roundabout,,
8024352,True,,,,primary,50,False,23.641000000000002,"LINESTRING (2.7515503 43.2027568, 2.7516382 43.2027083, 2.7517295 43.2026936, 2.7518162 43.2027042)",roundabout,,
8024352,True,,,,primary,50,False,16.163,"LINESTRING (2.7518783 43.202729, 2.7519416 43.2027818, 2.751972 43.2028537)",roundabout,,
30691018,True,,,Avenue des Pins,residential,50,False,38.08,"LINESTRING (2.7518783 43.202729, 2.7520128 43.2027132, 2.7520574 43.202708, 2.7522446 43.2026479, 2.7523231 43.2026264)",,,
8024352,True,,,,primary,50,False,7.336,"LINESTRING (2.751972 43.2028537, 2.7519624 43.2029193)",roundabout,,
8024352,True,,,,primary,50,False,23.328,"LINESTRING (2.7519624 43.2029193, 2.7519062 43.2029893, 2.7518283 43.2030287, 2.7517488 43.2030425)",roundabout,,
62173191,True,,D 6113,Boulevard Général Sarrail,primary,50,False,60.774,"LINESTRING (2.7519624 43.2029193, 2.7519707 43.2030181, 2.7520021 43.20309, 2.7520061 43.2030977, 2.7521832 43.2034379)",,,
30651146,True,,,Cours Henri de Lapeyrouse,secondary,30,False,95.45400000000001,"LINESTRING (2.7584066 43.2006213, 2.7584468 43.2006258, 2.7586305 43.2006463, 2.7590433 43.2007256, 2.7594322 43.2008453, 2.7595321 43.2008605)",,,
30691533,False,,,Rue Gambetta,living_street,,True,53.711,"LINESTRING (2.7584066 43.2006213, 2.7585084 43.2009065, 2.7585844 43.2010865)",,,
30651143,False,,,Avenue du Maréchal Foch,secondary,50,False,22.805,"LINESTRING (2.7565883 43.2010254, 2.7563531 43.2010762, 2.7563184 43.2010833)",,,
30651145,True,,,Cours de la République,secondary,,False,67.69200000000001,"LINESTRING (2.7565883 43.2010254, 2.756811 43.2009587, 2.7573802 43.200834)",,,
30651150,False,,D 611,Avenue du Président Wilson,secondary,,False,12.458,"LINESTRING (2.7635125 43.2003656, 2.7633699 43.2004074)",,,
"[30651152, 30651157, 30651158]",False,,D 611,Boulevard Albert Premier,secondary,50,"[False, True]",74.137,"LINESTRING (2.7635252 43.1983025, 2.7634156 43.1985398, 2.7633513 43.1986925, 2.7632878 43.1989449)",,yes,
30651158,False,,D 611,Boulevard Albert Premier,secondary,50,True,41.795,"LINESTRING (2.7633555 43.1993118, 2.7632696 43.1990803, 2.7632878 43.1989449)",,,
"[221998888, 30651215, 221998887]",False,,,Résidence René Cassin,residential,,True,35.003,"LINESTRING (2.7633555 43.1993118, 2.7631401 43.1993725, 2.7630648 43.1994085, 2.7629678 43.1994476)",,,yes
221402988,False,,D 611,Avenue de l'Égalité,secondary,50,False,36.55,"LINESTRING (2.7592306 43.2050498, 2.7589754 43.2047788)",,,
275748297,False,,,Allée des Cyprès,residential,,False,76.856,"LINESTRING (2.7592306 43.2050498, 2.7601402 43.2052451)",,,
221402988,False,,D 611,Avenue de l'Égalité,secondary,50,True,23.991999999999997,"LINESTRING (2.7587134 43.2044957, 2.7587826 43.204574, 2.7588778 43.2046751)",,,
367698909,False,,D 6113,Boulevard de la Marne,primary,50,True,25.415999999999997,"LINESTRING (2.7587134 43.2044957, 2.7587994 43.2044445, 2.7588741 43.204415, 2.7589799 43.2043776)",,,
882869453,True,,D 611,Avenue de l'Égalité,secondary,50,False,34.568,"LINESTRING (2.7587134 43.2044957, 2.758671 43.2044204, 2.7584965 43.2042294)",,,
1005006231,True,1,D 6113,Boulevard Général Sarrail,primary,50,False,27.262,"LINESTRING (2.7587134 43.2044957, 2.7586601 43.2045605, 2.7584552 43.2046409)",,,
30651137,False,,,Chemin de Montcens,unclassified,,False,37.445,"LINESTRING (2.7632475 43.2046069, 2.7635066 43.2048857)",,,
367698907,False,,D 67,Avenue Léon Bourgeois,tertiary,80,False,4.52,"LINESTRING (2.7632475 43.2046069, 2.7632029 43.2045825)",,,
367698907,False,,D 67,Avenue Léon Bourgeois,tertiary,80,True,48.174,"LINESTRING (2.7627459 43.2043055, 2.7632029 43.2045825)",,,
367698907,False,,D 67,Avenue Léon Bourgeois,tertiary,80,False,102.46799999999999,"LINESTRING (2.7627459 43.2043055, 2.7621657 43.203875, 2.7618557 43.2036512)",,,
62173217,False,,D 6113,Avenue Maréchal Gallieni,primary,50,True,15.998,"LINESTRING (2.7615754 43.2034286, 2.7617497 43.2033611)",,,
205455491,False,,D 67,Avenue Léon Bourgeois,tertiary,50,False,75.741,"LINESTRING (2.7615754 43.2034286, 2.7614932 43.2033521, 2.7614768 43.2033369, 2.7609991 43.2028924)",,,
367698909,False,,D 6113,Boulevard de la Marne,primary,50,False,144.61599999999999,"LINESTRING (2.7615754 43.2034286, 2.7614576 43.2034735, 2.7614238 43.2034864, 2.7606812 43.2037872, 2.760378 43.2038913, 2.7599949 43.2040311)",,,
205455491,False,,D 67,Avenue Léon Bourgeois,tertiary,50,False,17.966,"LINESTRING (2.7609991 43.2028924, 2.7608707 43.2027607)",,,
30654818,False,,,Rue Alsace Lorraine,residential,,True,249.151,"LINESTRING (2.7609991 43.2028924, 2.7601994 43.2032093, 2.759147 43.2036219, 2.7582543 43.2038961)",,,
205455491,False,,D 67,Avenue Léon Bourgeois,tertiary,50,True,75.74100000000001,"LINESTRING (2.7609991 43.2028924, 2.7614768 43.2033369, 2.7614932 43.2033521, 2.7615754 43.2034286)",,,
30651147,False,,D 506,Boulevard de Châteaudun,secondary,,True,38.364000000000004,"LINESTRING (2.7599649 43.2017463, 2.7598635 43.201471, 2.7598283 43.2014168)",,,
30651149,True,,D 506,Boulevard Gabriel Péri,secondary,,False,128.84300000000002,"LINESTRING (2.7599649 43.2017463, 2.7599531 43.2018092, 2.7597575 43.2020717, 2.7594643 43.2023631, 2.7593719 43.2024531, 2.7590109 43.2026399)",,,
205455491,False,,D 67,Avenue Léon Bourgeois,tertiary,50,True,62.637,"LINESTRING (2.7599649 43.2017463, 2.7602066 43.2020481, 2.7603671 43.2022271)",,,
663143016,False,,D 506,Boulevard Gabriel Péri,secondary,,True,9.862,"LINESTRING (2.7580199 43.2028691, 2.7581366 43.202844)",,,
30651144,True,,,Boulevard Marx Dormoy,secondary,,False,59.118,"LINESTRING (2.7580199 43.2028691, 2.7575286 43.2029804, 2.7573171 43.2030081)",,,
30651144,True,,,Boulevard Marx Dormoy,secondary,,False,14.808,"LINESTRING (2.7563497 43.2019213, 2.7563404 43.2017883)",,,
30691023,False,,,Rue de l'Homme Libre,residential,,False,92.173,"LINESTRING (2.7563497 43.2019213, 2.7552679 43.2021768)",,,
