osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,lanes
102164666,primary,50,roundabout,True,False,22.56,"LINESTRING (2.0022673 48.8342548, 2.0023311 48.8342018, 2.0024177 48.8341654, 2.0025176 48.8341496)",,,
102164669,secondary,,,True,False,279.399,"LINESTRING (2.0022673 48.8342548, 2.0022505 48.8342126, 2.0022157 48.8341582, 2.0021727 48.8341076, 2.0021269 48.8340496, 2.002057 48.8339736, 2.0018556 48.8337546, 2.0011297 48.8329093, 2.0005697 48.8322984, 2.0004997 48.8322245, 2.0003627 48.8320801)",,,
102164666,primary,50,roundabout,True,False,17.134,"LINESTRING (2.0025386 48.8345571, 2.0024971 48.8345537, 2.0024636 48.834551, 2.0023997 48.8345354, 2.0023873 48.8345305, 2.0023257 48.8345013)",,,
"[619881889, 22602654]",primary,"['50', '80']",,True,False,147.344,"LINESTRING (2.0038188 48.8355657, 2.0032641 48.8351029, 2.0030194 48.8348831, 2.0028596 48.8347396, 2.0028013 48.8346948, 2.0027169 48.83463, 2.0026458 48.8345851, 2.0026316 48.8345801, 2.0025386 48.8345571)",D 98,,
"[619808856, 102164645]",primary,"['50', '80']",,True,False,145.577,"LINESTRING (2.0028161 48.834444, 2.00282 48.8344923, 2.0028247 48.8345068, 2.0028517 48.8345538, 2.0029462 48.8346503, 2.0029754 48.8346801, 2.0030966 48.8347998, 2.0033355 48.8350356, 2.0038188 48.8355657)",D 98,,
102164666,primary,50,roundabout,True,False,25.017,"LINESTRING (2.0028161 48.834444, 2.0027475 48.8345039, 2.0026506 48.8345433, 2.0025386 48.8345571)",,,
102164666,primary,50,roundabout,True,False,27.785999999999998,"LINESTRING (2.0025176 48.8341496, 2.0025953 48.8341561, 2.0026356 48.8341594, 2.0027126 48.8341879, 2.0027394 48.8341978, 2.0028231 48.834273)",,,
104335177,secondary,,,False,True,78.348,"LINESTRING (2.0013363 48.8301934, 2.0018722 48.830236, 2.0024005 48.8302682)",D 161,Avenue du Général de Gaulle,
510773324,residential,30,,False,False,127.94800000000001,"LINESTRING (2.0013363 48.8301934, 2.0012791 48.830072, 2.0012102 48.8300055, 2.0005122 48.829367, 2.0003962 48.8292305)",,Avenue des Clayes,
1130956531,secondary,,,False,False,48.065,"LINESTRING (2.0013363 48.8301934, 2.0010957 48.8302534, 2.0009262 48.8303501, 2.000808 48.8304351)",D 161,,
800358323,unclassified,,,False,False,42.054,"LINESTRING (2.0114064 48.8357744, 2.0108702 48.8356385)",,Chemin de la Cavée,2
100146169,tertiary,30,,False,True,139.94400000000002,"LINESTRING (2.0114064 48.8357744, 2.0114224 48.8356771, 2.0115188 48.8355422, 2.0118626 48.8351743, 2.0120128 48.8350471, 2.0122381 48.8348777, 2.012307 48.8348325, 2.0123645 48.8347948, 2.0124463 48.8347412)",D 97,Rue Amédée Brocard,2
104335173,secondary,30,,False,False,66.27,"LINESTRING (2.0132937 48.8339249, 2.0131188 48.834272, 2.0130264 48.8343691, 2.0129182 48.8344603)",D 161,Rue Amédée Brocard,2
104335173,secondary,30,,False,True,14.399000000000001,"LINESTRING (2.0132937 48.8339249, 2.0133894 48.8338564, 2.0134423 48.8338457)",D 161,Rue Amédée Brocard,2
104335173,secondary,30,,False,True,66.27,"LINESTRING (2.0129182 48.8344603, 2.0130264 48.8343691, 2.0131188 48.834272, 2.0132937 48.8339249)",D 161,Rue Amédée Brocard,2
1130956528,secondary,30,,False,False,12.285,"LINESTRING (2.0129182 48.8344603, 2.0128737 48.8344934, 2.0128018 48.8345398)",D 161,Rue Amédée Brocard,2
1130956528,secondary,30,,False,False,34.331,"LINESTRING (2.0128018 48.8345398, 2.0127331 48.8345777, 2.0124463 48.8347412)",D 161,Rue Amédée Brocard,2
1130956528,secondary,30,,False,True,12.285,"LINESTRING (2.0128018 48.8345398, 2.0128737 48.8344934, 2.0129182 48.8344603)",D 161,Rue Amédée Brocard,2
88436414,secondary,30,,True,False,122.016,"LINESTRING (2.0124463 48.8347412, 2.0119032 48.8344494, 2.011328 48.8340887, 2.0112084 48.8340906, 2.0111565 48.8340919)",D 161,Rue du Docteur Alexandre,
100146169,tertiary,30,,False,False,139.94400000000002,"LINESTRING (2.0124463 48.8347412, 2.0123645 48.8347948, 2.012307 48.8348325, 2.0122381 48.8348777, 2.0120128 48.8350471, 2.0118626 48.8351743, 2.0115188 48.8355422, 2.0114224 48.8356771, 2.0114064 48.8357744)",D 97,Rue Amédée Brocard,2
1130956528,secondary,30,,False,True,34.331,"LINESTRING (2.0124463 48.8347412, 2.0127331 48.8345777, 2.0128018 48.8345398)",D 161,Rue Amédée Brocard,2
25798838,secondary,,,False,False,48.81699999999999,"LINESTRING (2.0089246 48.8326743, 2.0088684 48.8326201, 2.008847 48.8325995, 2.0085486 48.8323117)",D 161,Rue Pasteur,
25798838,secondary,,,False,True,110.046,"LINESTRING (2.0089246 48.8326743, 2.0089925 48.8327437, 2.009012 48.8327636, 2.0094622 48.8332235, 2.0097367 48.8333669, 2.0098624 48.8334326)",D 161,Rue Pasteur,
88436399,residential,30,,False,False,84.06200000000001,"LINESTRING (2.0089246 48.8326743, 2.0088529 48.8327066, 2.0088215 48.8327208, 2.0081978 48.8330018, 2.0079615 48.8330846)",,Avenue de la Fontaine aux Dames,
256428632,residential,,,False,True,40.379999999999995,"LINESTRING (2.0089246 48.8326743, 2.0090084 48.8326446, 2.0090346 48.8326353, 2.0094103 48.8325021)",,Rue du Potager,
104335173,secondary,30,,False,False,14.399000000000001,"LINESTRING (2.0134423 48.8338457, 2.0133894 48.8338564, 2.0132937 48.8339249)",D 161,Rue Amédée Brocard,2
342620479,residential,,,False,True,125.94399999999999,"LINESTRING (2.0134423 48.8338457, 2.0134024 48.8337874, 2.0130667 48.8333192, 2.0129337 48.8333234, 2.012558 48.8337152)",,Rue des Orfèvres,
88436407,residential,,,False,False,134.374,"LINESTRING (2.0051758 48.8327322, 2.0042219 48.831816, 2.0041586 48.8317276)",,Impasse du Moulin à Vent,
88436402,residential,,,False,False,25.353,"LINESTRING (2.008151 48.8348752, 2.0083045 48.8346708)",,Avenue des Prés Vendome,
88436412,residential,,,False,False,18.863,"LINESTRING (2.008151 48.8348752, 2.0080126 48.8347321)",,Avenue des Prés Vendome,
