osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,width,tunnel,access
66676513,True,Rue de Paris,residential,30,False,96.326,"LINESTRING (3.5687206 47.7993186, 3.5687679 47.7991873, 3.5688529 47.7989512, 3.5690582 47.798576, 3.5690654 47.7985629, 3.5691037 47.7984929)",,,,,
19350674,True,Rue du 4 Septembre 1870,residential,30,False,234.50600000000003,"LINESTRING (3.5698326 47.7972668, 3.5698664 47.7972952, 3.5701925 47.7974758, 3.5711523 47.7980095, 3.5715145 47.7981788, 3.5723114 47.7984387, 3.5723903 47.7984673)",,,,,
66676531,True,Rue Dampierre,residential,30,False,41.643,"LINESTRING (3.5698326 47.7972668, 3.5697386 47.7973178, 3.5694782 47.7974671, 3.5694092 47.7975103)",,,,,
66676513,True,Rue de Paris,residential,30,False,20.986,"LINESTRING (3.5694092 47.7975103, 3.5693268 47.7974472, 3.5692768 47.7974069, 3.5692269 47.7973667)",,,,,
66676522,True,Place Charles Lepère,residential,30,False,11.619,"LINESTRING (3.5685697 47.7957221, 3.5684156 47.7957079)",,,,,
5197015,True,Rue de l'Égalité,residential,30,False,32.778,"LINESTRING (3.5667264 47.7954896, 3.5667388 47.7954534, 3.5668675 47.7952107)",,,,,
171993169,True,Rue d'Égleny,residential,30,False,55.195,"LINESTRING (3.5667264 47.7954896, 3.5666874 47.7954853, 3.5666213 47.7954769, 3.5663258 47.7954394, 3.5662957 47.7954371, 3.5661986 47.7954296, 3.5661435 47.7954253, 3.5659959 47.7954193)",2,,,,
5197015,True,Rue de l'Égalité,residential,30,False,49.626000000000005,"LINESTRING (3.5668675 47.7952107, 3.5668837 47.795183, 3.5670419 47.7949832, 3.5671739 47.7948149)",,,,,
418803204,True,Place Saint-Eusèbe,residential,30,False,12.677,"LINESTRING (3.5679133 47.7944477, 3.5679509 47.7944437, 3.5680809 47.7944298)",,,,,
42673232,True,Rue Martineau des Chesnez,residential,30,False,30.528,"LINESTRING (3.5697324 47.7943202, 3.5700941 47.7941924)",,,,,
56418636,True,Rue des Orgues,residential,30,False,151.38299999999998,"LINESTRING (3.5697324 47.7943202, 3.5696014 47.7940765, 3.5694632 47.7938804, 3.5694123 47.7938081, 3.5701353 47.7935673, 3.5699875 47.7933235)",,,,,
56400721,False,Place Saint-Mamert,residential,30,True,7.256,"LINESTRING (3.5710698 47.79372, 3.5710361 47.7937812)",,,,,
