osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,ref,tunnel
24254121,Avenue du Général de Gaulle,tertiary,30,False,False,148.57700000000003,"LINESTRING (6.4734326 46.3686925, 6.4736181 46.3687811, 6.4736705 46.3688057, 6.4738616 46.3688957, 6.4739917 46.368957, 6.4741492 46.3690319, 6.4744407 46.3691646, 6.4744814 46.3691819, 6.4745357 46.3692041, 6.4745898 46.3692252, 6.4746661 46.3692534, 6.4747204 46.3692723, 6.4747926 46.3692962, 6.4748636 46.3693182, 6.4749527 46.3693438, 6.4750259 46.3693632, 6.4750869 46.3693783)",,,,,
"[1194228258, 847205470]",Avenue du Général de Gaulle,tertiary,30,False,False,118.016,"LINESTRING (6.4760697 46.3695759, 6.4761547 46.3695927, 6.4768962 46.3697392, 6.4769993 46.3697595, 6.4774537 46.3698469, 6.4775041 46.3698551, 6.4775508 46.3698619)",,,,,
1194228258,Avenue du Général de Gaulle,tertiary,30,False,True,67.988,"LINESTRING (6.4760697 46.3695759, 6.4754534 46.3694542, 6.4752178 46.3694076)",,,,,
528880747,Place Jean Moulin,tertiary,50,True,False,15.84,"LINESTRING (6.4751636 46.3727672, 6.47518 46.3727534, 6.4751994 46.3727417, 6.4752212 46.3727322, 6.475245 46.3727252, 6.4752701 46.372721, 6.4752958 46.3727196, 6.4753215 46.3727211, 6.4753465 46.3727254)",1,roundabout,,,
"[876556777, 1126791276]",Boulevard de la Corniche,tertiary,50,False,True,18.614,"LINESTRING (6.4751636 46.3727672, 6.4751302 46.3727498, 6.4751109 46.3727399, 6.4749686 46.3726676)",2,,,,
24241794,Rue François Morel,residential,30,False,True,97.41600000000001,"LINESTRING (6.4778907 46.3690178, 6.4778655 46.3690799, 6.4777157 46.3694525, 6.4775736 46.3698059, 6.4775508 46.3698619)",2,,,,
24241801,Boulevard du Général Dessaix,residential,30,False,False,107.95,"LINESTRING (6.4778907 46.3690178, 6.4777705 46.3689957, 6.4766145 46.3687808, 6.476576 46.3687735, 6.4765329 46.3687636)",2,,,,
24241801,Boulevard du Général Dessaix,residential,30,False,True,65.20500000000001,"LINESTRING (6.4778907 46.3690178, 6.4779936 46.3690364, 6.4780433 46.3690417, 6.4780885 46.3690455, 6.4781366 46.3690464, 6.4782013 46.369046, 6.4786554 46.3690429, 6.4787361 46.3690423)",2,,,,
24241801,Boulevard du Général Dessaix,residential,30,False,True,107.95,"LINESTRING (6.4765329 46.3687636, 6.476576 46.3687735, 6.4766145 46.3687808, 6.4777705 46.3689957, 6.4778907 46.3690178)",2,,,,
24241809,Rue des Italiens,residential,30,True,False,97.456,"LINESTRING (6.4765329 46.3687636, 6.4764957 46.3688186, 6.4762286 46.3691995, 6.4762089 46.3692292, 6.4761904 46.3692631, 6.4761755 46.3692981, 6.4760934 46.3695136, 6.4760697 46.3695759)",1,,,,
24241822,Avenue du Turgot,residential,30,False,False,94.479,"LINESTRING (6.4752178 46.3694076, 6.4751959 46.3694539, 6.4751858 46.3694732, 6.4751665 46.3695011, 6.4751468 46.3695229, 6.474783 46.3699179, 6.4746509 46.3700605, 6.4746314 46.3700804, 6.4746167 46.370092, 6.4746041 46.3701004, 6.4745902 46.3701083, 6.474577 46.3701148, 6.4745628 46.3701207)",2,,,,
1194228258,Avenue du Général de Gaulle,tertiary,30,False,False,67.988,"LINESTRING (6.4752178 46.3694076, 6.4754534 46.3694542, 6.4760697 46.3695759)",,,,,
1194228258,Avenue du Général de Gaulle,tertiary,30,False,True,10.559000000000001,"LINESTRING (6.4752178 46.3694076, 6.4751762 46.3693988, 6.475125 46.3693873, 6.4750869 46.3693783)",,,,,
841916763,,tertiary,30,True,False,10.370999999999999,"LINESTRING (6.4809684 46.3699316, 6.4809912 46.3699349, 6.481013 46.3699405, 6.4810334 46.3699482, 6.4810519 46.369958, 6.4810641 46.3699663, 6.4810804 46.3699793)",,roundabout,,,
529001819,Place Jean Moulin,tertiary,50,True,False,18.865,"LINESTRING (6.4754039 46.3729119, 6.4753846 46.3729223, 6.4753631 46.3729307, 6.4753401 46.3729366, 6.4753161 46.3729401, 6.4752915 46.372941, 6.475267 46.3729393, 6.4752432 46.372935, 6.4752207 46.3729283, 6.4751999 46.3729193, 6.4751813 46.3729081)",1,roundabout,,,
24256238,Rue de l'Annexion,tertiary,30,True,False,46.99699999999999,"LINESTRING (6.4765454 46.3719984, 6.476574 46.3720006, 6.4766015 46.3720066, 6.4766268 46.3720162, 6.4766489 46.3720289, 6.4769484 46.3722417, 6.4769953 46.3722751)",2,,,,
847205464,Boulevard Carnot,tertiary,30,False,True,8.895,"LINESTRING (6.4765454 46.3719984, 6.4765513 46.3719688, 6.4765663 46.3719402, 6.4765805 46.3719231)",2,,,,
31650711,Rue Vallon,tertiary,30,True,False,152.48800000000003,"LINESTRING (6.4769953 46.3722751, 6.4769519 46.3723026, 6.4767326 46.3724429, 6.4766843 46.3724716, 6.4766218 46.3725111, 6.4764544 46.3726167, 6.4759879 46.3729114, 6.4759542 46.3729301, 6.475947 46.3729334, 6.475902 46.3729512, 6.4758538 46.3729644, 6.4758034 46.3729727, 6.4757516 46.3729761, 6.4756996 46.3729743, 6.4756485 46.3729675, 6.4755994 46.3729557, 6.4755556 46.3729423, 6.4755105 46.3729306, 6.4754554 46.3729194, 6.4754039 46.3729119)",1,,,,
"[1126791272, 172425091]",Rue de la Paix,tertiary,30,False,True,50.846,"LINESTRING (6.4769953 46.3722751, 6.4770332 46.372288, 6.4770699 46.3723041, 6.4771257 46.3723345, 6.4771765 46.3723685, 6.4774761 46.3725862)","['2', '3']",,,,
"[31650712, 847205466, 516836652]","['Rue Vallon', ""Rue du Trentième Régiment d'Infanterie""]",residential,30,True,False,188.27300000000005,"LINESTRING (6.4769953 46.3722751, 6.4770647 46.3722295, 6.477114 46.3721977, 6.4771294 46.3721876, 6.4772004 46.3721408, 6.4774164 46.3720007, 6.4778876 46.3717151, 6.478156 46.3715609, 6.4781708 46.3715546, 6.4781822 46.3715519, 6.4781912 46.3715505, 6.4782033 46.3715501, 6.4782171 46.3715514, 6.4782298 46.3715538, 6.4782593 46.371562, 6.4782704 46.3715669, 6.4782818 46.3715732, 6.4782891 46.3715808, 6.4782959 46.3715935, 6.4782999 46.3716114, 6.478318 46.371725, 6.478322 46.3717436, 6.4783264 46.3717632, 6.4783301 46.3717801, 6.4783714 46.3719158, 6.4784067 46.3720316, 6.4784082 46.3720465, 6.4784085 46.3720622, 6.4784072 46.3720726, 6.4784027 46.3720884)",1,,5.4,,
