osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,tunnel,junction
110573160,D 910,Place du Général de Gaulle,secondary,False,True,16.683,"LINESTRING (0.1974244 46.0258474, 0.1974552 46.0256989)",,,,,
110573202,D 910,Avenue du Général Leclerc,secondary,False,False,38.027,"LINESTRING (0.1974244 46.0258474, 0.1974043 46.0261891)",,,,,
33892986,D 736,Place du Général de Gaulle,secondary,True,False,19.859,"LINESTRING (0.1974244 46.0258474, 0.1973438 46.0257954, 0.1972933 46.0256994)",,,,,
110573202,D 910,Avenue du Général Leclerc,secondary,False,False,104.239,"LINESTRING (0.1974043 46.0261891, 0.1973269 46.027125)",,,,,
110573202,D 910,Avenue du Général Leclerc,secondary,False,True,38.027,"LINESTRING (0.1974043 46.0261891, 0.1974244 46.0258474)",,,,,
110573193,,,residential,False,False,13.659,"LINESTRING (0.1974043 46.0261891, 0.197462 46.0261931, 0.1975808 46.026197)",,,,,
110573202,D 910,Avenue du Général Leclerc,secondary,False,True,104.239,"LINESTRING (0.1973269 46.027125, 0.1974043 46.0261891)",,,,,
325379906,,Rue du Piolet,residential,True,False,38.899,"LINESTRING (0.1973269 46.027125, 0.1973954 46.0271339, 0.1978189 46.0272003)",,,,,
325379907,D 910,Rue du Général Leclerc,secondary,False,False,195.81099999999998,"LINESTRING (0.1973269 46.027125, 0.1973185 46.0272304, 0.1972762 46.0277601, 0.1972513 46.028029, 0.1971996 46.0285888, 0.1971882 46.0287405, 0.1971814 46.028883)",30,,,,
325382117,D 736,Place du Général de Gaulle,secondary,False,False,41.622,"LINESTRING (0.1972933 46.0256994, 0.1972797 46.0256774, 0.1970801 46.0253556)",,,,,
325382118,,,secondary,True,False,12.506,"LINESTRING (0.1972933 46.0256994, 0.1973917 46.0257008, 0.1974552 46.0256989)",,,,,
183274139,,Chemin de Tivoli,residential,False,False,96.97,"LINESTRING (0.2057212 46.0256469, 0.2054035 46.0256376, 0.2044844 46.0255075)",,,,,
183263432,,Rue du Docteur Schweitzer,residential,False,True,115.664,"LINESTRING (0.2008314 46.0329565, 0.1995166 46.0324577)",,,,,
"[183263404, 325373165, 325373167]",,Chemin de la Poultrie,"['residential', 'unclassified']",False,True,213.648,"LINESTRING (0.2008314 46.0329565, 0.2014071 46.0326937, 0.2014962 46.0326303, 0.2015789 46.0325087, 0.2014991 46.0319694, 0.2013173 46.0314186, 0.2012971 46.0313067)",,yes,2,,
110573170,,Place des Martyrs de l'Occupation,residential,True,False,39.286,"LINESTRING (0.199902 46.0285218, 0.1999914 46.0285703, 0.2002458 46.0286826, 0.2003108 46.0287297)",,,,,
952265336,,Place des Martyrs de l'Occupation,residential,True,False,23.356,"LINESTRING (0.199902 46.0285218, 0.1999494 46.0285841, 0.1999697 46.0286447, 0.1999624 46.0287219)",,,,,
110573167,D 736,Route d'Aigre,secondary,False,False,11.357,"LINESTRING (0.1970801 46.0253556, 0.1970193 46.0252626)",,,,,
110573189,,Place du Général de Gaulle,residential,True,False,31.746,"LINESTRING (0.1970801 46.0253556, 0.1974235 46.0253205, 0.1974874 46.0253172)",,,,,
