osmid,name,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,lanes,access,bridge
23756668,Place de la République,secondary,roundabout,True,False,16.22,"LINESTRING (-1.4412173 47.2666265, -1.4411774 47.2666373, -1.4411464 47.2666576, -1.4411292 47.2666843, -1.4411282 47.2667135, -1.4411436 47.2667407)",,,,,
"[693333027, 164670447]",Rue des Ponts,secondary,,False,True,90.182,"LINESTRING (-1.4412173 47.2666265, -1.4411926 47.2665452, -1.4411387 47.2663827, -1.4409719 47.2662124, -1.4406946 47.266012, -1.4406632 47.265983, -1.4406435 47.2659389)",M 37,50,,,
"[600323777, 23756670]",Rue de Carquefou,secondary,,False,False,26.294,"LINESTRING (-1.441242 47.2667759, -1.4412494 47.2668533, -1.4412565 47.2669266, -1.4412633 47.2669637, -1.441272 47.2670114)",,50,2,,
600325763,Place de la République,secondary,roundabout,True,False,15.773,"LINESTRING (-1.441242 47.2667759, -1.4412827 47.2667694, -1.441317 47.2667532, -1.44134 47.2667295, -1.4413486 47.2667018, -1.4413413 47.2666738)",,,,,
23756668,Place de la République,secondary,roundabout,True,False,11.591999999999999,"LINESTRING (-1.4413413 47.2666738, -1.4413217 47.2666514, -1.441292 47.2666349, -1.4412557 47.2666263, -1.4412173 47.2666265)",,,,,
"[164670450, 24362638]",Rue de Nantes,tertiary,,False,False,196.199,"LINESTRING (-1.4413413 47.2666738, -1.4413897 47.266627, -1.4416341 47.2664825, -1.4419549 47.2661904, -1.4422554 47.2659558, -1.4426001 47.2656953, -1.442643 47.2656629, -1.4430712 47.2653617)",,30,2,,
23756674,,secondary,roundabout,True,False,14.478000000000002,"LINESTRING (-1.4431863 47.2691845, -1.4431534 47.2691979, -1.443128 47.2692175, -1.4431125 47.2692413, -1.4431082 47.2692672, -1.4431156 47.2692927)",,,,,
164670449,Rue de Carquefou,secondary,,False,True,234.317,"LINESTRING (-1.4431863 47.2691845, -1.4431656 47.2691458, -1.4431252 47.2690928, -1.4429449 47.268893, -1.4422274 47.2682467, -1.4421715 47.268196, -1.4419457 47.2680037, -1.4418248 47.2678714, -1.4415154 47.2674197)",M 37,50,,,
600325855,,secondary,roundabout,True,False,14.925,"LINESTRING (-1.4433048 47.2693345, -1.4433337 47.2693162, -1.4433528 47.2692927, -1.4433602 47.2692663, -1.4433552 47.2692397, -1.4433383 47.2692154)",,,,,
56004567,Rue de la Bussonnière,residential,,False,False,163.64,"LINESTRING (-1.4433383 47.2692154, -1.4434102 47.2692123, -1.443482 47.2691728, -1.4441599 47.2686638, -1.4446899 47.2682495, -1.4448123 47.2681556)",,,,,
600325855,,secondary,roundabout,True,False,12.884999999999998,"LINESTRING (-1.4433383 47.2692154, -1.4433086 47.2691946, -1.4432704 47.2691817, -1.443228 47.2691782, -1.4431863 47.2691845)",,,,,
24362646,,tertiary,roundabout,True,False,11.814,"LINESTRING (-1.4438093 47.2647175, -1.4438467 47.2647252, -1.4438859 47.264724, -1.4439221 47.2647139, -1.4439511 47.2646961)",,,,,
164670450,Rue de Nantes,tertiary,,False,True,91.149,"LINESTRING (-1.4438093 47.2647175, -1.4437387 47.2648102, -1.4434748 47.2650668, -1.4430712 47.2653617)",,30,2,,
"[176447456, 24362639]",Rue de Nantes,tertiary,,False,"[False, True]",94.049,"LINESTRING (-1.4439296 47.2645861, -1.4439895 47.2645283, -1.4440049 47.2645134, -1.4441523 47.2643399, -1.4441869 47.2642991, -1.4445727 47.2638619)",D 68,50,3,,
600325862,,tertiary,roundabout,True,False,14.322000000000001,"LINESTRING (-1.4439296 47.2645861, -1.4438959 47.2645742, -1.4438583 47.2645706, -1.443821 47.2645755, -1.4437881 47.2645884, -1.4437633 47.2646078)",,,,,
56027068,Rue de Mauves,tertiary,,False,False,40.378,"LINESTRING (-1.4400698 47.2673049, -1.4404126 47.2671105, -1.4404795 47.2670713)",M 68,50,,,
56027068,Rue de Mauves,tertiary,,False,True,75.662,"LINESTRING (-1.4400698 47.2673049, -1.439844 47.267432, -1.4397013 47.2675112, -1.439522 47.2676139, -1.4392963 47.2677379)",M 68,50,,,
56027733,Avenue du Val de Loire,residential,,False,True,44.306,"LINESTRING (-1.4400698 47.2673049, -1.4398424 47.2671113, -1.4396931 47.2669995)",,,,,
"[164670448, 520585277]",Rue de Mauves,tertiary,,False,True,62.233000000000004,"LINESTRING (-1.4411436 47.2667407, -1.4410478 47.2667761, -1.4408481 47.2668798, -1.4405639 47.2670274, -1.4404795 47.2670713)",M 68,50,2,,
600325766,Place de la République,secondary,roundabout,True,False,8.744,"LINESTRING (-1.4411436 47.2667407, -1.4411695 47.2667601, -1.4412037 47.2667723, -1.441242 47.2667759)",,,,,
56004045,Rue du Point du Jour,residential,,False,False,194.442,"LINESTRING (-1.4455989 47.265447, -1.4457335 47.2655077, -1.4464392 47.2658334, -1.4465277 47.2658955, -1.4465586 47.2659903, -1.4464073 47.2663612, -1.4463037 47.266626, -1.446256 47.2667478, -1.4462577 47.2668393)",,,,,
56004045,Rue du Point du Jour,residential,,False,True,149.78199999999998,"LINESTRING (-1.4455989 47.265447, -1.4454746 47.2653949, -1.4446582 47.2650179, -1.4440236 47.2647291, -1.4439511 47.2646961)",,,,,
56023671,Rue des Hameaux,residential,,False,True,91.00399999999999,"LINESTRING (-1.4455989 47.265447, -1.4456223 47.2654254, -1.4456798 47.2653721, -1.4458894 47.2651789, -1.4463233 47.2647927)",,,,,
