osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,access,junction
42996267,Place de l'Hôtel de Ville,living_street,20,False,False,61.751000000000005,"LINESTRING (4.8541056 46.7810518, 4.8540176 46.7810401, 4.8533494 46.7809567, 4.8533082 46.7809507)",,,,,
"[319611985, 278014011]",Rue du Général Leclerc,secondary,20,True,False,148.14700000000002,"LINESTRING (4.8541056 46.7810518, 4.8540781 46.7811343, 4.8540549 46.7812027, 4.8539928 46.7813856, 4.853966 46.7814646, 4.8539297 46.7815716, 4.8538814 46.781714, 4.8538258 46.781878, 4.8536954 46.7823111, 4.853683 46.7823522)",,,,,
"[319611985, 220908063]","['Rue du Général Leclerc', 'Place du Général de Gaulle']",secondary,,True,False,121.59800000000001,"LINESTRING (4.8534501 46.7829763, 4.8533727 46.7831764, 4.853258 46.783473, 4.8532481 46.7835357, 4.8532319 46.7836291, 4.8531111 46.7839325, 4.8530829 46.7840389)",3,,,,
28281529,Rue de Trémouille,residential,,True,False,50.88100000000001,"LINESTRING (4.8561003 46.7840079, 4.8565261 46.7840146, 4.8566232 46.7840082, 4.856687 46.7839928, 4.8567237 46.7839812, 4.856757 46.7839706)",,,,,
115953200,Rue des Jacobines,residential,,False,False,22.196,"LINESTRING (4.8561003 46.7840079, 4.8560764 46.7840445, 4.8560007 46.7841451, 4.8559697 46.7841863)",,,,,
115952398,Rue de l'Ancien Collège,residential,,True,False,84.916,"LINESTRING (4.856757 46.7839706, 4.8568235 46.7839473, 4.8568799 46.783925, 4.8571271 46.7838242, 4.8576541 46.7836092, 4.8576972 46.783594, 4.8577201 46.7835859)",,,,,
224886373,Rue de Trémouille,residential,,False,True,86.511,"LINESTRING (4.856757 46.7839706, 4.8568146 46.7840472, 4.8573235 46.7845883, 4.8573616 46.7846289)",,,,,
"[172910153, 146021770, 146021774]",Rue de la Motte,residential,,False,False,74.483,"LINESTRING (4.8573616 46.7846289, 4.8573361 46.7846389, 4.857324 46.7846479, 4.85713 46.7847523, 4.8570962 46.7847715, 4.8570679 46.7847883, 4.8567996 46.7849471, 4.8566106 46.7850573)",,,,,
224886373,Rue de Trémouille,residential,,False,False,86.511,"LINESTRING (4.8573616 46.7846289, 4.8573235 46.7845883, 4.8568146 46.7840472, 4.856757 46.7839706)",,,,,
"[38244969, 1238168306, 361717149]",Quai de l'Hôpital,residential,,False,True,22.108999999999998,"LINESTRING (4.8590139 46.7799513, 4.8591203 46.7799977, 4.8592045 46.7800329, 4.8592351 46.7800449, 4.8592614 46.7800552)",,,,,
"[966787443, 966787444, 966787445, 262138582]",Quai de l'Hôpital,residential,,False,True,146.63600000000002,"LINESTRING (4.8590139 46.7799513, 4.8589628 46.7799339, 4.8582665 46.7796816, 4.857739 46.7794905, 4.8576167 46.7794462, 4.8575025 46.7794075, 4.857376 46.7793647, 4.8573543 46.7793507, 4.8573428 46.7793192)",,,,,
217993624,Place de la République,residential,,False,False,94.67,"LINESTRING (4.8475319 46.7832971, 4.8475369 46.7833132, 4.8475561 46.7833308, 4.8477513 46.7834019, 4.8485252 46.7836857, 4.848603 46.7837142)",,,,,
38653461,Boulevard de la République,secondary,50,True,False,118.47,"LINESTRING (4.847314 46.7829983, 4.8473772 46.7829983, 4.8474752 46.7830093, 4.8476527 46.783057, 4.8478066 46.7830966, 4.8482885 46.7832059, 4.8487897 46.7833253)",1,,,,
"[722967184, 300215330, 1183488909]",,primary,50,True,False,13.689,"LINESTRING (4.847314 46.7829983, 4.84727 46.7830553, 4.8472546 46.7830766, 4.8472313 46.7831076)",,D 906,,,
110889952,Rue Gloriette,residential,30,False,True,37.373999999999995,"LINESTRING (4.8510014 46.7794115, 4.851022 46.7794514, 4.8510145 46.7794972, 4.850968 46.7796946, 4.8509464 46.77974)",,,,,
139189181,Rue Porte de Lyon,residential,30,False,False,61.34100000000001,"LINESTRING (4.8510014 46.7794115, 4.8503967 46.7791965, 4.8503739 46.7791892, 4.8502841 46.7791606)",,,,,
172835266,Rue Porte de Lyon,residential,30,True,False,18.588,"LINESTRING (4.8510014 46.7794115, 4.8510737 46.7794206, 4.8511253 46.779421, 4.851244 46.7794153)",,,,,
42996267,Place de l'Hôtel de Ville,living_street,20,False,True,23.941000000000003,"LINESTRING (4.8522344 46.7805325, 4.8522985 46.7806448, 4.8523189 46.7807385)",,,,,
200733146,Rue du Temple,residential,30,True,False,68.653,"LINESTRING (4.8522344 46.7805325, 4.8522753 46.780429, 4.8523575 46.7802848, 4.8524417 46.7801563, 4.8525599 46.7800019, 4.8525872 46.7799663)",,,,,
"[37982801, 319611986]",Rue du Port Villiers,secondary,20,True,False,65.624,"LINESTRING (4.8544082 46.7804993, 4.85415 46.7809598, 4.8541056 46.7810518)",,,,,
