osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,width,ref,access,junction
33134606,True,1,Rue de Clermont,residential,False,13.184000000000001,"LINESTRING (2.8225569 49.4203976, 2.8225806 49.4204505, 2.8225856 49.4204704, 2.8225855 49.4205137)",,,,,,
263796861,True,2,Rue de Clermont,secondary,False,25.034,"LINESTRING (2.8225569 49.4203976, 2.8226503 49.4204292, 2.8226801 49.4204326, 2.8228026 49.4204466, 2.8228857 49.4204317)",,,,,,
37782611,True,1,,residential,False,29.593,"LINESTRING (2.8223229 49.4213014, 2.8222723 49.4213119, 2.8220131 49.421206, 2.8219886 49.4211777)",,,,,,
263796874,True,1,,tertiary_link,False,14.033000000000001,"LINESTRING (2.8223229 49.4213014, 2.8223162 49.4212548, 2.8223175 49.4211754)",,,,,,
38091961,False,,Rue de la Gare,unclassified,True,175.10399999999998,"LINESTRING (2.8241484 49.4220483, 2.8243638 49.4221069, 2.8250326 49.4221032, 2.8251673 49.4221319, 2.8255886 49.4223616, 2.8256934 49.4223813, 2.8261647 49.4222876, 2.8263801 49.4222448)",,,,,,
"[37782553, 576992092]",True,2,Place de la Gare,tertiary,False,57.99,"LINESTRING (2.8241484 49.4220483, 2.8240756 49.4220694, 2.8240442 49.4220689, 2.8239541 49.4220446, 2.8239096 49.4220239, 2.8238597 49.4220037, 2.8237528 49.4219644, 2.8236714 49.4219322, 2.8235409 49.4218738, 2.8234559 49.4218358)",,,,,,
38091960,False,,Chemin de Halage,unclassified,False,147.721,"LINESTRING (2.82463 49.4215817, 2.8249576 49.421637, 2.8250385 49.4216761, 2.8254987 49.4218989, 2.8263801 49.4222448)",,,,,,
"[576992104, 576992092]",True,2,Place de la Gare,tertiary,False,63.537,"LINESTRING (2.82463 49.4215817, 2.8246265 49.4216379, 2.8244404 49.4217854, 2.8241484 49.4220483)",,,,,,
33134608,True,2,Quai de la République,tertiary,False,105.334,"LINESTRING (2.8230419 49.4206822, 2.8235591 49.4209652, 2.8241041 49.421258, 2.8241608 49.4212885)",,,,,,
"[263610025, 30806474, 264080349]",False,"['2', '3']",Rue du Port à Bateaux,tertiary,True,100.53299999999999,"LINESTRING (2.8203822 49.4148474, 2.820322 49.4149015, 2.820169 49.4150389, 2.8200011 49.4151958, 2.8198326 49.4153287, 2.8196295 49.4154798, 2.8195686 49.4155408, 2.8195429 49.4155666)",30,,,,,
37746076,True,1,Rue Notre-Dame-de-Bon-Secours,residential,False,22.824,"LINESTRING (2.8203822 49.4148474, 2.8202666 49.4147782, 2.8201301 49.4147259)",30,,,,,
"[37746092, 263612525, 1092168454, 264080343]",False,"['2', '3']",Rue des Capucins,tertiary,True,108.89099999999999,"LINESTRING (2.8203822 49.4148474, 2.8204107 49.4148123, 2.8204593 49.4147525, 2.8206352 49.4146113, 2.8206964 49.4145956, 2.8211243 49.414486, 2.8215646 49.4143733, 2.82161 49.4143619, 2.8216222 49.4143583)",30,,,,,
"[263610024, 248096447]",True,"['1', '2']",Rue Notre-Dame-de-Bon-Secours,residential,False,169.765,"LINESTRING (2.8223673 49.4156615, 2.822277 49.4156245, 2.8216745 49.4153776, 2.821421 49.4152756, 2.820746 49.415004, 2.8204516 49.4148773, 2.8203822 49.4148474)",30,,,,,
135969290,False,2,Rue d'Austerlitz,tertiary,True,18.091,"LINESTRING (2.822593 49.4165222, 2.8225193 49.4166576, 2.8225097 49.4166756)",30,,,,,
310829483,False,2,Rue d'Austerlitz,tertiary,False,29.969,"LINESTRING (2.822593 49.4165222, 2.8226506 49.4164423, 2.8227683 49.416278)",30,,,,,
"[435533776, 1178275137]",True,1,Rue Saint-Corneille,living_street,False,90.107,"LINESTRING (2.822593 49.4165222, 2.8228629 49.4166534, 2.8229994 49.4167197, 2.8235098 49.4169492, 2.8236014 49.4169975)",20,,,,,
262640248,True,2,Rue d'Austerlitz,tertiary,False,84.026,"LINESTRING (2.8218584 49.4172992, 2.8219788 49.4172041, 2.822122 49.4170905, 2.8224244 49.4167669, 2.8225097 49.4166756)",30,,,,,
37720892,True,1,Rue d'Austerlitz,tertiary,False,106.829,"LINESTRING (2.8219605 49.4184473, 2.8219046 49.4183508, 2.8218841 49.4182608, 2.8218846 49.4181909, 2.8218338 49.4175477, 2.8218296 49.4174951)",30,,,,,
"[263700728, 37746077]",False,3,Rue Solférino,secondary,False,80.366,"LINESTRING (2.8237994 49.4195529, 2.823859 49.4194814, 2.8239202 49.4194186, 2.8244239 49.4189558)",30,,,,,
