osmid,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,bridge,access,width
26678591,primary,roundabout,True,False,13.531,"LINESTRING (0.5945721 42.7950102, 0.5945838 42.7950765, 0.594556 42.7951274)",,,,,,,
30925961,primary,,True,False,134.506,"LINESTRING (0.5945721 42.7950102, 0.5946327 42.7950319, 0.5947055 42.7950497, 0.5959339 42.7951088, 0.5960127 42.7951123, 0.596207 42.7951152)",D 618,Rue Alexander Fleming,,,,,
26678591,primary,roundabout,True,False,11.52,"LINESTRING (0.5945143 42.7951529, 0.594451 42.7951668, 0.5943767 42.7951587)",,,,,,,
283611923,tertiary,,True,False,17.284,"LINESTRING (0.5945143 42.7951529, 0.5944991 42.7951887, 0.594498 42.7952274, 0.5945285 42.7953034)",D 125E,Avenue du Maréchal Foch,,,,,
26678591,primary,roundabout,True,False,16.211,"LINESTRING (0.5939063 42.7949931, 0.5938931 42.7949625, 0.5938866 42.794928, 0.5938881 42.794897, 0.5939203 42.7948554)",,,,,,,
283611927,secondary,,True,False,22.101000000000003,"LINESTRING (0.5939063 42.7949931, 0.5938413 42.7949653, 0.5937578 42.7949255, 0.5936881 42.794877)",D 618,Cours de la Casseyde,,,,,
26678591,primary,roundabout,True,False,16.147000000000002,"LINESTRING (0.5939203 42.7948554, 0.5939629 42.7948313, 0.5940086 42.7948234, 0.5940553 42.79482, 0.5941036 42.7948301)",,,,,,,
283611925,tertiary,,True,False,18.557000000000002,"LINESTRING (0.5939203 42.7948554, 0.5939528 42.7947961, 0.5939671 42.7947415, 0.5939635 42.7946942)",,Avenue du Maréchal Foch,30,,,,
26678591,primary,roundabout,True,False,46.113,"LINESTRING (0.5941036 42.7948301, 0.594133 42.7948507, 0.5941763 42.7948984, 0.5942154 42.7949256, 0.594262 42.7949502, 0.5943063 42.794958, 0.5943717 42.7949549, 0.5944585 42.7949569, 0.594519 42.7949743, 0.5945721 42.7950102)",,,,,,,
30826422,secondary,,False,True,245.54599999999996,"LINESTRING (0.5936881 42.794877, 0.5933866 42.7947446, 0.5931332 42.7946211, 0.5929358 42.7945103, 0.5927504 42.794387, 0.5924832 42.7942299, 0.5919022 42.7939191, 0.5917306 42.7938326, 0.5915471 42.7937693, 0.5914231 42.7937411, 0.5912877 42.793727, 0.5911716 42.7937259)",D 618,Cours de la Casseyde,,2,,,
