osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,width,bridge
26532610,2,Quai du 11 Novembre 1918,living_street,20,False,False,11.398,"LINESTRING (-2.0997791 47.1153369, -2.0996293 47.1153476)",,,,
"[33968946, 354364668]",,"['Rue de la Marine', 'Rue des Sables']",living_street,20,True,False,378.569,"LINESTRING (-2.0997791 47.1153369, -2.0999629 47.115381, -2.1001043 47.1154006, -2.1007205 47.1153779, -2.1007749 47.1153759, -2.1014216 47.1153742, -2.1016141 47.1153737, -2.1018396 47.1153673, -2.1018973 47.1153657, -2.1019577 47.1152406, -2.102237 47.1152161, -2.1023881 47.1151894, -2.102986 47.1150838, -2.1030256 47.115076, -2.1033224 47.1150175, -2.1038715 47.1148736, -2.1042971 47.1147559, -2.1044283 47.1146337)",,,,
26532609,,Boulevard Thiers,residential,,False,True,6.108,"LINESTRING (-2.0978968 47.1124639, -2.0979369 47.1124597, -2.097976 47.1124535)",,,,
26532622,,Rue de la Source,residential,,True,False,152.503,"LINESTRING (-2.0978968 47.1124639, -2.0978698 47.1123765, -2.0978449 47.1121971, -2.0977861 47.1119579, -2.0977689 47.1118881, -2.0977841 47.1114575, -2.0978182 47.1111003)",,,,
26532609,,Boulevard Thiers,residential,,False,False,97.723,"LINESTRING (-2.1002681 47.111427, -2.1001936 47.1114593, -2.0993162 47.111842, -2.0992694 47.1118624, -2.0991808 47.1119011)",,,,
26532615,,,residential,,True,False,9.641,"LINESTRING (-2.1002681 47.111427, -2.1002897 47.1114429, -2.1003178 47.1114532, -2.1003492 47.1114568, -2.1003806 47.1114533)",roundabout,,,
26532609,,Boulevard Thiers,residential,,False,False,6.108,"LINESTRING (-2.097976 47.1124535, -2.0979369 47.1124597, -2.0978968 47.1124639)",,,,
26532609,,Boulevard Thiers,residential,,False,True,109.938,"LINESTRING (-2.097976 47.1124535, -2.0980987 47.112395, -2.0990872 47.1119455, -2.0991808 47.1119011)",,,,
39327140,,Rue Sadi Carnot,residential,,True,False,206.31199999999998,"LINESTRING (-2.097976 47.1124535, -2.0980618 47.1124885, -2.098087 47.1124904, -2.0981262 47.1124934, -2.0983121 47.1125076, -2.0983763 47.1125182, -2.0985462 47.1125462, -2.0987023 47.1125817, -2.0994641 47.112755, -2.0994845 47.1127598, -2.0999615 47.112873, -2.1004489 47.1130072, -2.1005612 47.1130169)",,,,
26532615,,,residential,,True,False,11.57,"LINESTRING (-2.1004396 47.1113659, -2.1004238 47.1113481, -2.1004007 47.1113344, -2.1003726 47.1113264, -2.1003421 47.1113246, -2.1003123 47.1113294)",roundabout,,,
33969089,2,,living_street,20,False,False,29.354,"LINESTRING (-2.106324 47.114295, -2.1061828 47.1144248, -2.1060605 47.1144846)",,D 751,,
33969089,2,,living_street,20,False,True,67.903,"LINESTRING (-2.106324 47.114295, -2.1063743 47.1142423, -2.1065117 47.1140803, -2.1067303 47.1138339, -2.1067995 47.1137782)",,D 751,,
