osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,bridge,width,access,tunnel
49680354,Rond-Point du Midou,tertiary,30,roundabout,True,False,10.541,"LINESTRING (-0.4993767 43.8913175, -0.4993761 43.8912859, -0.4993635 43.8912557, -0.4993399 43.891229)",,,,,,
49680354,Rond-Point du Midou,tertiary,30,roundabout,True,False,21.769,"LINESTRING (-0.4993399 43.891229, -0.4993036 43.8912065, -0.4992597 43.8911928, -0.499212 43.8911892, -0.4991701 43.8911948, -0.4991317 43.8912083, -0.4990997 43.8912286)",,,,,,
"[604656570, 583958397, 44183034, 25390226]","['Rue Augustin Lesbazeilles', 'Rue des Jardins']",residential,30,,True,False,109.76299999999999,"LINESTRING (-0.4993399 43.891229, -0.4993291 43.89119, -0.4993201 43.8911579, -0.4993904 43.8907892, -0.499403 43.8906824, -0.4994238 43.8905696, -0.4994269 43.8903703, -0.4992628 43.8903397)",,,,,,
"[24276642, 49680355]",Allée Raymond Farbos,tertiary,30,,True,False,105.18900000000001,"LINESTRING (-0.4990997 43.8912286, -0.499074 43.8912222, -0.4985895 43.891102, -0.4983536 43.8910349, -0.4981334 43.8909723, -0.4981093 43.8909655, -0.4980054 43.8909359, -0.4979776 43.890928, -0.4979643 43.8909242, -0.4978704 43.8908975)","['1', '2']",Communal,,,,
49680354,Rond-Point du Midou,tertiary,30,roundabout,True,False,11.870999999999999,"LINESTRING (-0.4990997 43.8912286, -0.4990737 43.8912589, -0.4990618 43.8912934, -0.4990653 43.8913289)",,,,,,
1108153817,Avenue Jean de Lattre de Tassigny,tertiary,50,,False,False,6.707,"LINESTRING (-0.497153 43.8933728, -0.497202 43.8934217)",,C,,,,
25384175,Avenue Jean de Lattre de Tassigny,tertiary,50,,False,True,89.179,"LINESTRING (-0.497153 43.8933728, -0.4971353 43.8933247, -0.4971311 43.8933134, -0.4971274 43.8932912, -0.4971204 43.8932489, -0.4972017 43.8926486, -0.4972098 43.8925764)",2,C,,,,
790820498,Avenue du Maréchal Foch,secondary,,,True,False,18.387,"LINESTRING (-0.497153 43.8933728, -0.4970601 43.8933856, -0.4969278 43.8934045)",,D 932,,,,
1108811401,Place Jean Jaurès,secondary,50,circular,True,False,3.812,"LINESTRING (-0.499784 43.8869682, -0.4997464 43.8869892)",2,,,,,
25344081,Rue du 8 Mai 1945,secondary,50,,False,True,64.612,"LINESTRING (-0.5018589 43.8935582, -0.5018484 43.8935223, -0.5018444 43.8935086, -0.5018399 43.893493, -0.5017515 43.8931784, -0.5017482 43.8931667, -0.5017433 43.8931494, -0.501693 43.8929896)",2,D 634,,,,
25383345,Rue Maubec,residential,30,,True,False,112.79,"LINESTRING (-0.5018589 43.8935582, -0.5019022 43.8935494, -0.5019359 43.8935428, -0.502656 43.8933982, -0.5030427 43.8933129, -0.5032122 43.8932795)",,,,,,
"[48164500, 48505451, 48164499]","['Pont du Lycée', 'Avenue Victor Duruy', 'Rue du 8 Mai 1945']",secondary,50,,False,False,152.24599999999998,"LINESTRING (-0.5018589 43.8935582, -0.501882 43.8936237, -0.5018861 43.8936372, -0.5019921 43.8939848, -0.5020583 43.8942269, -0.5021855 43.894656, -0.5021983 43.8947279, -0.5022495 43.8948978)",2,D 634,yes,,,
171005279,Rue Maubec,residential,30,,False,True,33.72,"LINESTRING (-0.5035583 43.8931138, -0.5033044 43.8932594, -0.5032122 43.8932795)",,,,,,
363494296,Rue Victor Hugo,secondary,50,,False,True,11.022,"LINESTRING (-0.5013468 43.8930207, -0.5014833 43.8930085)",,D 932,,,,
25346672,Rue de la Bastide,unclassified,30,,True,False,63.178999999999995,"LINESTRING (-0.5013468 43.8930207, -0.5013519 43.8930601, -0.5014159 43.8933555, -0.5014908 43.8935787)",,,,,,
363494296,Rue Victor Hugo,secondary,50,,False,False,26.552,"LINESTRING (-0.5013468 43.8930207, -0.5012934 43.8930255, -0.5012723 43.8930274, -0.5012425 43.8930301, -0.501018 43.8930503)",,D 932,,,,
49414449,Rue Léon Gambetta,tertiary,30,,True,False,53.103,"LINESTRING (-0.501149 43.8897706, -0.5012 43.8900093, -0.5012072 43.8902453)",1,C,,,,
407975460,Avenue Sadi Carnot,tertiary,30,,True,False,128.684,"LINESTRING (-0.4999296 43.8873075, -0.50003 43.8874489, -0.5000729 43.8875118, -0.5000754 43.8875164, -0.5001531 43.8876562, -0.5002202 43.8877977, -0.5002246 43.8878079, -0.500265 43.8879002, -0.5003331 43.8881374, -0.5003627 43.888292, -0.5003688 43.8883241, -0.5003745 43.8883421, -0.5004378 43.8883907)",1,C,,,,
1108811402,Place Jean Jaurès,secondary,50,circular,True,False,16.414,"LINESTRING (-0.4999296 43.8873075, -0.4999851 43.887299, -0.5000419 43.8872826, -0.5001092 43.887243)",2,,,,,
49776466,Place Jean Jaurès,secondary,50,circular,True,False,30.104,"LINESTRING (-0.4996755 43.8870735, -0.4996664 43.8871292, -0.4996812 43.8871843, -0.4997184 43.8872336, -0.4997747 43.8872723, -0.4998301 43.8872958)",2,,,,,
1111577373,Place Jean Jaurès,secondary,50,circular,True,False,8.079,"LINESTRING (-0.4998301 43.8872958, -0.4999296 43.8873075)",2,,,,,
"[25414560, 255367201, 255532793]",Rue Léon des Landes,unclassified,"['50', '30']",,True,False,44.682,"LINESTRING (-0.4998301 43.8872958, -0.499827 43.8873908, -0.4997864 43.8874688, -0.4996267 43.8876604)",,,,,,
25419750,Rue Pierre et Marie Curie,unclassified,30,,False,False,45.441,"LINESTRING (-0.5029917 43.8887084, -0.5030356 43.8887388, -0.5032998 43.8889326, -0.5033413 43.8889576, -0.5033961 43.8889946)",,,,,,
255678111,Rue du Général Lasserre,tertiary,30,,True,False,43.422999999999995,"LINESTRING (-0.5029917 43.8887084, -0.5029526 43.8887544, -0.5025941 43.8889701)",,,,,,
"[255370769, 45441572]",Rue Frédéric Bastiat,tertiary,30,,True,False,115.71099999999998,"LINESTRING (-0.5017828 43.8902388, -0.5020026 43.8901788, -0.5023658 43.8900798, -0.5030115 43.8898983, -0.5031378 43.8898856)",1,C,,,,
25383126,Rue du Pont du Commerce,tertiary,30,,True,False,17.123,"LINESTRING (-0.5031378 43.8898856, -0.5031712 43.8900377)",,C,,,,
25413711,Place Joseph Pancaut,tertiary,30,,True,False,13.641,"LINESTRING (-0.5031378 43.8898856, -0.5033064 43.8898687)",,,,,,
"[44156090, 25346686]","[""Cale de l'Abreuvoir"", 'Rue Henri Thiébaud']",living_street,30,,True,False,130.565,"LINESTRING (-0.5033616 43.8903877, -0.5033071 43.8904176, -0.5026275 43.8907943, -0.5023486 43.8909542, -0.5022922 43.8909428, -0.5021571 43.8907591)",,,,,,
45352678,Rue du Pont du Commerce,tertiary,30,,False,True,41.803,"LINESTRING (-0.5033616 43.8903877, -0.5032808 43.8902392, -0.5032 43.8900907, -0.5031712 43.8900377)",,C,,,,
"[255202690, 795767597, 25383125, 783703110]","['Boulevard Ferdinand de Candau', ""Pont des Droits de l'Homme"", 'Rue du Pont du Commerce']",tertiary,30,,False,"[False, True]",81.808,"LINESTRING (-0.5033616 43.8903877, -0.5033851 43.8904221, -0.503389 43.8904279, -0.5034147 43.8904654, -0.5034389 43.8905008, -0.5037139 43.8909137, -0.503738 43.8909499, -0.5038408 43.8910332)",2,C,yes,,,
25374123,Avenue du Trente Quatrième Régiment d'Infanterie,secondary,50,,True,False,17.092,"LINESTRING (-0.5000334 43.8868094, -0.5000107 43.8868348, -0.4999805 43.88687, -0.4999503 43.8869052, -0.4999205 43.8869398)",,D 933,,,,
25374341,Rue Cel le Gaucher,residential,30,,True,False,7.659,"LINESTRING (-0.5067855 43.8867226, -0.5068669 43.8867587)",,,,,,
48505207,Rue Cel le Gaucher,residential,30,,True,False,9.61,"LINESTRING (-0.5067855 43.8867226, -0.5067043 43.8867862)",,,,,,
25374345,Rue Paul Dorian,residential,30,,True,False,44.216,"LINESTRING (-0.5067043 43.8867862, -0.5065988 43.8867916, -0.5061529 43.8867857)",,,,,,
48505205,Rue Cel le Gaucher,residential,30,,True,False,9.443,"LINESTRING (-0.5068006 43.8868289, -0.5068669 43.8867587)",,,,,,
48505206,Rue Cel le Gaucher,residential,30,,True,False,9.061,"LINESTRING (-0.5068006 43.8868289, -0.5067043 43.8867862)",,,,,,
44630891,Rue du Plumaçon,residential,30,,False,False,65.54400000000001,"LINESTRING (-0.5044323 43.8867757, -0.5044196 43.887014, -0.5043988 43.8870816, -0.5043519 43.8871324, -0.504321 43.8871783, -0.5043159 43.8872282, -0.504313 43.8872561, -0.5042572 43.8873385)",,,,,,
255652083,Rue des Boulevards,living_street,,,True,False,108.989,"LINESTRING (-0.5058441 43.8919775, -0.5058204 43.8921185, -0.5057975 43.8922308, -0.5057905 43.8922939, -0.505783 43.8924569, -0.5057785 43.8925096, -0.5057589 43.8927223, -0.5057532 43.8927883, -0.505743 43.8929199, -0.5057388 43.8929541)",1,,,,,
256453054,Rue Saint-Jean d'Août,residential,30,,True,False,15.633,"LINESTRING (-0.5057388 43.8929541, -0.5056516 43.8929639, -0.5055456 43.8929735)",,,,,,
45253863,Rue Maubec,residential,30,,True,False,29.59,"LINESTRING (-0.5014908 43.8935787, -0.5017575 43.8935661, -0.50178 43.8935644, -0.5018026 43.8935628, -0.5018589 43.8935582)",,,,,,
"[113113856, 48505022]",Rue Lacataye,living_street,20,,True,False,91.422,"LINESTRING (-0.5007951 43.8921985, -0.5010743 43.8921162, -0.5012795 43.8920455, -0.5013498 43.8919506, -0.5017071 43.8918248, -0.501767 43.8918069)",,,,,,
255360869,Rue Lacataye,living_street,20,,False,True,85.699,"LINESTRING (-0.5007951 43.8921985, -0.500697 43.8922066, -0.5005993 43.8922146, -0.5002284 43.8922791, -0.5001133 43.8922974, -0.4998518 43.8923389, -0.499749 43.8923551)",,,,,,
48505021,Place Charles de Gaulle,living_street,20,,True,False,68.60300000000001,"LINESTRING (-0.501767 43.8918069, -0.5018102 43.8918674, -0.5020261 43.8922046, -0.5020017 43.892253, -0.5019715 43.8922684, -0.501859 43.8923259)",,,,,,
"[25383684, 583958404, 25383685, 25383686, 819092117]","['Rue Léon Gambetta', 'Place Charles de Gaulle', 'Pont Gisèle Halimi']",living_street,20,,True,False,69.66999999999999,"LINESTRING (-0.5013993 43.8912393, -0.5014136 43.8912626, -0.5015635 43.8914786, -0.501571 43.8914921, -0.5017162 43.8917253, -0.501767 43.8918069)",,,yes,20,,
"[583958405, 25415310]",Rue de la Gourotte,living_street,30,,True,False,83.328,"LINESTRING (-0.5013993 43.8912393, -0.5014363 43.8912224, -0.5017828 43.8910635, -0.502003 43.8909574, -0.5021121 43.8908588, -0.5021571 43.8907591)",,,,,,
25383972,Allée Raymond Farbos,tertiary,30,,True,False,101.44600000000001,"LINESTRING (-0.4978564 43.8910581, -0.4979311 43.8910748, -0.4980307 43.8910971, -0.4981063 43.8911141, -0.4990349 43.8913221, -0.4990653 43.8913289)",,Communal,,,,
