osmid,oneway,lanes,ref,highway,reversed,length,name,maxspeed,geometry,junction,tunnel
429871378,True,2,D 59,secondary,False,13.671,,,"LINESTRING (4.0803237 43.5626172, 4.0804122 43.5625123)",,
"[359824617, 429043706, 429043708]",True,"['2', '3']",D 62E1,secondary_link,False,184.577,Avenue Maréchal Leclerc,50,"LINESTRING (4.0801115 43.5644113, 4.0803604 43.5642718, 4.0807182 43.5641138, 4.0810614 43.5639998, 4.0812729 43.5639494, 4.0813796 43.5639251, 4.082078 43.5638417, 4.082214 43.563828)",,
429945151,False,,,residential,False,8.528,Avenue de Melgueil,50,"LINESTRING (4.0864893 43.5627699, 4.0865829 43.5628057)",,
429945153,True,,,residential,False,18.429,Avenue de Melgueil,50,"LINESTRING (4.0864893 43.5627699, 4.0866818 43.5626804)",,
429945155,True,,,residential,False,47.092999999999996,Avenue de Melgueil,50,"LINESTRING (4.0864893 43.5627699, 4.0867425 43.5624525, 4.0868158 43.5624321)",,
430745076,False,3,,residential,False,178.357,Avenue Jean Bène,50,"LINESTRING (4.0864893 43.5627699, 4.0864448 43.5627517, 4.0862773 43.5626832, 4.0858737 43.562518, 4.0853398 43.5622995, 4.0849977 43.5621596, 4.0849077 43.5621227, 4.0845618 43.5619812)",,
26281150,True,1,,residential,False,44.852,Avenue de Melgueil,50,"LINESTRING (4.0862375 43.5632297, 4.086265 43.5633459, 4.0862639 43.5633618, 4.0863169 43.5634389, 4.0864062 43.5634808, 4.0864544 43.5634983, 4.0865404 43.5635236)",,
367060316,True,2,,residential,False,40.853,Avenue de Melgueil,50,"LINESTRING (4.0862375 43.5632297, 4.0861325 43.5633595, 4.0860667 43.5634559, 4.0860498 43.563481, 4.0860093 43.563557)",,
"[962870956, 962870957, 962870958]",True,"['2', '3']",D 62E1,secondary,False,377.93,Avenue Maréchal Leclerc,50,"LINESTRING (4.0865404 43.5635236, 4.088224 43.5633996, 4.0900487 43.5632799, 4.091208 43.563189)",,
25891718,True,1,,secondary_link,False,11.12,,50,"LINESTRING (4.0858477 43.5637731, 4.0858415 43.5636732)",,
429945146,True,2,D 62E1,secondary,False,31.394,Avenue Maréchal Leclerc,50,"LINESTRING (4.0858477 43.5637731, 4.08546 43.5638012)",,
279322046,True,,,residential,False,12.940999999999999,Quai Georges Pompidou,30,"LINESTRING (4.0832758 43.5589189, 4.0833395 43.5588773, 4.0834108 43.5588608)",,
430745081,True,,,unclassified,False,18.228,Avenue Pierre Racine,,"LINESTRING (4.0850399 43.5594373, 4.0851422 43.5594016, 4.0852394 43.5593603)",,
430745108,True,,,residential,False,10.135,Rue du Port,,"LINESTRING (4.0850399 43.5594373, 4.0850485 43.5594998, 4.0850524 43.559528)",,
40357982,True,,,residential,False,58.463,Rue du Port,30,"LINESTRING (4.0850524 43.559528, 4.0849442 43.5595292, 4.0844077 43.5593079)",,
"[412959318, 412959319]",False,,,residential,True,151.571,Passage du Marché,,"LINESTRING (4.0850524 43.559528, 4.0850887 43.5595555, 4.0852891 43.5596317, 4.0854616 43.5597013, 4.0856794 43.5597893, 4.085898 43.5598736, 4.0863907 43.5600695, 4.0866096 43.5601566, 4.0866938 43.5601901)",,
25891722,False,2,,unclassified,False,201.03,Avenue Pierre Racine,,"LINESTRING (4.0852394 43.5593603, 4.0856158 43.558877, 4.0856555 43.5588295, 4.0858115 43.5586318, 4.0859669 43.5584349, 4.0860061 43.5583854, 4.0864144 43.5578703, 4.0864746 43.5577896)",,
430745083,True,,,unclassified,False,26.147999999999996,Avenue Pierre Racine,,"LINESTRING (4.0852394 43.5593603, 4.0852347 43.5594045, 4.0851891 43.5594677, 4.0851449 43.5595027, 4.0851033 43.5595182, 4.0850524 43.559528)",,
36937085,True,,,residential,False,8.364999999999998,Rue Frédéric Mistral,,"LINESTRING (4.0866621 43.5576549, 4.0867116 43.5576588, 4.0867623 43.5576723)",,
430745098,True,,,residential,False,18.427,Place du Forum,,"LINESTRING (4.0866621 43.5576549, 4.0866851 43.5576125, 4.0867086 43.5575846, 4.0867471 43.5575368, 4.086779 43.5575145)",,
9578292,True,1,D 59,secondary,False,217.87800000000001,Avenue Maréchal Leclerc,,"LINESTRING (4.0801591 43.5632239, 4.0801351 43.5634174, 4.080153 43.5635203, 4.0801913 43.5636056, 4.0802496 43.5636687, 4.0803304 43.5637419, 4.080434 43.5638057, 4.0805706 43.5638464, 4.0807119 43.5638765, 4.0809107 43.5638785, 4.082214 43.563828)",,
26280644,True,3,,secondary_link,False,39.443999999999996,,50,"LINESTRING (4.0801591 43.5632239, 4.0800025 43.5635074, 4.0799932 43.5635563)",,
430348398,True,2,D 59,secondary,False,14.175,,,"LINESTRING (4.0804768 43.56268, 4.0803237 43.5626172)",,
26280939,True,2,D 59,secondary,False,65.759,,,"LINESTRING (4.0804768 43.56268, 4.0803917 43.5627937, 4.0801591 43.5632239)",,
25891721,True,,,secondary_link,False,6.275,,,"LINESTRING (4.0804122 43.5625123, 4.0804799 43.5625402)",,
"[430745091, 430745094]",True,"['2', '3']",,residential,False,139.893,Avenue de Montpellier,,"LINESTRING (4.0804122 43.5625123, 4.0804786 43.5624152, 4.0810887 43.5616406, 4.0812649 43.5614166)",,
148878003,True,2,D 59,secondary,False,12.894,,,"LINESTRING (4.0805524 43.5625778, 4.0804768 43.56268)",,
26280940,True,,,residential,False,31.322000000000003,Allée des Parcs,30,"LINESTRING (4.0805524 43.5625778, 4.0806563 43.5626896, 4.0807885 43.5627567, 4.0807937 43.5627864)",,
148878005,True,2,,residential,False,29.122,Allée des Parcs,30,"LINESTRING (4.0807937 43.5627864, 4.0807484 43.562795, 4.0806491 43.562754, 4.0806227 43.5627417, 4.0804768 43.56268)",,
"[948410019, 429951333, 430348382]",False,3,,residential,False,105.263,Allée des Parcs,30,"LINESTRING (4.0807937 43.5627864, 4.0808396 43.5628093, 4.0810189 43.5628931, 4.0811305 43.5629395, 4.0812674 43.5629964, 4.0813453 43.5630163, 4.0814495 43.563015, 4.0818007 43.5629918, 4.0818394 43.5629892, 4.0820112 43.5629779)",,
430230371,True,2,D 62E1,secondary,False,9.195,Avenue Maréchal Leclerc,50,"LINESTRING (4.0858957 43.5635649, 4.0860093 43.563557)",,
429945154,True,3,,residential,False,18.016,Avenue de Melgueil,50,"LINESTRING (4.0858957 43.5635649, 4.0859523 43.5634478, 4.0859697 43.563412)",,
429945159,True,1,,secondary_link,False,7.598,,50,"LINESTRING (4.0860093 43.563557, 4.0859854 43.5636231)",,
367060318,True,2,D 62E1,secondary,False,42.954,Avenue Maréchal Leclerc,50,"LINESTRING (4.0860093 43.563557, 4.0861374 43.5635481, 4.0865404 43.5635236)",,
