osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,junction,tunnel
339231796,True,Rue de Soissons,primary,50,False,9.746,,,"LINESTRING (2.8959381 49.2347832, 2.896068 49.2348053)",,
53564989,False,Rue Nationale,secondary,50,False,85.866,2,D 332,"LINESTRING (2.88837 49.2386655, 2.8883338 49.2385619, 2.8883142 49.2385216, 2.8882584 49.2384322, 2.8881546 49.2383343, 2.8880394 49.2382594, 2.8878733 49.2381724, 2.88777 49.2381223, 2.8876856 49.2380659)",,
53564989,False,Rue Nationale,secondary,50,True,226.583,2,D 332,"LINESTRING (2.88837 49.2386655, 2.8883498 49.2387424, 2.8883042 49.2388369, 2.8881081 49.2390734, 2.8879662 49.2391557, 2.8877509 49.2392318, 2.8875095 49.2392523, 2.8871111 49.2391939, 2.8866605 49.2391104, 2.8864985 49.2391128, 2.8863352 49.2391187, 2.8857828 49.2391677)",,
"[351533416, 138697241]",False,Avenue Gérard de Nerval,secondary,"['50', '30']",True,278.284,2,D 332,"LINESTRING (2.88837 49.2386655, 2.8883904 49.2386559, 2.8884646 49.2386205, 2.888497 49.2386051, 2.8888926 49.2384981, 2.8890881 49.2384543, 2.8904163 49.2382192, 2.8908295 49.2381459, 2.8911519 49.2380907, 2.8913674 49.2380537, 2.8917148 49.2379923, 2.8919091 49.237955, 2.8920092 49.237914)",,
44315423,False,Rue Charles de Gaulle,secondary,50,False,145.39899999999997,2,D 332,"LINESTRING (2.8873959 49.2348478, 2.8873963 49.2346578, 2.8873859 49.2340791, 2.8873794 49.2337164, 2.8873639 49.2336304, 2.887329 49.2335438)",,
44315424,False,Rue Saint-Lazare,secondary,30,False,142.50000000000003,,D 25,"LINESTRING (2.8873959 49.2348478, 2.8874718 49.2348096, 2.8876287 49.2347306, 2.8883278 49.2343394, 2.8883797 49.2343111, 2.8884034 49.2343012, 2.8888945 49.2340794, 2.8889399 49.234059)",,
91463526,True,Rue Bergeron,residential,30,False,126.882,,,"LINESTRING (2.8873959 49.2348478, 2.8874708 49.2348981, 2.8875174 49.2349294, 2.8877963 49.2351457, 2.8880519 49.2353924, 2.8884124 49.235772)",,
98824175,False,Rue des Fossés,residential,50,False,208.473,,,"LINESTRING (2.8873959 49.2348478, 2.8872619 49.2348911, 2.8872101 49.2349079, 2.8867263 49.2350786, 2.8866241 49.2351145, 2.8853196 49.2356844, 2.884956 49.2358324)",,
1121160956,False,Rue Nationale,secondary,30,True,56.06100000000001,2,D 332,"LINESTRING (2.8873959 49.2348478, 2.8872451 49.2350412, 2.8871955 49.2351061, 2.8871606 49.235162, 2.8871058 49.2352433, 2.8871084 49.2353087)",,
92105165,True,Boulevard Victor Hugo,primary,50,False,109.57,2,,"LINESTRING (2.8918121 49.2318428, 2.8918693 49.2318457, 2.8931546 49.2319015, 2.8931858 49.2319009, 2.8932399 49.2318975, 2.8933138 49.2318813)",,
376439201,False,Boulevard Victor Hugo,primary,30,True,179.305,2,D 1324,"LINESTRING (2.8918121 49.2318428, 2.8916614 49.2318354, 2.8915342 49.2318291, 2.8912285 49.2318139, 2.891094 49.2318072, 2.8910039 49.2318027, 2.8909813 49.2318016, 2.8906338 49.231787, 2.8905611 49.2317828, 2.8895147 49.2317334, 2.8893494 49.2317242)",,
340768273,True,Rue Hippolyte Clair,primary,50,False,73.839,2,,"LINESTRING (2.8923419 49.2324096, 2.8922704 49.2323331, 2.8918883 49.2319247, 2.8918121 49.2318428)",,
641831687,False,Rue Saint-Lazare,secondary,50,True,77.65,,D 25,"LINESTRING (2.8923419 49.2324096, 2.8922627 49.232448, 2.891821 49.2326512, 2.8914691 49.2328131)",,
53564979,True,Rue Hippolyte Clair,primary,50,False,65.04599999999999,1,,"LINESTRING (2.894482 49.2346498, 2.8944291 49.2345945, 2.8940073 49.2341537)",,
99289042,False,Rue de Soissons,primary,50,False,88.31,,,"LINESTRING (2.894482 49.2346498, 2.8945702 49.2346583, 2.8949942 49.2346989, 2.8955294 49.23475, 2.8955754 49.234754, 2.8956857 49.2347638)",,
641831688,False,Rue de Soissons,residential,50,True,168.036,,,"LINESTRING (2.894482 49.2346498, 2.8942287 49.2346243, 2.8941932 49.2346208, 2.8921946 49.2344199)",,
58828966,True,Rue des Tournelles,primary,50,False,138.913,,,"LINESTRING (2.893771 49.2317937, 2.8938276 49.2318232, 2.8940652 49.2319664, 2.8947775 49.2328413)",,
92110696,True,Avenue Sadi Carnot,secondary,50,False,124.638,1,D 25,"LINESTRING (2.893771 49.2317937, 2.8931415 49.2320184, 2.892543 49.2323116, 2.8923419 49.2324096)",,
349794724,True,Avenue Sadi Carnot,secondary,50,False,58.256,1,D 25,"LINESTRING (2.8933138 49.2318813, 2.8937484 49.2316936, 2.893983 49.2315923)",,
349794725,True,Boulevard Victor Hugo,primary,50,False,34.921,2,,"LINESTRING (2.8933138 49.2318813, 2.8936873 49.231793, 2.893771 49.2317937)",,
318312593,False,,primary,,True,6.826,,,"LINESTRING (2.8960437 49.2348646, 2.896068 49.2348053)",,
318312594,True,Rue de Soissons,primary,50,False,17.607,,,"LINESTRING (2.8960437 49.2348646, 2.895813 49.2348158)",,
