osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,access
35722948,True,1,D 909,Rue du Président Georges Pompidou,secondary,50,False,50.315,"LINESTRING (2.2632408 48.9731705, 2.2630696 48.9731121, 2.2629556 48.9730508, 2.2628464 48.9729633, 2.2628273 48.9729426, 2.2627548 48.9728641)",,,
50029927,False,2,D 192,Rue du Lieutenant Georges Keiser,tertiary,50,True,52.83200000000001,"LINESTRING (2.2561052 48.9750547, 2.2560902 48.9748374, 2.2560878 48.9747344, 2.2560868 48.9745798)",,,
35358912,False,2,D 909,Boulevard Gabriel Péri,secondary,50,False,7.986,"LINESTRING (2.2632422 48.9697578, 2.2632108 48.969689)",,,
"[162588433, 162588451, 49946396]",False,2,D 909,Rue de la Gare,secondary,50,True,132.152,"LINESTRING (2.2632422 48.9697578, 2.2632507 48.9697784, 2.2632603 48.9697986, 2.2632858 48.969876, 2.2632926 48.9698961, 2.2633992 48.970294, 2.2634017 48.970343, 2.2633843 48.9704369, 2.2633754 48.9704595, 2.2633258 48.9705625, 2.2632356 48.9707291, 2.2631786 48.970832, 2.263167 48.970854, 2.2631381 48.9709084)",,,
"[756270283, 756270284, 987204373]",False,2,D 14,Boulevard Charles de Gaulle,secondary,"['30', '50']",True,83.843,"LINESTRING (2.2632422 48.9697578, 2.2631289 48.9697936, 2.2630632 48.9698152, 2.2630254 48.969829, 2.2624152 48.9700458, 2.2623015 48.970085, 2.2622274 48.9701108)",,,
463424076,False,,,Rue du Puits Gohier,residential,,True,30.252,"LINESTRING (2.2507306 48.9711623, 2.2503313 48.9710894)",,,
40944099,False,,,Rue du Puits Gohier,residential,,False,72.722,"LINESTRING (2.2507306 48.9711623, 2.25151 48.9712395, 2.2516774 48.9712592, 2.2517148 48.9712636)",,,
461378524,False,,,Rue Touzelin,residential,,True,11.059,"LINESTRING (2.2517148 48.9712636, 2.2518046 48.9711835)",,,
654984191,False,,,Rue Touzelin,residential,,False,8.659,"LINESTRING (2.2517148 48.9712636, 2.2516774 48.9713375)",,,
40944099,False,,,Rue du Puits Gohier,residential,,True,72.722,"LINESTRING (2.2517148 48.9712636, 2.2516774 48.9712592, 2.25151 48.9712395, 2.2507306 48.9711623)",,,
"[43624104, 640008542]",False,"['2', '3']",D 192,Rue du Puits Mi-Ville,secondary,50,False,104.45400000000002,"LINESTRING (2.2561703 48.9675519, 2.2561584 48.9676589, 2.2561572 48.9676926, 2.256159 48.9678434, 2.2561629 48.9678756, 2.256177 48.9679381, 2.2561946 48.9679876, 2.2563064 48.9683026, 2.2563331 48.9683783, 2.2563446 48.9684175, 2.2563527 48.9684443, 2.2563603 48.9684768)",,,
49946416,False,2,,Rue Saint-Denis,residential,50,False,89.47,"LINESTRING (2.2561703 48.9675519, 2.2560344 48.9675555, 2.2559804 48.967557, 2.2558759 48.9675598, 2.2556313 48.9675681, 2.2554944 48.9675736, 2.2553968 48.9675846, 2.2552108 48.9676221, 2.2550861 48.9676346, 2.2549584 48.9676474)",,,
214445853,False,,,Rue du Docteur Émile Roux,residential,50,True,24.455000000000002,"LINESTRING (2.2561703 48.9675519, 2.2563859 48.9675482, 2.2564296 48.9675481, 2.2565052 48.9675495)",,,
49946416,False,2,,Rue Saint-Denis,residential,50,True,89.47,"LINESTRING (2.2549584 48.9676474, 2.2550861 48.9676346, 2.2552108 48.9676221, 2.2553968 48.9675846, 2.2554944 48.9675736, 2.2556313 48.9675681, 2.2558759 48.9675598, 2.2559804 48.967557, 2.2560344 48.9675555, 2.2561703 48.9675519)",,,
