osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,junction,bridge
23643305,D 709,Place Nationale,primary,False,False,19.174,"LINESTRING (0.3399767 45.2471456, 0.3400786 45.2469888)",,,,
23643305,D 709,Place Nationale,primary,False,True,17.208,"LINESTRING (0.3399767 45.2471456, 0.3399539 45.2471884, 0.339906 45.2472921)",,,,
27505384,D 12E,Rue Couleau,residential,True,False,13.381,"LINESTRING (0.340333 45.2465441, 0.3401753 45.2464977)",50,,,
33181943,D 709,Rue Jean Moulin,primary,False,False,279.025,"LINESTRING (0.340333 45.2465441, 0.3403469 45.2465273, 0.3406595 45.2460521, 0.3406897 45.2460038, 0.3407699 45.2458756, 0.3407765 45.245865, 0.3408305 45.245805, 0.3409881 45.2456299, 0.3415974 45.2449525, 0.3419054 45.2446245, 0.3419977 45.244526, 0.3420657 45.2444537, 0.3421263 45.2443817)",,6,,
"[1088367345, 23643305]",D 709,"['Place Nationale', 'Rue Jean Moulin']",primary,False,True,53.314,"LINESTRING (0.340333 45.2465441, 0.3401578 45.2468577, 0.3401168 45.2469227, 0.3400786 45.2469888)",,,,
24428157,,Boulevard François Mitterrand,secondary,False,False,131.446,"LINESTRING (0.3359035 45.2506147, 0.3358624 45.2504247, 0.3357704 45.2501536, 0.3354844 45.2494715)",50,,,
24428157,,Boulevard François Mitterrand,secondary,False,True,61.366,"LINESTRING (0.3359035 45.2506147, 0.335934 45.2507605, 0.3359978 45.2511625)",50,,,
33083634,,Place du Commerce,residential,False,False,102.023,"LINESTRING (0.3359035 45.2506147, 0.3356489 45.2506353, 0.3356827 45.2508907, 0.3357282 45.251179, 0.3359978 45.2511625)",,,,
25407675,,Rue Pierre Serbat,secondary,False,False,138.57,"LINESTRING (0.3354844 45.2494715, 0.335797 45.2482449)",50,,,
24428157,,Boulevard François Mitterrand,secondary,False,True,131.446,"LINESTRING (0.3354844 45.2494715, 0.3357704 45.2501536, 0.3358624 45.2504247, 0.3359035 45.2506147)",50,,,
27482684,D 20,Avenue Amiral Augey Dufresse,residential,False,True,108.87800000000001,"LINESTRING (0.3354844 45.2494715, 0.3356499 45.2494078, 0.3362006 45.2491957, 0.3363928 45.2491217, 0.3367046 45.2490016)",50,,,
27483032,D 20,Avenue du 26e Régiment d'Infanterie,secondary,False,True,141.51999999999998,"LINESTRING (0.3354844 45.2494715, 0.3351203 45.2495961, 0.3346387 45.2497823, 0.3343808 45.2498759, 0.3341688 45.2499528, 0.3340727 45.2499877, 0.3339806 45.2500358, 0.33391 45.2500877)",50,,,
25407675,,Rue Pierre Serbat,secondary,False,True,95.255,"LINESTRING (0.3361903 45.2466236, 0.3360126 45.2473522, 0.3360054 45.2473819, 0.3359844 45.2474679)",50,,,
27482485,D 708,Avenue de Verdun,secondary,False,True,47.711,"LINESTRING (0.3361903 45.2466236, 0.3364697 45.2468579, 0.3365796 45.2469537)",,,,
"[24428158, 559373295]",D 708,Avenue de Verdun,secondary,False,False,234.995,"LINESTRING (0.3361903 45.2466236, 0.335923 45.2464082, 0.33538 45.2459289, 0.3346698 45.2454684, 0.3340404 45.2451696)",50,,,
24428158,D 708,Avenue de Verdun,secondary,False,True,13.049,"LINESTRING (0.3339007 45.2451056, 0.3340404 45.2451696)",50,,,
24428158,D 708,Avenue de Verdun,secondary,False,False,113.03099999999999,"LINESTRING (0.3339007 45.2451056, 0.3337177 45.2449481, 0.3336742 45.2448635, 0.3335931 45.2446675, 0.3335949 45.2441486)",50,,,
25407792,D 708,Rue Gambetta,secondary,True,False,46.895,"LINESTRING (0.3398895 45.2478416, 0.3396951 45.2478553, 0.3392933 45.2478825)",,,,
