osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,bridge
43312475,2,Allée du Fin,residential,50,False,True,189.653,"LINESTRING (-1.0727123 44.6340241, -1.0726488 44.634034, -1.0726122 44.6340397, -1.0712075 44.6339709, -1.0703397 44.6338427)",,,
813482488,2,Avenue de Césarée,tertiary,50,False,False,170.512,"LINESTRING (-1.0727123 44.6340241, -1.0727687 44.6344591, -1.0727669 44.6346818, -1.0727576 44.6348517, -1.072756 44.6348812, -1.0727489 44.6349209, -1.0727047 44.6351677, -1.0726916 44.6352405, -1.0726814 44.6352924, -1.0726535 44.6354342, -1.0726315 44.6355497)",D 650E3,,
813482488,2,Avenue de Césarée,tertiary,50,False,True,189.971,"LINESTRING (-1.0727123 44.6340241, -1.0726595 44.6334778, -1.0726217 44.632612, -1.0726088 44.6323175)",D 650E3,,
203021565,2,Rond-Point Pasteur,secondary,30,True,False,14.299,"LINESTRING (-1.0725586 44.6359254, -1.0725904 44.6359618, -1.0726374 44.6359886, -1.0726943 44.6360027)",,roundabout,
730190495,1,Cours de Verdun,secondary,50,True,False,58.742000000000004,"LINESTRING (-1.0725586 44.6359254, -1.0724747 44.6360268, -1.0723571 44.6361275, -1.0722747 44.6362003, -1.072184 44.636262, -1.0721158 44.6362895, -1.0720673 44.6363119)",D 650,,
43719449,1,Cours de Verdun,secondary,50,True,False,50.203,"LINESTRING (-1.0717086 44.6364717, -1.0715756 44.636499, -1.0712124 44.6365297, -1.071083 44.6365406)",D 650,,
206665993,,Place du Général de Gaulle,residential,30,True,False,61.828,"LINESTRING (-1.0717086 44.6364717, -1.0716829 44.6364252, -1.0716069 44.6363406, -1.0715462 44.6362487, -1.0715318 44.6361087, -1.0715937 44.635951)",,,
240809596,1,Avenue de Césarée,tertiary,50,True,False,26.220999999999997,"LINESTRING (-1.0726315 44.6355497, -1.0726131 44.6356304, -1.072614 44.6357374, -1.0726039 44.6357839)",D 650E3,,
813482488,2,Avenue de Césarée,tertiary,50,False,True,170.512,"LINESTRING (-1.0726315 44.6355497, -1.0726535 44.6354342, -1.0726814 44.6352924, -1.0726916 44.6352405, -1.0727047 44.6351677, -1.0727489 44.6349209, -1.072756 44.6348812, -1.0727576 44.6348517, -1.0727669 44.6346818, -1.0727687 44.6344591, -1.0727123 44.6340241)",D 650E3,,
203021565,2,Rond-Point Pasteur,secondary,30,True,False,17.116,"LINESTRING (-1.0726039 44.6357839, -1.0725698 44.6358138, -1.07255 44.6358496, -1.0725461 44.635888, -1.0725586 44.6359254)",,roundabout,
43312472,2,Avenue de l'Église,residential,30,False,False,89.21600000000001,"LINESTRING (-1.0745051 44.63722, -1.0744972 44.6371545, -1.0744936 44.6371252, -1.0744802 44.6370092, -1.0744598 44.6368428, -1.0744556 44.6368099, -1.074453 44.6367894, -1.074451 44.6367739, -1.0744491 44.6367588, -1.0744242 44.6365319, -1.0744185 44.6364798, -1.0744105 44.6364205)",,,
"[43312472, 1021627800]",2,Avenue de l'Église,residential,30,False,True,64.78,"LINESTRING (-1.0745051 44.63722, -1.0746147 44.6373785, -1.0746627 44.6374479, -1.0746768 44.6374609, -1.0747132 44.6374943, -1.0748068 44.6375861, -1.074894 44.6376605, -1.0749631 44.6376942)",,,
43312475,2,Allée du Fin,residential,50,False,True,44.98,"LINESTRING (-1.0703397 44.6338427, -1.0697802 44.6337712)",,,
43312475,2,Allée du Fin,residential,50,False,False,189.653,"LINESTRING (-1.0703397 44.6338427, -1.0712075 44.6339709, -1.0726122 44.6340397, -1.0726488 44.634034, -1.0727123 44.6340241)",,,
43719450,2,Rond-Point de la Mairie,secondary,30,True,False,19.873,"LINESTRING (-1.0704421 44.6365214, -1.0704218 44.6364887, -1.0703892 44.6364615, -1.070347 44.6364421, -1.0702989 44.636432, -1.0702486 44.636432)",,roundabout,
43719450,2,Rond-Point de la Mairie,secondary,30,True,False,18.399,"LINESTRING (-1.0701674 44.6364567, -1.070128 44.6364871, -1.0701049 44.6365251, -1.0701005 44.6365663, -1.0701155 44.6366063)",,roundabout,
43181358,2,Avenue du Maréchal Leclerc,residential,50,False,True,61.034,"LINESTRING (-1.0707957 44.6370886, -1.0707096 44.6372558, -1.0706286 44.6374132, -1.0705304 44.637604)",,,
1114758637,2,Avenue du Maréchal Juin,residential,50,False,False,40.144999999999996,"LINESTRING (-1.0707957 44.6370886, -1.0709081 44.6368664, -1.0709775 44.6367517)",,,
44118252,2,Allée Montaigne,residential,50,False,False,139.317,"LINESTRING (-1.0652229 44.6341175, -1.0652965 44.6341298, -1.0669447 44.6343793)",,,
730190501,2,Rue Paul Bataille,residential,50,False,False,134.684,"LINESTRING (-1.0652229 44.6341175, -1.0652895 44.6338577, -1.0653556 44.6335482, -1.0654174 44.6329547, -1.0654226 44.6329159)",,,
43312475,2,Allée du Fin,residential,50,False,False,358.159,"LINESTRING (-1.0654226 44.6329159, -1.0664685 44.6331376, -1.0672908 44.6333242, -1.0678441 44.6334498, -1.0685753 44.6336091, -1.0695237 44.6337301, -1.0697802 44.6337712)",,,
730190501,2,Rue Paul Bataille,residential,50,False,True,134.684,"LINESTRING (-1.0654226 44.6329159, -1.0654174 44.6329547, -1.0653556 44.6335482, -1.0652895 44.6338577, -1.0652229 44.6341175)",,,
