osmid,oneway,ref,name,highway,maxspeed,reversed,length,junction,geometry,bridge,tunnel,lanes,access
151278407,True,D 117,Boulevard Périphérique,primary,50,False,15.189,,"LINESTRING (1.1494864 42.9873287, 1.1494588 42.9874638)",,,,
"[900531176, 900531177]",True,,,primary,,False,9.780000000000001,roundabout,"LINESTRING (1.1494864 42.9873287, 1.1494735 42.987337, 1.1494589 42.9873436, 1.149443 42.9873484, 1.1494263 42.9873513, 1.1494092 42.9873522, 1.1493921 42.9873511, 1.1493754 42.987348)",,,,
134134442,True,D 117,Boulevard Périphérique,primary,50,False,28.865,,"LINESTRING (1.1494257 42.9869587, 1.1494803 42.9872152)",,,,
"[175803154, 48572620]",False,D 117,"['Boulevard du Général de Gaulle', 'Boulevard Périphérique']",primary,50,True,631.038,,"LINESTRING (1.1494257 42.9869587, 1.1494492 42.9864632, 1.1494939 42.9860785, 1.1496319 42.9856775, 1.1497284 42.9854802, 1.1497745 42.985396, 1.1498181 42.9853073, 1.1498672 42.9852395, 1.150076 42.9849517, 1.1507509 42.9841318, 1.1510731 42.9835949, 1.1511185 42.9834185, 1.1511582 42.9832363, 1.1512015 42.9828862, 1.1511745 42.9825385, 1.1511185 42.9821851, 1.1510532 42.9820053, 1.1509851 42.9818618, 1.1508424 42.9816002)",,,,
48927170,True,,,primary,,False,20.899,roundabout,"LINESTRING (1.1504883 42.9810883, 1.1505644 42.9810595, 1.15065 42.9810593, 1.1507264 42.9810876)",,,,
"[48701962, 48701963]",False,,"['Avenue François Camel', 'Pont Neuf']",tertiary,30,True,124.44700000000002,,"LINESTRING (1.1412979 42.9854145, 1.1414602 42.9855003, 1.1416553 42.9855705, 1.141698 42.9855859, 1.1417652 42.98561, 1.1420211 42.985702, 1.1421334 42.9857424, 1.1426535 42.9859294)",yes,,,
"[135922857, 48858487]",False,,"['Rue de Villefranche', 'Pont du Lez']",tertiary,50,True,85.301,,"LINESTRING (1.1412979 42.9854145, 1.1411557 42.985461, 1.1410573 42.9855558, 1.1409091 42.9856986, 1.1406047 42.9859749)",yes,,,
277106383,False,,Rue de Villefranche,tertiary,50,False,24.653,,"LINESTRING (1.1412979 42.9854145, 1.1413385 42.9853243, 1.1413521 42.9853016, 1.141408 42.9852082)",,,,
37601363,True,,Rue du Pont Vieux,residential,20,False,38.434,,"LINESTRING (1.1431895 42.9833011, 1.1433089 42.9833272, 1.1435784 42.9834881)",,,,
"[48624854, 420253855]",False,,"['Rue de Villefranche', 'Avenue Gallieni']",tertiary,50,False,86.681,,"LINESTRING (1.1431895 42.9833011, 1.1432077 42.9832406, 1.1432634 42.9829923, 1.1433676 42.9825326)",,,,
"[1041190620, 277106383]",False,,Rue de Villefranche,tertiary,50,True,107.154,,"LINESTRING (1.1431895 42.9833011, 1.1430959 42.983465, 1.143065 42.9835053, 1.1429472 42.9836292, 1.1428512 42.983734, 1.1427391 42.9838666, 1.1427319 42.9838761, 1.1426511 42.9839831, 1.1426123 42.9840308, 1.1425299 42.9841325)",,,,
48572717,False,,Avenue François Camel,tertiary,30,True,45.998999999999995,,"LINESTRING (1.1426535 42.9859294, 1.1427331 42.985958, 1.1431691 42.9860992)",,,,
"[48701962, 48701963]",False,,"['Avenue François Camel', 'Pont Neuf']",tertiary,30,False,124.44699999999999,,"LINESTRING (1.1426535 42.9859294, 1.1421334 42.9857424, 1.1420211 42.985702, 1.1417652 42.98561, 1.141698 42.9855859, 1.1416553 42.9855705, 1.1414602 42.9855003, 1.1412979 42.9854145)",yes,,,
151224225,False,,Quai du Gravier - Maurice Gardelle,residential,30,True,30.808,,"LINESTRING (1.1426535 42.9859294, 1.1427647 42.9857657, 1.1428039 42.9856759)",,,,
48677898,True,,Rue Jules Desbiaux,residential,20,False,67.58599999999998,,"LINESTRING (1.1444168 42.9840477, 1.1445147 42.9839442, 1.1447902 42.9837307, 1.1448353 42.9836998, 1.1449524 42.9836594, 1.1450185 42.9836622)",,,,
"[1205287744, 48598466, 1205287749, 159480136, 384478636, 1205287741, 1205287742]",True,,Place de l'Église,residential,50,False,51.821000000000005,,"LINESTRING (1.1441145 42.9844508, 1.1441641 42.9843748, 1.1441859 42.9843446, 1.1442044 42.9843231, 1.1442278 42.9842959, 1.1442517 42.9842681, 1.1442828 42.984232, 1.1443065 42.9842137, 1.1444187 42.9840812, 1.1444168 42.9840477)",,building_passage,,
