osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,junction,name,ref,tunnel
22791144,True,1,trunk_link,50,False,302.39300000000003,"LINESTRING (4.284965 45.3909271, 4.2843234 45.3908361, 4.2837767 45.3907206, 4.2832012 45.3906324, 4.2827368 45.3905479, 4.2823639 45.3904573, 4.2820304 45.3903399, 4.2816286 45.390182, 4.2815175 45.3900973, 4.2814165 45.3899875)",,,,
517071398,True,,secondary,,False,20.125,"LINESTRING (4.2806998 45.3904353, 4.2806653 45.3904395, 4.280611 45.3904374, 4.2805446 45.3904184, 4.2804796 45.3903682)",roundabout,,,
517071398,True,,secondary,,False,14.604,"LINESTRING (4.2804796 45.3903682, 4.2804583 45.390313, 4.2804634 45.3902752, 4.2804806 45.3902411)",roundabout,,,
517071398,True,,secondary,,False,10.244,"LINESTRING (4.2804806 45.3902411, 4.2805172 45.3902097, 4.2805791 45.390182)",roundabout,,,
517071398,True,,secondary,,False,69.662,"LINESTRING (4.2805791 45.390182, 4.280657 45.390173, 4.2807456 45.3901691, 4.2808525 45.3901317, 4.2811455 45.3899307, 4.2811471 45.3899268, 4.2811198 45.3898514, 4.2811172 45.3897961)",roundabout,,,
517071398,True,,secondary,,False,72.646,"LINESTRING (4.2814165 45.3899875, 4.281338 45.3899908, 4.2812027 45.3899683, 4.2811992 45.3899691, 4.2808945 45.3901592, 4.2808432 45.3902392, 4.2808363 45.3902859, 4.2808259 45.3903275, 4.2808174 45.3903617)",roundabout,,,
517071398,True,,secondary,,False,43.461000000000006,"LINESTRING (4.2812032 45.3896868, 4.2812965 45.3896508, 4.2813709 45.3896446, 4.2814446 45.3896544, 4.2815108 45.3896793, 4.2815632 45.3897169, 4.2815972 45.3897639, 4.2816096 45.3898159)",roundabout,,,
22959115,True,1,secondary,,False,125.243,"LINESTRING (4.2816096 45.3898159, 4.2818124 45.3899003, 4.2830687 45.3902807)",,,,
517071398,True,,secondary,,False,26.179000000000002,"LINESTRING (4.2816096 45.3898159, 4.2815964 45.389874, 4.2815564 45.3899257, 4.281494 45.389965, 4.2814165 45.3899875)",roundabout,,,
22959116,True,,tertiary,,False,34.644,"LINESTRING (4.2830687 45.3902807, 4.2833533 45.3902688, 4.2835067 45.3902407)",,,,
