osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel,width,junction
"[63904319, 34222071]",1,"['Place Amédée Gabe', 'Rue Palassou']",residential,30,False,False,202.925,"LINESTRING (-0.6056227 43.1929286, -0.6056355 43.1929447, -0.6056506 43.1929635, -0.6057207 43.1930513, -0.6057584 43.1930984, -0.6059489 43.1933212, -0.605972 43.1933858, -0.6060814 43.1940885, -0.606072 43.1943388, -0.6060532 43.1943985, -0.6060235 43.194476, -0.6059346 43.194665)",,,,,
"[34222074, 34222075, 891889326, 63904326]",2,"['Rue Justice', 'Place Amédée Gabe']",tertiary,"['30', '50']",False,False,84.44200000000001,"LINESTRING (-0.6056227 43.1929286, -0.6056964 43.1928784, -0.6057204 43.1928621, -0.6057978 43.1928094, -0.6059297 43.1927195, -0.6059729 43.1926901, -0.6062581 43.1925108, -0.6062892 43.1924961, -0.6064326 43.1924673)",N 134,yes,,,
34222074,2,Rue Justice,tertiary,50,False,False,22.247,"LINESTRING (-0.6064326 43.1924673, -0.6067017 43.1924281)",N 134,,,,
"[63904326, 34222074, 34222075, 891889326]",2,"['Rue Justice', 'Place Amédée Gabe']",tertiary,"['50', '30']",False,True,84.44200000000001,"LINESTRING (-0.6064326 43.1924673, -0.6062892 43.1924961, -0.6062581 43.1925108, -0.6059729 43.1926901, -0.6059297 43.1927195, -0.6057978 43.1928094, -0.6057204 43.1928621, -0.6056964 43.1928784, -0.6056227 43.1929286)",N 134,yes,,,
"[340341192, 340341193, 63904320, 891890894]",1,"['Rue de la Filature', 'Rue des Bains']",residential,50,False,True,47.721999999999994,"LINESTRING (-0.6064326 43.1924673, -0.6064196 43.1924149, -0.6064137 43.1923933, -0.6063783 43.1923311, -0.6062766 43.1921817, -0.6062235 43.1921237, -0.6061862 43.1920817)",,,building_passage,2.8,
"[34115834, 55167412]",2,Rue Carrerot,secondary,30,False,False,187.62300000000002,"LINESTRING (-0.611199 43.1886189, -0.6112648 43.1887614, -0.6113197 43.1889084, -0.6114129 43.1890728, -0.6114189 43.1890834, -0.611443 43.189122, -0.6115201 43.1892587, -0.6115316 43.1892799, -0.6116027 43.1894158, -0.611667 43.1895645, -0.6117395 43.1897238, -0.6117734 43.1897785, -0.6118172 43.189849, -0.6118454 43.1898852, -0.6120126 43.1900121, -0.6121673 43.1901228)",,,,,
"[905375902, 905375901, 34222078, 34222079]",,"[""Pont d'Aspe"", 'Pont Sainte-Marie', 'Place de Jaca']",tertiary,,False,True,73.34700000000001,"LINESTRING (-0.611199 43.1886189, -0.6110887 43.1887052, -0.6109986 43.1887321, -0.610974 43.1887394, -0.6108605 43.1887732, -0.6108359 43.1887792, -0.6104669 43.1888609, -0.6104197 43.1888714, -0.6103846 43.1888751)",N 134,yes,,,
35939689,,,tertiary,,True,False,8.273,"LINESTRING (-0.6175495 43.1903971, -0.617566 43.1903754, -0.6175745 43.1903514, -0.6175745 43.1903266)",,,,,roundabout
1267212637,,,tertiary,,True,False,7.421,"LINESTRING (-0.617344 43.1904059, -0.6173805 43.190426, -0.6174242 43.190436)",,,,,roundabout
34222080,1,Avenue Charles Moureu,tertiary,,True,False,13.76,"LINESTRING (-0.6131207 43.19255, -0.613196 43.1924391)",,,,,
836091544,,,secondary,,True,False,7.104,"LINESTRING (-0.6131207 43.19255, -0.6131042 43.1925216, -0.6130913 43.1925112, -0.613072 43.1924984)",,,,,roundabout
"[1238523452, 1238523453]",,Place Don Armando Abadia Urrieta,secondary,,True,False,48.11,"LINESTRING (-0.6116751 43.1944155, -0.6117361 43.1944236, -0.6117979 43.1944199, -0.6118562 43.1944045, -0.6119209 43.1943684, -0.611965 43.1943184, -0.611983 43.1942605, -0.6119729 43.1942015, -0.6119359 43.1941486)",,,,,roundabout
