osmid,highway,oneway,reversed,length,name,lanes,maxspeed,geometry
26390174,residential,False,True,124.955,,,,"LINESTRING (-62.834777 17.4076245, -62.8350965 17.4087061)"
26390203,residential,False,False,109.982,Blake Avenue,,,"LINESTRING (-62.834777 17.4076245, -62.8345041 17.4066703)"
24762912,primary,False,False,43.341,Island Main Road,2,40 mph,"LINESTRING (-62.834777 17.4076245, -62.834877 17.4075674, -62.8351357 17.4074383)"
24762912,primary,False,True,236.31900000000002,Island Main Road,2,40 mph,"LINESTRING (-62.834777 17.4076245, -62.8339121 17.4081288, -62.8328171 17.4086283)"
24762912,primary,False,False,32.435,Island Main Road,2,40 mph,"LINESTRING (-62.8351357 17.4074383, -62.8353932 17.4072811)"
26390195,residential,False,False,110.996,Leaders Avenue,,,"LINESTRING (-62.8351357 17.4074383, -62.8347278 17.4065191)"
24762912,primary,False,True,43.341,Island Main Road,2,40 mph,"LINESTRING (-62.8351357 17.4074383, -62.834877 17.4075674, -62.834777 17.4076245)"
24762912,primary,False,False,36.004,Island Main Road,2,40 mph,"LINESTRING (-62.8353932 17.4072811, -62.8356759 17.407102)"
24762912,primary,False,True,32.435,Island Main Road,2,40 mph,"LINESTRING (-62.8353932 17.4072811, -62.8351357 17.4074383)"
26390192,residential,False,False,112.07,Bradshaw Avenue,,,"LINESTRING (-62.8353932 17.4072811, -62.8349483 17.406367)"
24762912,primary,False,True,36.004,Island Main Road,2,40 mph,"LINESTRING (-62.8356759 17.407102, -62.8353932 17.4072811)"
24762912,primary,False,False,62.354,Island Main Road,2,40 mph,"LINESTRING (-62.8356759 17.407102, -62.8359924 17.4068993, -62.8361603 17.4067846)"
26390189,residential,False,False,114.707,Carse Avenue,,,"LINESTRING (-62.8356759 17.407102, -62.8353798 17.4063574, -62.8352863 17.4061398)"
24762912,primary,False,False,25.442,Island Main Road,2,40 mph,"LINESTRING (-62.8361603 17.4067846, -62.8363685 17.4066711)"
26390200,residential,False,True,76.498,,,,"LINESTRING (-62.8361603 17.4067846, -62.8361836 17.4074722)"
24762912,primary,False,True,62.354,Island Main Road,2,40 mph,"LINESTRING (-62.8361603 17.4067846, -62.8359924 17.4068993, -62.8356759 17.407102)"
26390202,residential,False,False,76.969,James Avenue,,,"LINESTRING (-62.8361603 17.4067846, -62.8361083 17.4066272, -62.8359423 17.4061244)"
24762912,primary,False,True,25.442,Island Main Road,2,40 mph,"LINESTRING (-62.8363685 17.4066711, -62.8361603 17.4067846)"
24762912,primary,False,False,99.612,Island Main Road,2,40 mph,"LINESTRING (-62.8363685 17.4066711, -62.836553 17.4065476, -62.8366495 17.4064202, -62.8367118 17.4062733, -62.8367756 17.4061786, -62.8368957 17.4061049, -62.8370165 17.4060895)"
26390126,residential,False,True,63.54,,,,"LINESTRING (-62.8363685 17.4066711, -62.8365383 17.406948, -62.8366376 17.40718)"
26390176,residential,False,False,29.654,Douglas Avenue,,,"LINESTRING (-62.8370165 17.4060895, -62.836998 17.4058234)"
24762912,primary,False,False,112.10399999999998,Island Main Road,2,40 mph,"LINESTRING (-62.8370165 17.4060895, -62.8371109 17.4060895, -62.837266 17.406091, -62.8374038 17.4060404, -62.8375787 17.4059426, -62.8376527 17.4058996, -62.8379498 17.4056891)"
24762912,primary,False,True,99.612,Island Main Road,2,40 mph,"LINESTRING (-62.8370165 17.4060895, -62.8368957 17.4061049, -62.8367756 17.4061786, -62.8367118 17.4062733, -62.8366495 17.4064202, -62.836553 17.4065476, -62.8363685 17.4066711)"
26390205,residential,False,False,35.349,Rawlins Avenue,,,"LINESTRING (-62.8379498 17.4056891, -62.8377884 17.405411)"
24762912,primary,False,False,299.01000000000005,Island Main Road,2,40 mph,"LINESTRING (-62.8379498 17.4056891, -62.8383785 17.4054092, -62.8385041 17.4053693, -62.8386119 17.4053729, -62.8387588 17.4053934, -62.8388312 17.405438, -62.8389246 17.4054604, -62.839005 17.4054785, -62.8390772 17.405471, -62.8391155 17.405453, -62.8391397 17.4054328, -62.8391769 17.4053856, -62.8392335 17.4052298, -62.8393082 17.4049575, -62.8393367 17.4048494, -62.8393445 17.4047724, -62.8393414 17.4045912, -62.8393065 17.404452, -62.8392985 17.4042682, -62.8393167 17.4041321, -62.8393371 17.4040452)"
24762912,primary,False,True,112.104,Island Main Road,2,40 mph,"LINESTRING (-62.8379498 17.4056891, -62.8376527 17.4058996, -62.8375787 17.4059426, -62.8374038 17.4060404, -62.837266 17.406091, -62.8371109 17.4060895, -62.8370165 17.4060895)"
26390131,residential,False,True,185.209,,,,"LINESTRING (-62.8379498 17.4056891, -62.8386288 17.4066568, -62.838648 17.4066731, -62.838683 17.4066731, -62.8387157 17.4066642, -62.8387391 17.4066486, -62.8387647 17.4066464, -62.8387881 17.4066598, -62.8390216 17.4069071)"
438015050,primary,False,True,28.612000000000002,Island Main Road,2,40 mph,"LINESTRING (-62.8395529 17.4038978, -62.8394191 17.4039662, -62.8393789 17.4039931, -62.8393371 17.4040452)"
