osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,bridge
26391062,residential,False,False,143.789,"LINESTRING (-62.8075091 17.3239712, -62.8073736 17.3242734, -62.8072421 17.3246254, -62.8070889 17.3251977)",,,,
712678400,primary,False,False,56.019999999999996,"LINESTRING (-62.8075091 17.3239712, -62.8072947 17.3238748, -62.8070256 17.3237697)",2,Island Main Road,20 mph,
26391082,residential,False,False,22.554,"LINESTRING (-62.8070256 17.3237697, -62.8069438 17.3239569)",,,,
712678400,primary,False,False,257.286,"LINESTRING (-62.8070256 17.3237697, -62.8056138 17.323147, -62.805509 17.3231022, -62.8048338 17.3227824)",2,Island Main Road,20 mph,
712678400,primary,False,True,56.019999999999996,"LINESTRING (-62.8070256 17.3237697, -62.8072947 17.3238748, -62.8075091 17.3239712)",2,Island Main Road,20 mph,
26391094,residential,False,False,207.146,"LINESTRING (-62.8048338 17.3227824, -62.8047442 17.3230308, -62.8041562 17.3245293)",,,,
712678400,primary,False,False,173.49900000000002,"LINESTRING (-62.8048338 17.3227824, -62.8047019 17.3227235, -62.8038215 17.3222778, -62.8037694 17.3222514, -62.8034158 17.3220123)",2,Island Main Road,20 mph,
712678400,primary,False,True,257.286,"LINESTRING (-62.8048338 17.3227824, -62.805509 17.3231022, -62.8056138 17.323147, -62.8070256 17.3237697)",2,Island Main Road,20 mph,
26391099,residential,False,False,227.649,"LINESTRING (-62.8034158 17.3220123, -62.8032978 17.3224056, -62.8029491 17.3235678, -62.8028651 17.3239895)",,Wingfield's Road,,
"[712678400, 552247866, 552240909]",primary,False,False,140.469,"LINESTRING (-62.8034158 17.3220123, -62.8029062 17.321664, -62.8027707 17.3215898, -62.8022867 17.3213605)",2,Island Main Road,20 mph,yes
712678400,primary,False,True,173.499,"LINESTRING (-62.8034158 17.3220123, -62.8037694 17.3222514, -62.8038215 17.3222778, -62.8047019 17.3227235, -62.8048338 17.3227824)",2,Island Main Road,20 mph,
26391097,residential,False,False,176.086,"LINESTRING (-62.8022867 17.3213605, -62.8019724 17.3218399, -62.8019565 17.3220449, -62.8019779 17.3222419, -62.8020391 17.3228046, -62.8020435 17.3228531)",,,,
552247866,primary,False,False,101.06,"LINESTRING (-62.8022867 17.3213605, -62.8017473 17.3210353, -62.8015185 17.3209078, -62.8014727 17.3208908)",2,Island Main Road,20 mph,
"[712678400, 552247866, 552240909]",primary,False,True,140.469,"LINESTRING (-62.8022867 17.3213605, -62.8027707 17.3215898, -62.8029062 17.321664, -62.8034158 17.3220123)",2,Island Main Road,20 mph,yes
"[394990392, 552247865, 552247866]",primary,False,True,95.507,"LINESTRING (-62.8007829 17.3203804, -62.8007973 17.3204378, -62.8008272 17.3204923, -62.8008732 17.3205328, -62.8009772 17.3206275, -62.8012483 17.3207675, -62.8014397 17.3208727, -62.8014727 17.3208908)",2,Island Main Road,20 mph,yes
438013822,residential,False,False,67.331,"LINESTRING (-62.8070889 17.3251977, -62.8065101 17.32495)",,,,
26391062,residential,False,False,163.44099999999997,"LINESTRING (-62.8070889 17.3251977, -62.8070462 17.3253823, -62.8069892 17.3255521, -62.8069333 17.3257186, -62.80676 17.3261036, -62.806532 17.3265633)",,,,
26391062,residential,False,True,143.789,"LINESTRING (-62.8070889 17.3251977, -62.8072421 17.3246254, -62.8073736 17.3242734, -62.8075091 17.3239712)",,,,
26391082,residential,False,True,64.42,"LINESTRING (-62.8065101 17.32495, -62.8067437 17.3244153)",,,,
438013822,residential,False,False,103.377,"LINESTRING (-62.8065101 17.32495, -62.8056285 17.324555)",,,,
438013822,residential,False,True,67.331,"LINESTRING (-62.8065101 17.32495, -62.8070889 17.3251977)",,,,
26391092,residential,False,True,62.818,"LINESTRING (-62.8056285 17.324555, -62.8058768 17.3240422)",,,,
438013822,residential,False,True,103.377,"LINESTRING (-62.8056285 17.324555, -62.8065101 17.32495)",,,,
438013822,residential,False,False,57.809000000000005,"LINESTRING (-62.8056285 17.324555, -62.8055836 17.3245367, -62.8051235 17.3243604)",,,,
243739937,residential,False,True,67.083,"LINESTRING (-62.8048518 17.3235696, -62.8054305 17.323812)",,,,
"[438013822, 397551575]",residential,False,False,124.388,"LINESTRING (-62.8048518 17.3235696, -62.8050131 17.3231671, -62.8050415 17.3231427, -62.8050802 17.3231376, -62.805664 17.3233951)",,,,
438013822,residential,False,True,119.945,"LINESTRING (-62.8048518 17.3235696, -62.8046705 17.3240907, -62.804669 17.3241124, -62.8046762 17.3241366, -62.8046951 17.3241519, -62.8051235 17.3243604)",,,,
26391089,residential,False,False,52.568,"LINESTRING (-62.805664 17.3233951, -62.8054305 17.323812)",,,,
397551575,residential,False,False,49.506,"LINESTRING (-62.805664 17.3233951, -62.8057088 17.3234135, -62.8060599 17.3235685, -62.8060878 17.3235809)",,,,
"[438013822, 397551575]",residential,False,True,124.388,"LINESTRING (-62.805664 17.3233951, -62.8050802 17.3231376, -62.8050415 17.3231427, -62.8050131 17.3231671, -62.8048518 17.3235696)",,,,
26391092,residential,False,False,55.971,"LINESTRING (-62.8060878 17.3235809, -62.8058768 17.3240422)",,,,
397551575,residential,False,False,100.023,"LINESTRING (-62.8060878 17.3235809, -62.8069438 17.3239569)",,,,
