osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,ref,bridge,junction
455402937,residential,False,False,6.77,,,,"LINESTRING (-6.5673507 34.2604591, -6.5672837 34.2604844)",,,
456683875,tertiary,False,True,9.641,2,Avenue Arriyada,40,"LINESTRING (-6.5673507 34.2604591, -6.5672656 34.2604084)",,,
456683875,tertiary,False,False,22.907,2,Avenue Arriyada,40,"LINESTRING (-6.5673507 34.2604591, -6.5674065 34.2604964, -6.5674579 34.2605384, -6.5675286 34.2606028)",,,
608702338,tertiary,False,True,12.736,2,Avenue Moulay Youssef شارع مولاي يوسف,40,"LINESTRING (-6.5707831 34.2633382, -6.5707724 34.2634524)",,,
155708336,primary,False,False,43.046,4,Avenue Mohamed V شارع محمد الخامس,40,"LINESTRING (-6.5707831 34.2633382, -6.5710813 34.2633212, -6.5712504 34.2633116)",RN1,,
507026333,tertiary,False,True,49.36,2,Avenue Moulay Youssef شارع مولاي يوسف,40,"LINESTRING (-6.5707831 34.2633382, -6.5707965 34.2632078, -6.5708287 34.2628959)",,,
919132832,primary,False,True,53.794,4,Avenue Mohamed V شارع محمد الخامس,40,"LINESTRING (-6.5707831 34.2633382, -6.570616 34.2633537, -6.5702014 34.2633922)",RN1,,
1058952879,primary,False,True,15.92,4,Avenue Mohamed V شارع محمد الخامس,40,"LINESTRING (-6.568866 34.2635339, -6.5687073 34.2635913)",RN1,,
471842886,tertiary,False,True,90.199,2,Avenue Arriyada,40,"LINESTRING (-6.568866 34.2635339, -6.5688636 34.2634701, -6.5688656 34.2634242, -6.5688633 34.2630569, -6.568861 34.2629486, -6.5688688 34.2627229)",P4268,,
"[919132832, 155708333, 919132831]",primary,False,False,76.747,4,Avenue Mohamed V شارع محمد الخامس,"['60', '40']","LINESTRING (-6.568866 34.2635339, -6.5689612 34.2635203, -6.5690358 34.2635111, -6.5695425 34.2634529, -6.5696926 34.2634357)",RN1,yes,
456760870,residential,False,True,83.668,,,,"LINESTRING (-6.566604 34.2656477, -6.5672963 34.265159)",,,
712187034,residential,True,False,139.802,,,,"LINESTRING (-6.566604 34.2656477, -6.5652637 34.2662425)",,,
456760867,residential,True,False,85.825,,Rue 22 زنقة,,"LINESTRING (-6.566604 34.2656477, -6.5661604 34.2650747, -6.5660933 34.2650018)",,,
590820904,residential,False,True,49.027,,,,"LINESTRING (-6.573409 34.2670068, -6.5731998 34.2666012)",,,
507026332,tertiary,False,False,62.569,2,Avenue Moulay Youssef شارع مولاي يوسف,40,"LINESTRING (-6.573409 34.2670068, -6.573287 34.2669957, -6.5731649 34.2669846, -6.5727384 34.2669126)",,,
507026332,tertiary,False,True,50.018,2,Avenue Moulay Youssef شارع مولاي يوسف,40,"LINESTRING (-6.573409 34.2670068, -6.5737268 34.2669979, -6.5739521 34.2669802)",,,
208494978,residential,False,False,94.289,,Rue Mohammed Fehri,,"LINESTRING (-6.5719558 34.261928, -6.5709298 34.26193)",,,
208494978,residential,False,True,94.525,,Rue Mohammed Fehri,,"LINESTRING (-6.5719558 34.261928, -6.5728927 34.2615772)",,,
208494885,residential,False,False,149.715,,Rue de la Mosquée,,"LINESTRING (-6.5719558 34.261928, -6.5719257 34.2627672, -6.5719156 34.2631132, -6.5719109 34.2632739)",,,
208494832,residential,False,False,7.79,,Rue 60,,"LINESTRING (-6.5667606 34.2615677, -6.5666857 34.2616005)",,,
208494832,residential,False,True,57.388,,Rue 60,,"LINESTRING (-6.5667606 34.2615677, -6.5673083 34.2613198)",,,
208494866,residential,False,True,68.451,,,,"LINESTRING (-6.5667606 34.2615677, -6.5670535 34.2610017)",,,
453994251,residential,False,False,45.568,,,,"LINESTRING (-6.5667606 34.2615677, -6.5664876 34.2612256)",,,
608398126,residential,False,True,45.383,,Rue 35,,"LINESTRING (-6.5667606 34.2615677, -6.56702 34.261915)",,,
208494953,residential,False,False,43.523,,,,"LINESTRING (-6.5740703 34.2662514, -6.5736454 34.2664243)",,,
208494953,residential,False,True,57.68,,,,"LINESTRING (-6.5740703 34.2662514, -6.5746358 34.2660263)",,,
