osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,junction
103730221,False,RR 204,secondary,60,False,187.63800000000003,"LINESTRING (-7.6673635 31.5629426, -7.6668189 31.5631312, -7.6666473 31.5631906, -7.666054 31.5633961, -7.665846 31.5634682, -7.6655288 31.563578)",
718134667,False,,residential,,True,165.073,"LINESTRING (-7.6673635 31.5629426, -7.6671293 31.5624702, -7.6669174 31.5621206, -7.6667538 31.561892, -7.6665313 31.5616461)",
176086580,False,,residential,,False,71.294,"LINESTRING (-7.6655288 31.563578, -7.6649051 31.5632193)",
176086580,False,,residential,,True,114.98,"LINESTRING (-7.6655288 31.563578, -7.6665117 31.5641845)",
103730221,False,RR 204,secondary,60,False,66.97999999999999,"LINESTRING (-7.6655288 31.563578, -7.665085 31.563736, -7.6648761 31.5638094)",
103730221,False,RR 204,secondary,60,True,187.638,"LINESTRING (-7.6655288 31.563578, -7.665846 31.5634682, -7.666054 31.5633961, -7.6666473 31.5631906, -7.6668189 31.5631312, -7.6673635 31.5629426)",
103730221,False,RR 204,secondary,60,True,63.033,"LINESTRING (-7.662988 31.5644908, -7.6635955 31.5642597)",
273841523,True,RR 204,secondary,,False,30.156,"LINESTRING (-7.662988 31.5644908, -7.6626734 31.564532)",
26139260,True,RR 204,secondary,,False,13.475,"LINESTRING (-7.6625885 31.5645431, -7.6625591 31.564526, -7.6625255 31.5645162, -7.66249 31.5645146, -7.6624553 31.5645212)",roundabout
26139257,True,RR 204,secondary,,False,35.571,"LINESTRING (-7.6624289 31.5647178, -7.662386 31.5650356)",
26139260,True,RR 204,secondary,,False,14.712,"LINESTRING (-7.6624289 31.5647178, -7.6624641 31.5647318, -7.6625026 31.5647363, -7.6625409 31.5647309, -7.6625756 31.5647162)",roundabout
273841525,False,RR 204,secondary,,False,54.985,"LINESTRING (-7.662386 31.5650356, -7.6621431 31.5654847)",
727465246,True,RR 204,secondary,,False,39.8,"LINESTRING (-7.662386 31.5650356, -7.6625756 31.5647162)",
26139260,True,RR 204,secondary,,False,12.116,"LINESTRING (-7.6625756 31.5647162, -7.6625994 31.5646979, -7.6626172 31.5646753, -7.662628 31.5646497, -7.6626311 31.5646226)",roundabout
176086580,False,,residential,,False,88.107,"LINESTRING (-7.6623054 31.5616349, -7.6614927 31.5612498)",
347000883,False,,residential,,True,32.292,"LINESTRING (-7.6623054 31.5616349, -7.662186 31.5619069)",
176086580,False,,residential,,True,24.820999999999998,"LINESTRING (-7.6623054 31.5616349, -7.6624724 31.5617212, -7.662534 31.5617429)",
718134666,False,,secondary,60,False,90.048,"LINESTRING (-7.6574149 31.563384, -7.6583304 31.5636015)",
176086580,False,,residential,,True,75.533,"LINESTRING (-7.6574149 31.563384, -7.6576105 31.5627801, -7.657627 31.5627292)",
273842493,True,,secondary,,False,26.438,"LINESTRING (-7.6624553 31.5645212, -7.6621789 31.5644885)",
26139260,True,RR 204,secondary,,False,17.053,"LINESTRING (-7.6624553 31.5645212, -7.6624165 31.5645406, -7.6623877 31.5645701, -7.6623725 31.5646062, -7.6623725 31.5646445)",roundabout
176086604,False,,residential,,True,29.618,"LINESTRING (-7.6601703 31.5633878, -7.6601771 31.5636541)",
347000883,False,,residential,,False,59.3,"LINESTRING (-7.6601703 31.5633878, -7.660794 31.5633432)",
