osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed
103698475,True,Boulevard Ghorghiz,residential,False,57.963,"LINESTRING (-5.3783514 35.5694744, -5.3785506 35.569716, -5.3787008 35.5699113)",,,
1217732454,True,Passage Maarakat Zallaka,residential,False,57.462,"LINESTRING (-5.3783514 35.5694744, -5.3779471 35.5697084, -5.3779042 35.569739, -5.3778472 35.569787)",,,
103698475,True,Boulevard Ghorghiz,residential,False,112.45999999999998,"LINESTRING (-5.3773003 35.5690048, -5.3775126 35.5690179, -5.3776158 35.5690332, -5.3777473 35.5690812, -5.377868 35.5691281, -5.3780034 35.5692001, -5.3780632 35.5692391, -5.3781255 35.5692797, -5.3781866 35.5693274, -5.3782247 35.5693571, -5.3783514 35.5694744)",,,
175005288,False,Avenue Moulay El Abbas,residential,False,77.608,"LINESTRING (-5.3773003 35.5690048, -5.3772262 35.5690085, -5.3764452 35.5690623)",,,
51519358,True,Boulevard Chakib Arsalan,residential,False,91.456,"LINESTRING (-5.3745661 35.5696395, -5.3747017 35.5696554, -5.3755755 35.5696756)",1,,
164658169,False,Rue Ouroba,residential,True,42.34,"LINESTRING (-5.3745661 35.5696395, -5.3745236 35.5696985, -5.3744152 35.5698837, -5.3743566 35.5699798)",,,
577114081,True,Rue Ouroba,residential,False,79.13000000000001,"LINESTRING (-5.3745661 35.5696395, -5.3746534 35.569564, -5.3751756 35.569129)",,,
51519363,True,,secondary,False,27.154000000000003,"LINESTRING (-5.3743566 35.5699798, -5.3742822 35.5699719, -5.3742081 35.5699817, -5.3741406 35.5700084, -5.3740852 35.5700496)",3,roundabout,
164658169,False,Rue Ouroba,residential,False,42.34,"LINESTRING (-5.3743566 35.5699798, -5.3744152 35.5698837, -5.3745236 35.5696985, -5.3745661 35.5696395)",,,
51519358,True,Boulevard Chakib Arsalan,residential,False,64.67399999999999,"LINESTRING (-5.377147 35.5697259, -5.3776775 35.5697406, -5.3777728 35.5697499, -5.3778137 35.569764, -5.3778472 35.569787)",1,,
103698440,True,Boulevard Moulay Abdeslam,residential,False,61.105,"LINESTRING (-5.377147 35.5697259, -5.3771464 35.5697415, -5.3771434 35.5697866, -5.377147 35.5698325, -5.3771395 35.5700485, -5.3771305 35.5702097, -5.3771287 35.570275)",,,
175005277,True,Boulevard Mohamed V شارع محمد الخامس,residential,False,56.205,"LINESTRING (-5.3778472 35.569787, -5.3779585 35.569908, -5.3780504 35.5700117, -5.3781503 35.5701213, -5.378216 35.5701938)",,,
