osmid,lanes,highway,oneway,reversed,length,ref,name,geometry,maxspeed,junction
716994931,2,residential,False,True,6.978,,,"LINESTRING (-7.6207362 33.005701, -7.6207585 33.0056411)",,
"[135762800, 584985881]",2,primary,True,False,123.243,RN11;RR316,Avenue Bouchaib Ben Labsir,"LINESTRING (-7.6207362 33.005701, -7.6205353 33.0057098, -7.6202449 33.0057331, -7.6200888 33.0057478, -7.6199356 33.0057588, -7.6197233 33.0057743, -7.6195715 33.0057846, -7.6194851 33.0057909, -7.6194194 33.0057937)",,
731087383,,tertiary,True,False,11.911,,Boulevard de la résistance,"LINESTRING (-7.6199721 33.0006732, -7.6200998 33.0006751)",,
149534105,2,primary,True,False,157.301,RN9,Boulevard Hassan II شارع الحسن الثاني,"LINESTRING (-7.6199721 33.0006732, -7.619956 33.0007705, -7.6199265 33.0010235, -7.6198002 33.0020804)",60,
98619873,2,primary,True,False,10.390999999999998,RN11;RR316,,"LINESTRING (-7.6210611 33.0057827, -7.6210671 33.0057736, -7.6210712 33.0057638, -7.6210735 33.0057536, -7.6210738 33.0057433, -7.6210721 33.005733, -7.6210685 33.005723, -7.621063 33.0057137, -7.6210559 33.0057053, -7.6210472 33.0056978)",,roundabout
98619873,2,primary,True,False,4.0489999999999995,RN11;RR316,,"LINESTRING (-7.620925 33.0057731, -7.6209301 33.0057811, -7.6209364 33.0057885, -7.6209439 33.0057951, -7.6209524 33.0058008)",,roundabout
98619873,2,primary,True,False,11.495999999999999,RN11;RR316,,"LINESTRING (-7.6209524 33.0058008, -7.6209631 33.0058059, -7.6209747 33.0058096, -7.6209868 33.0058116, -7.6209991 33.0058121, -7.6210113 33.0058109, -7.6210232 33.005808, -7.6210344 33.0058037, -7.6210446 33.0057979, -7.6210536 33.0057909, -7.6210611 33.0057827)",,roundabout
584985881,2,primary,True,False,19.228,RN11;RR316,Avenue Bouchaib Ben Labsir,"LINESTRING (-7.6209424 33.0057, -7.6207362 33.005701)",,
98619873,2,primary,True,False,8.815,RN11;RR316,,"LINESTRING (-7.6209424 33.0057, -7.6209345 33.0057073, -7.6209281 33.0057157, -7.6209232 33.0057247, -7.62092 33.0057342, -7.6209186 33.0057441, -7.620919 33.005754, -7.6209211 33.0057637, -7.620925 33.0057731)",,roundabout
98619873,2,primary,True,False,10.721,RN11;RR316,,"LINESTRING (-7.6210472 33.0056978, -7.621037 33.0056915, -7.6210256 33.0056866, -7.6210134 33.0056834, -7.6210007 33.0056819, -7.6209879 33.0056822, -7.6209754 33.0056842, -7.6209634 33.0056879, -7.6209523 33.0056932, -7.6209424 33.0057)",,roundabout
119325785,2,residential,False,False,56.96,,Avenue Mohammed Zerktouni,"LINESTRING (-7.6210472 33.0056978, -7.621122 33.0055634, -7.6211601 33.0054805, -7.621193 33.0054037, -7.6212739 33.0052225)",,
100006459,2,secondary,False,False,16.179,RR308,Avenue des Far شارع الجيش الملكي,"LINESTRING (-7.6157327 33.003057, -7.6157339 33.0029115)",,
100006459,2,secondary,False,True,94.042,RR308,Avenue des Far شارع الجيش الملكي,"LINESTRING (-7.6157327 33.003057, -7.6157369 33.0031594, -7.6157449 33.0032595, -7.6157717 33.0034844, -7.6158415 33.0038972)",,
102695379,2,tertiary,False,False,112.053,,Avenue Arbi El Wadi,"LINESTRING (-7.6157327 33.003057, -7.6155178 33.00311, -7.6145724 33.0033187)",,
102695379,2,tertiary,False,True,69.941,,Avenue Arbi El Wadi,"LINESTRING (-7.6157327 33.003057, -7.6158849 33.0030264, -7.6164587 33.0028992)",,
129401470,2,tertiary,False,False,116.14,,Anenue Allal El Fassi,"LINESTRING (-7.6164892 33.0005208, -7.6157678 33.0013722)",,
340140757,2,tertiary,False,False,71.481,,Anenue Allal El Fassi,"LINESTRING (-7.6164892 33.0005208, -7.6168017 33.00014, -7.6169242 32.9999915)",,
360800448,2,tertiary,False,True,59.907,,Rue Moulay Ahmed,"LINESTRING (-7.6164892 33.0005208, -7.6162337 33.0005281, -7.6159917 33.000532, -7.615847 33.0005328)",,
100006459,2,secondary,False,False,70.465,RR308,Avenue des Far شارع الجيش الملكي,"LINESTRING (-7.6158952 33.0045293, -7.6158415 33.0038972)",,
