osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,junction
411188762,residential,False,True,181.486,"LINESTRING (-6.9198539 33.9203421, -6.9210191 33.9190272)",,,,,
4407692,tertiary,False,True,103.348,"LINESTRING (-6.9198539 33.9203421, -6.9203662 33.9206305, -6.9207836 33.9208604)",,,,,
236834605,tertiary,False,True,46.388000000000005,"LINESTRING (-6.9198539 33.9203421, -6.9197559 33.9204124, -6.9196419 33.920487, -6.9195253 33.9205559, -6.919454 33.9205941)",Rue Al Qods زنقة القدس,,,,
236834605,tertiary,False,True,45.201,"LINESTRING (-6.9189419 33.9208898, -6.9185439 33.9211268)",Rue Al Qods زنقة القدس,,,,
236834605,tertiary,False,False,50.739000000000004,"LINESTRING (-6.9189419 33.9208898, -6.919186 33.9207607, -6.9193944 33.9206311)",Rue Al Qods زنقة القدس,,,,
204734841,tertiary,False,False,17.899,"LINESTRING (-6.9247698 33.9180941, -6.9246337 33.9179794)",Rue de Rabat,,,,
630067069,primary,False,True,121.747,"LINESTRING (-6.9247698 33.9180941, -6.9256502 33.9172786)",Avenue Hassan II شارع الحسن الثاني,2,RN1,60,
964640015,primary,False,False,42.803,"LINESTRING (-6.9247698 33.9180941, -6.9244604 33.9183809)",Avenue Hassan II شارع الحسن الثاني,2,RN1,60,
227525015,secondary,False,True,104.969,"LINESTRING (-6.9247698 33.9180941, -6.9252117 33.9184695, -6.9255735 33.9187621)",Boulevard Gaza,2,,,
411821064,secondary,False,False,3.428,"LINESTRING (-6.9274003 33.9149699, -6.9273705 33.9149515)",Avenue Hassan I شارع الحسن الأول,2,RR403,60,
729103829,secondary,True,False,39.676,"LINESTRING (-6.9274003 33.9149699, -6.9276662 33.9152503)",Avenue Hassan I شارع الحسن الأول,1,RR403,60,
369735854,residential,False,True,47.468,"LINESTRING (-6.9237472 33.9163413, -6.923361 33.9160593)",,,,,
411188762,residential,False,False,46.292,"LINESTRING (-6.9237472 33.9163413, -6.9234106 33.91665)",,,,,
411188762,residential,False,True,40.361,"LINESTRING (-6.9237472 33.9163413, -6.9240406 33.9160721)",,,,,
147598699,residential,False,True,18.821,"LINESTRING (-6.9256502 33.9172786, -6.9255011 33.9171631)",Avenue du Caire,,,,
630067069,primary,False,False,121.747,"LINESTRING (-6.9256502 33.9172786, -6.9247698 33.9180941)",Avenue Hassan II شارع الحسن الثاني,2,RN1,60,
630067069,primary,False,True,38.629,"LINESTRING (-6.9256502 33.9172786, -6.9259258 33.9170171)",Avenue Hassan II شارع الحسن الثاني,2,RN1,60,
369735878,residential,False,False,44.285,"LINESTRING (-6.9223423 33.9177564, -6.9227073 33.918015)",,,,,
369735878,residential,False,True,67.552,"LINESTRING (-6.9223423 33.9177564, -6.9217689 33.9173787)",,,,,
411188762,residential,False,False,40.112,"LINESTRING (-6.9223423 33.9177564, -6.9220631 33.9180329)",,,,,
411188762,residential,False,True,31.051,"LINESTRING (-6.9223423 33.9177564, -6.9225623 33.9175451)",,,,,
147598699,residential,False,False,36.266,"LINESTRING (-6.9247159 33.9165835, -6.9250093 33.9168005)",Avenue du Caire,,,,
147598699,residential,False,True,69.284,"LINESTRING (-6.9247159 33.9165835, -6.9241626 33.9161623)",Avenue du Caire,,,,
369735850,residential,False,True,36.663,"LINESTRING (-6.9247159 33.9165835, -6.9249834 33.9163397)",,,,,
369735850,residential,False,False,38.102,"LINESTRING (-6.9247159 33.9165835, -6.92453 33.916759, -6.9244395 33.916838)",,,,,
287115299,residential,False,False,65.122,"LINESTRING (-6.9210191 33.9190272, -6.921561 33.9194024)",Rue Gabes,,,,
287115299,residential,False,True,52.196,"LINESTRING (-6.9210191 33.9190272, -6.9205712 33.9187405)",Rue Gabes,,,,
411188762,residential,False,False,181.486,"LINESTRING (-6.9210191 33.9190272, -6.9198539 33.9203421)",,,,,
411188762,residential,False,True,37.794,"LINESTRING (-6.9210191 33.9190272, -6.9212822 33.9187667)",,,,,
411188762,residential,False,False,31.051,"LINESTRING (-6.9225623 33.9175451, -6.9223423 33.9177564)",,,,,
411188762,residential,False,True,49.863,"LINESTRING (-6.9225623 33.9175451, -6.9229192 33.9172084)",,,,,
369735876,residential,False,True,78.932,"LINESTRING (-6.9225623 33.9175451, -6.9223161 33.9173709, -6.9222853 33.9173412, -6.9222773 33.917314, -6.9222848 33.9172896, -6.9223054 33.917264, -6.9225594 33.9170256)",,,,,
411188762,residential,False,False,49.863,"LINESTRING (-6.9229192 33.9172084, -6.9225623 33.9175451)",,,,,
369735866,residential,False,False,34.53,"LINESTRING (-6.9229192 33.9172084, -6.9231016 33.9173384, -6.9232027 33.9174111)",,,,,
411188762,residential,False,True,32.937,"LINESTRING (-6.9229192 33.9172084, -6.9229826 33.9171372, -6.923047 33.9170615, -6.9231246 33.9169662)",,,,,
147598699,residential,False,False,69.284,"LINESTRING (-6.9241626 33.9161623, -6.9247159 33.9165835)",Avenue du Caire,,,,
147598699,residential,False,True,15.078,"LINESTRING (-6.9241626 33.9161623, -6.9240406 33.9160721)",Avenue du Caire,,,,
204734752,residential,False,False,36.201,"LINESTRING (-6.9241626 33.9161623, -6.9244282 33.9159227)",,,,,
