osmid,oneway,highway,maxspeed,reversed,length,name,geometry,ref,lanes,junction,tunnel
298326261,False,residential,30,False,30.981,,"LINESTRING (23.3219586 38.3204743, 23.3222982 38.3203928)",,,,
298325661,False,residential,30,True,79.931,Δαγλαρίδη,"LINESTRING (23.3219586 38.3204743, 23.3218201 38.3205362, 23.3216476 38.3206184, 23.3214566 38.3207102, 23.321321 38.3207682, 23.3211591 38.3208235)",,,,
298337445,False,residential,,True,95.175,,"LINESTRING (23.3219586 38.3204743, 23.3219733 38.3197849, 23.3219769 38.3196185)",,,,
298325354,False,secondary,30,True,4.086,Αυλίδος,"LINESTRING (23.3199912 38.3211424, 23.3199525 38.3211631)",ΕΟ44,,,
143346574,False,residential,,False,82.67,,"LINESTRING (23.3199912 38.3211424, 23.3199729 38.3209545, 23.3199702 38.3207125, 23.3200068 38.3204008)",,,,
298325354,False,secondary,30,False,28.073999999999998,Αυλίδος,"LINESTRING (23.3199912 38.3211424, 23.3200651 38.3211177, 23.3201661 38.3211006, 23.3202489 38.3210968, 23.3203041 38.321096)",ΕΟ44,,,
298325354,False,secondary,30,False,4.086,Αυλίδος,"LINESTRING (23.3199525 38.3211631, 23.3199912 38.3211424)",ΕΟ44,,,
48298177,True,secondary,,False,105.744,Γ. Τσεβά,"LINESTRING (23.3199525 38.3211631, 23.3198676 38.321259, 23.3195234 38.3220483)",ΕΟ44,,,
298313010,True,residential,30,False,58.422,Αγγελίδη,"LINESTRING (23.3195234 38.3220483, 23.3188537 38.3220481)",,,,
48298177,True,secondary,,False,91.11399999999999,Γ. Τσεβά,"LINESTRING (23.3195234 38.3220483, 23.3194305 38.322227, 23.3193315 38.3223729, 23.319208 38.3224969, 23.3191185 38.3225726, 23.3190042 38.3226092, 23.3188721 38.3226073)",ΕΟ44,,,
48298178,True,secondary,30,False,64.522,Αντιγόνης,"LINESTRING (23.317095 38.3204053, 23.3163554 38.3204039)",,1,,
102826368,False,residential,20,False,35.768,Αντιγόνης,"LINESTRING (23.3200068 38.3204008, 23.3195968 38.3204019)",οδός Ανιγόνης,1,,
143346574,False,residential,,False,40.565,,"LINESTRING (23.3200068 38.3204008, 23.3200186 38.3202033, 23.3200079 38.3201444, 23.3199837 38.3201086, 23.3199194 38.3200644)",,,,
143346574,False,residential,,True,82.66999999999999,,"LINESTRING (23.3200068 38.3204008, 23.3199702 38.3207125, 23.3199729 38.3209545, 23.3199912 38.3211424)",,,,
48298179,False,residential,,True,65.113,Κάδμου,"LINESTRING (23.3163439 38.3212155, 23.3163209 38.3218008)",,1,,
385149549,False,residential,,True,75.898,Δημητρίου Βουρδουμπά,"LINESTRING (23.3163439 38.3212155, 23.3154739 38.3212196)",,1,,
385149553,False,residential,,False,68.3,Δημητρίου Βουρδουμπά,"LINESTRING (23.3163439 38.3212155, 23.3171265 38.3211981)",,1,,
298319260,True,residential,30,False,71.879,Παναγιώτη Δράκου,"LINESTRING (23.3187672 38.3176589, 23.3179433 38.3176614)",,,,
298319889,True,residential,20,False,33.458,Παναγιώτη Δράκου,"LINESTRING (23.3187672 38.3176589, 23.3191507 38.3176578)",,,,
200262881,False,residential,,True,38.404,Μεταμορφώσεως Σωτήρος,"LINESTRING (23.3163276 38.3168862, 23.3158921 38.3169365)",,,,
298335663,True,secondary,30,False,55.811,Μεταμορφώσεως Σωτήρος,"LINESTRING (23.3163276 38.3168862, 23.316947 38.3167607)",,,,
298335229,True,secondary,,False,19.193,Πινδάρου,"LINESTRING (23.3179433 38.3176614, 23.3179448 38.317834)",ΕΟ3,,,
"[385149565, 385149567]",False,residential,,True,138.93900000000002,,"LINESTRING (23.3179433 38.3176614, 23.3171153 38.3176554, 23.3163508 38.3176614)",,,,
138742672,True,secondary,,False,68.578,Πινδάρου,"LINESTRING (23.3179943 38.3225851, 23.3179862 38.3232018)",ΕΟ3,1,,
298317884,True,residential,30,False,34.315,Πελοπίδου,"LINESTRING (23.3187711 38.318315, 23.3187693 38.3180064)",,,,
298469688,False,residential,,True,49.173,,"LINESTRING (23.3163508 38.3176614, 23.3157872 38.3176561)",,1,,
385149566,True,secondary,30,False,40.088,Κάδμου,"LINESTRING (23.3163508 38.3176614, 23.3163349 38.3173011)",,,,
"[385149565, 385149567]",False,residential,,False,138.93900000000002,,"LINESTRING (23.3163508 38.3176614, 23.3171153 38.3176554, 23.3179433 38.3176614)",,,,
298334704,True,residential,,False,72.232,,"LINESTRING (23.3179479 38.3184325, 23.318775 38.318403)",,,,
298335230,True,secondary,20,False,87.649,Πινδάρου,"LINESTRING (23.3179479 38.3184325, 23.3179514 38.3185746, 23.3179571 38.3192207)",ΕΟ3,,,
298329948,True,residential,30,False,105.916,Λουκά Μπέλου,"LINESTRING (23.3171896 38.3235479, 23.3171313 38.3229399, 23.3171295 38.3225971)",,,,
730195683,False,secondary,,False,72.93,Θρεψιάδη,"LINESTRING (23.3171896 38.3235479, 23.3175338 38.3234091, 23.3179255 38.3232369)",ΕΟ3,2,,
730195683,False,secondary,,True,145.966,Θρεψιάδη,"LINESTRING (23.3171896 38.3235479, 23.3169708 38.3236422, 23.3168199 38.3237098, 23.3167596 38.3237508, 23.3167156 38.3237999, 23.3167016 38.3238567, 23.3167139 38.3239116, 23.3167659 38.3239734, 23.3168366 38.32401, 23.3169681 38.3240485, 23.3174211 38.3241179, 23.3174651 38.3241305, 23.3175753 38.3241695)",ΕΟ3,2,,
298334708,True,secondary,30,False,86.315,Κάδμου,"LINESTRING (23.3163618 38.3184376, 23.3163508 38.3176614)",,,,
"[298334706, 298334707]",True,residential,30,False,138.38400000000001,Δίρκης,"LINESTRING (23.3163618 38.3184376, 23.3171136 38.3184429, 23.3179479 38.3184325)",,,,
200337866,False,residential,,False,71.56,Κέβητος,"LINESTRING (23.3171505 38.3220419, 23.3163302 38.3220432)",,,,
298330484,True,residential,30,False,93.85,Επαμεινώνδου,"LINESTRING (23.3171505 38.3220419, 23.3171265 38.3211981)",,,,
298334368,True,residential,,False,75.203,,"LINESTRING (23.319667 38.319224, 23.3196222 38.3198994)",,,,
298334701,False,residential,,True,76.493,,"LINESTRING (23.319667 38.319224, 23.3187902 38.319227)",,,,
102826368,False,residential,20,True,35.768,Αντιγόνης,"LINESTRING (23.3195968 38.3204019, 23.3200068 38.3204008)",οδός Ανιγόνης,1,,
102826370,True,residential,30,False,85.729,,"LINESTRING (23.3195968 38.3204019, 23.3195197 38.3211705)",,,,
298334370,True,residential,30,False,68.526,Αντιγόνης,"LINESTRING (23.3195968 38.3204019, 23.3188113 38.3204041)",,,,
298325353,True,secondary,30,False,37.765,Δημητρίου Βουρδουμπά,"LINESTRING (23.3195197 38.3211705, 23.3199525 38.3211631)",,1,,
298325353,True,secondary,30,False,6.369,Δημητρίου Βουρδουμπά,"LINESTRING (23.3179188 38.3211782, 23.3179918 38.3211776)",,1,,
733241004,True,secondary,,False,86.0,Πινδάρου,"LINESTRING (23.3179188 38.3211782, 23.3179126 38.3204048)",ΕΟ3,1,,
102826369,False,residential,,True,91.088,,"LINESTRING (23.3197532 38.3184906, 23.3205106 38.3185664, 23.3205393 38.3185667, 23.3205616 38.3185602, 23.3205789 38.3185494, 23.3205913 38.3185348, 23.3205972 38.3185035, 23.3205911 38.3183912)",,,,
298334702,True,residential,,False,77.90299999999999,,"LINESTRING (23.3197532 38.3184906, 23.319708 38.318852, 23.3196709 38.3191882)",,,,
298335225,False,residential,,False,96.94300000000001,,"LINESTRING (23.3197532 38.3184906, 23.3200063 38.3177813, 23.320068 38.317655)",,,,
