osmid,oneway,lanes,highway,maxspeed,reversed,length,name,geometry,bridge
529552374,False,2,tertiary,30,False,22.57,,"LINESTRING (25.1597241 35.2385467, 25.1595859 35.238378)",
529552374,False,2,tertiary,30,True,25.981,,"LINESTRING (25.1597241 35.2385467, 25.1599038 35.2387285)",
96711451,False,,tertiary,,True,100.78399999999999,62 ΜΑΡΤΥΡΩΝ,"LINESTRING (25.1597241 35.2385467, 25.1599138 35.2384202, 25.1602203 35.2381666, 25.1605032 35.2379037)",
372814356,True,,tertiary,,False,21.791,Ηρωων Ρολυτεχνειου,"LINESTRING (25.1591595 35.2372317, 25.1589342 35.2371643)",
100309867,False,,residential,,False,139.471,Ευστρατιου Σαβιολη,"LINESTRING (25.1591595 35.2372317, 25.1592476 35.2372366, 25.1593113 35.2372344, 25.1595081 35.2372125, 25.1599815 35.2371249, 25.1602404 35.237057, 25.1604348 35.2370055, 25.1606374 35.2369288)",
529552374,False,2,tertiary,30,True,49.255,,"LINESTRING (25.1591595 35.2372317, 25.159195 35.2372963, 25.1593606 35.237643)",
25148027,False,,unclassified,,False,91.001,,"LINESTRING (25.158747 35.233412, 25.1587772 35.2333573, 25.1588047 35.2332976, 25.1588657 35.2331716, 25.1589797 35.2328813, 25.1590455 35.2327827, 25.1591608 35.2326765)",
523651961,False,,tertiary,,True,63.016999999999996,Βαθυπετρου,"LINESTRING (25.158747 35.233412, 25.1587114 35.2333434, 25.1586476 35.2332787, 25.1584318 35.2331028, 25.1582797 35.2330018)",
1113202775,False,,tertiary,,False,14.379999999999999,Ηρώων Πολυτεχνείου,"LINESTRING (25.158747 35.233412, 25.1587263 35.2334783, 25.1587088 35.2335375)",
27195549,False,,unclassified,,False,47.987,,"LINESTRING (25.1576487 35.236236, 25.1575991 35.2363045, 25.1575642 35.2363844, 25.1575347 35.2364764, 25.1575119 35.2365728, 25.1575018 35.2366462)",
83522378,False,,tertiary,,False,53.25,Ηρώων Πολυτεχνείου,"LINESTRING (25.1576487 35.236236, 25.1576621 35.2363242, 25.157701 35.2364173, 25.1577808 35.2365465, 25.1578691 35.2366745)",
83522378,False,,tertiary,,True,28.764000000000003,Ηρώων Πολυτεχνείου,"LINESTRING (25.1576487 35.236236, 25.1576641 35.2361391, 25.157703 35.2359813)",
523651961,False,,tertiary,,False,32.263,Βαθυπετρου,"LINESTRING (25.1579437 35.2322634, 25.1579848 35.2325516)",
966484208,False,,residential,,False,66.701,,"LINESTRING (25.1579437 35.2322634, 25.1586083 35.2320082)",
523651961,False,,tertiary,,True,97.23499999999999,Βαθυπετρου,"LINESTRING (25.1579437 35.2322634, 25.1578943 35.2321576, 25.1578069 35.2320467, 25.1575754 35.2317921, 25.1574654 35.2316308, 25.157416 35.2315098)",
966638040,False,,residential,,False,60.965,,"LINESTRING (25.1582797 35.2330018, 25.1577298 35.2333162)",
523651961,False,,tertiary,,False,63.016999999999996,Βαθυπετρου,"LINESTRING (25.1582797 35.2330018, 25.1584318 35.2331028, 25.1586476 35.2332787, 25.1587114 35.2333434, 25.158747 35.233412)",
523651961,False,,tertiary,,True,57.834,Βαθυπετρου,"LINESTRING (25.1582797 35.2330018, 25.1581243 35.2328627, 25.1580476 35.232718, 25.1579848 35.2325516)",
529552379,False,,tertiary,,False,35.322,Βαθυπετρου,"LINESTRING (25.1575446 35.2312104, 25.1574736 35.2313526, 25.157416 35.2315098)",
"[372798069, 25805806]",False,,tertiary,,False,66.31099999999999,"['Ρλατεια Μουρελο', 'Πατουχογιωργη']","LINESTRING (25.1591192 35.2341953, 25.1592882 35.234186, 25.1594827 35.2341838, 25.1596409 35.2341761, 25.159771 35.2341657, 25.1598092 35.2341646, 25.1598479 35.2341665)",
83522389,True,1,tertiary,30,False,22.819,Γεωργίου Καπετανάκη,"LINESTRING (25.1591192 35.2341953, 25.1591381 35.2342261, 25.1591608 35.2342999, 25.1591825 35.2343929)",
96711452,False,,tertiary,,False,153.177,Grigori Lambraki,"LINESTRING (25.1599121 35.2341939, 25.159952 35.2342035, 25.1599993 35.2342065, 25.160066 35.2342054, 25.16018 35.2341728, 25.1602726 35.2341608, 25.1603557 35.234158, 25.1604164 35.2341673, 25.1604851 35.2341706, 25.1605468 35.2341646, 25.1606058 35.2341501, 25.1606353 35.2341367, 25.1607332 35.2340939, 25.1607906 35.2340726, 25.1608935 35.2340551, 25.160986 35.2340496, 25.1612194 35.2340479, 25.1613689 35.2340474, 25.161448 35.2340414, 25.1615547 35.2340173)",
372797262,False,,residential,,False,34.092,Τσικριτζη Δημητριου,"LINESTRING (25.1599121 35.2341939, 25.1598458 35.2342374, 25.159807 35.2342562, 25.159766 35.2342695, 25.1597365 35.2342769, 25.1596842 35.234287, 25.1595678 35.2342906)",
372798069,False,,tertiary,,True,6.6450000000000005,Ρλατεια Μουρελο,"LINESTRING (25.1599121 35.2341939, 25.1598942 35.2341849, 25.1598734 35.2341729, 25.1598479 35.2341665)",
372797262,False,,residential,,True,36.797,Τσικριτζη Δημητριου,"LINESTRING (25.1591825 35.2343929, 25.1595678 35.2342906)",
"[523651960, 83522389]",True,1,tertiary,30,False,92.216,Γεωργίου Καπετανάκη,"LINESTRING (25.1591825 35.2343929, 25.1592077 35.2344724, 25.1592175 35.234551, 25.1592188 35.2345995, 25.1592084 35.2346586, 25.159191 35.2347246, 25.1591692 35.234781, 25.1591407 35.2348312, 25.1591128 35.2348646, 25.159075 35.2349015, 25.1590267 35.2349273, 25.1589704 35.2349527, 25.1589241 35.2349722, 25.1588909 35.2349952, 25.1588745 35.235016, 25.1588547 35.2350472, 25.1588316 35.2350954)",
378748199,False,,residential,,False,78.144,Εμμαν Αρνογιαννακη,"LINESTRING (25.1589596 35.2366643, 25.1581432 35.2368862)",
523651960,True,1,tertiary,30,False,37.329,Γεωργίου Καπετανάκη,"LINESTRING (25.1589596 35.2366643, 25.1590012 35.2368593, 25.1590495 35.2369913)",
372796629,False,,residential,,True,37.179,Αινικολιωτη,"LINESTRING (25.1589797 35.2356595, 25.1591219 35.2355629, 25.1592352 35.2354895, 25.1592889 35.2354413)",
523651960,True,1,tertiary,30,False,71.09100000000001,Γεωργίου Καπετανάκη,"LINESTRING (25.1589797 35.2356595, 25.1589797 35.2357088, 25.1589757 35.2357688, 25.1589677 35.2358877, 25.1589523 35.2360744, 25.1589395 35.2362979)",
27195549,False,,unclassified,,True,13.075000000000001,,"LINESTRING (25.1568662 35.2388819, 25.1569121 35.238857, 25.1569553 35.2388317, 25.1569829 35.2388132)",
35787065,False,,unclassified,,False,28.637,,"LINESTRING (25.1568662 35.2388819, 25.156644 35.2389257, 25.1565637 35.2389525)",
27195549,False,,unclassified,,False,13.075,,"LINESTRING (25.1569829 35.2388132, 25.1569553 35.2388317, 25.1569121 35.238857, 25.1568662 35.2388819)",
27195549,False,,unclassified,,True,159.82,,"LINESTRING (25.1569829 35.2388132, 25.1570016 35.2387104, 25.1570378 35.2385538, 25.1570687 35.238378, 25.1570774 35.2382652, 25.15706 35.2381825, 25.1570063 35.2380593, 25.1569667 35.2379629, 25.1569433 35.2379026, 25.1569372 35.2378424, 25.1569453 35.2377827, 25.1569681 35.2377148, 25.157003 35.2376414, 25.15711 35.2374242)",
