osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access
123407402,True,2,Βασιλέως Κωνσταντίνου,secondary,GR:urban,False,89.089,,"LINESTRING (26.532377 41.5031824, 26.5313079 41.5032114)",
977344202,False,,Κωνσταντινουπόλεως,primary,50,True,10.861,ΕΟ51,"LINESTRING (26.532377 41.5031824, 26.5323692 41.5030849)",
977344202,False,,Κωνσταντινουπόλεως,primary,50,False,106.456,ΕΟ51,"LINESTRING (26.532377 41.5031824, 26.5323891 41.5034016, 26.5324003 41.50361, 26.5324209 41.5041392)",
123407324,True,,Λοχαγού Διαμαντή,residential,,False,85.42,,"LINESTRING (26.5353451 41.5010635, 26.5343202 41.5010941)",
123407327,True,2,Ορέστου,residential,,False,105.602,,"LINESTRING (26.5353451 41.5010635, 26.5354034 41.5020122)",
978933219,True,2,Κολοκοτρώνη,residential,50,False,85.6,,"LINESTRING (26.52742 41.5065922, 26.5284473 41.5065646)",
978933223,True,,Εθνομαρτύρων,residential,,False,75.4,,"LINESTRING (26.52742 41.5065922, 26.5273858 41.5059146)",
978319003,True,,Ανδριανουπόλεως,residential,,False,77.151,,"LINESTRING (26.5304884 41.5064882, 26.5305213 41.5071816)",
978933219,True,2,Κολοκοτρώνη,residential,50,False,82.196,,"LINESTRING (26.5304884 41.5064882, 26.5314748 41.5064607)",
978318999,True,,Πατριάρχου Γρηγορίου,residential,50,False,77.175,,"LINESTRING (26.5284473 41.5065646, 26.5284722 41.5072584)",
978933219,True,2,Κολοκοτρώνη,residential,50,False,83.546,,"LINESTRING (26.5284473 41.5065646, 26.5294491 41.5065236)",
978933219,True,2,Κολοκοτρώνη,residential,50,False,86.634,,"LINESTRING (26.5294491 41.5065236, 26.5304884 41.5064882)",
978933227,True,,Αναγεννήσεως,residential,50,False,74.255,,"LINESTRING (26.5294491 41.5065236, 26.5294149 41.5058563)",
978318998,True,,Ραιδεστού,residential,,False,85.284,,"LINESTRING (26.5290448 41.4985491, 26.5280214 41.4985761)",
978318998,True,,Ραιδεστού,residential,,False,86.07,,"LINESTRING (26.5280214 41.4985761, 26.526989 41.4986115)",
978318999,True,,Πατριάρχου Γρηγορίου,residential,50,False,77.186,,"LINESTRING (26.5280214 41.4985761, 26.5280583 41.4992697)",
447990193,False,,Ευριπίδου Ζιγκμπουργκ,residential,,True,75.339,,"LINESTRING (26.5342059 41.4990682, 26.534242 41.4997452)",
978319007,True,,Πανταζίδου,residential,,False,75.031,,"LINESTRING (26.5332219 41.4991048, 26.5332554 41.4997791)",
978931866,True,,Ορφέως,residential,,False,82.05,,"LINESTRING (26.5332219 41.4991048, 26.5342059 41.4990682)",
978931866,True,,Ορφέως,residential,,False,42.747,,"LINESTRING (26.5321394 41.4991467, 26.532652 41.4991269)",
978931873,False,,Κωνσταντινουπόλεως,primary,50,False,74.756,ΕΟ51,"LINESTRING (26.5321394 41.4991467, 26.5321773 41.4998184)",
978931873,False,,Κωνσταντινουπόλεως,primary,50,True,28.436,ΕΟ51,"LINESTRING (26.5321394 41.4991467, 26.532125 41.4988912)",
978931866,True,,Ορφέως,residential,,False,45.614,,"LINESTRING (26.5311037 41.4991821, 26.5316509 41.4991645)",
978319003,True,,Ανδριανουπόλεως,residential,,False,74.933,,"LINESTRING (26.5301115 41.4992074, 26.5301457 41.4998808)",
978931866,True,,Ορφέως,residential,,False,82.68,,"LINESTRING (26.5301115 41.4992074, 26.5311037 41.4991821)",
978931866,True,,Ορφέως,residential,,False,86.225,,"LINESTRING (26.529077 41.4992388, 26.5301115 41.4992074)",
978933227,True,,Αναγεννήσεως,residential,50,False,76.738,,"LINESTRING (26.529077 41.4992388, 26.5290448 41.4985491)",
978318999,True,,Πατριάρχου Γρηγορίου,residential,50,False,75.105,,"LINESTRING (26.5280583 41.4992697, 26.5280942 41.4999446)",
978931866,True,,Ορφέως,residential,,False,84.908,,"LINESTRING (26.5280583 41.4992697, 26.529077 41.4992388)",
620710713,True,,Εθνομαρτύρων,residential,,False,77.106,,"LINESTRING (26.5270285 41.4993043, 26.526989 41.4986115)",
978931866,True,,Ορφέως,residential,,False,85.849,,"LINESTRING (26.5270285 41.4993043, 26.5280583 41.4992697)",
123407350,False,,Πευκώνα,residential,,True,75.559,,"LINESTRING (26.5364965 41.4996726, 26.5365847 41.5003489)",
449418853,False,,40 Εκκλησιών,residential,,False,45.086,,"LINESTRING (26.5364965 41.4996726, 26.5359553 41.4996828)",
123407345,False,,Πατρ.Ιωάσαφ Β΄,residential,,False,76.084,,"LINESTRING (26.5359553 41.4996828, 26.5360103 41.5003658)",
449418853,False,,40 Εκκλησιών,residential,,False,56.041,,"LINESTRING (26.5359553 41.4996828, 26.5352833 41.4997091)",
449418853,False,,40 Εκκλησιών,residential,,True,45.086,,"LINESTRING (26.5359553 41.4996828, 26.5364965 41.4996726)",
123407327,True,2,Ορέστου,residential,,False,75.599,,"LINESTRING (26.5352833 41.4997091, 26.5353137 41.5003886)",
449418853,False,,40 Εκκλησιών,residential,,False,86.813,,"LINESTRING (26.5352833 41.4997091, 26.534242 41.4997452)",
449418853,False,,40 Εκκλησιών,residential,,True,56.041,,"LINESTRING (26.5352833 41.4997091, 26.5359553 41.4996828)",
