osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,maxspeed,junction,access
95111384,residential,False,False,59.154,,"LINESTRING (21.4434807 37.6751916, 21.4432217 37.6756825)",,,,,
95111356,residential,True,False,26.002,Κιλκίς,"LINESTRING (21.4436002 37.6726654, 21.4434917 37.6724479)",,,,,
95111368,residential,True,False,89.22999999999999,Γορτυνίας,"LINESTRING (21.4436002 37.6726654, 21.4430442 37.6727209, 21.4425942 37.6727649)",,,,,
233053185,primary,True,False,57.497,Κιλκίς,"LINESTRING (21.4436002 37.6726654, 21.44362 37.6730076, 21.443603 37.673112, 21.4435708 37.6731764)",1,ΕΟ9,,,
326211591,primary,True,False,5.98,,"LINESTRING (21.4447117 37.6707894, 21.4447153 37.6708431)",1,ΕΟ9,,,
95034461,residential,False,False,62.961,,"LINESTRING (21.4335903 37.6700969, 21.4335725 37.6704175, 21.4335707 37.6706628)",,,,,
232893355,tertiary,False,True,30.735999999999997,Ρηγα Φεραιου,"LINESTRING (21.4335903 37.6700969, 21.433861 37.6700865, 21.4339391 37.6700835)",2,,,,
27890793,residential,False,True,68.733,,"LINESTRING (21.4366363 37.6697999, 21.4366685 37.6698653, 21.43692 37.6703758)",,,,,
121502416,residential,False,True,62.736000000000004,Φωκίωνος,"LINESTRING (21.4366363 37.6697999, 21.4366203 37.6697652, 21.436607 37.6697364, 21.4364787 37.6692503)",2,,30,,
233082376,tertiary,False,False,41.53,Ρηγα Φεραιου,"LINESTRING (21.4366363 37.6697999, 21.4363306 37.6698857, 21.4361884 37.6699167)",2,,,,
233082376,tertiary,False,True,104.574,Ρηγα Φεραιου,"LINESTRING (21.4366363 37.6697999, 21.4372717 37.6696142, 21.4377273 37.6694314)",2,,,,
233082376,tertiary,False,True,12.674,Ρηγα Φεραιου,"LINESTRING (21.4377273 37.6694314, 21.4378586 37.6693846)",2,,,,
95111397,residential,True,False,61.532000000000004,Δερβενακίων,"LINESTRING (21.4377273 37.6694314, 21.4377535 37.6694837, 21.4379847 37.6699459)",,,,,
233082376,tertiary,False,False,104.574,Ρηγα Φεραιου,"LINESTRING (21.4377273 37.6694314, 21.4372717 37.6696142, 21.4366363 37.6697999)",2,,,,
121502423,residential,True,False,33.163,,"LINESTRING (21.4405368 37.668235, 21.4408587 37.66808)",1,,50,,
233082376,tertiary,False,False,95.915,Ρηγα Φεραιου,"LINESTRING (21.4405368 37.668235, 21.4399244 37.6685099, 21.4398368 37.6685492, 21.4395913 37.6686638)",2,,,,
