osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,maxspeed,access
175112663,residential,False,False,76.443,,"LINESTRING (17.2236244 51.7193208, 17.2235471 51.718635)",,,,
95153635,residential,False,False,310.668,Mikołaja Kopernika,"LINESTRING (17.2236244 51.7193208, 17.222043 51.7194543, 17.221403 51.7194974, 17.2191421 51.7196236)",,,,
"[172889012, 229797855]",residential,False,True,185.56500000000003,Dworcowa,"LINESTRING (17.2236244 51.7193208, 17.2236859 51.7197064, 17.2244478 51.7196836, 17.2255494 51.7196755, 17.2257532 51.7196728)",,,,
95153503,primary,False,True,24.042,Rynek Marszałka Józefa Piłsudskiego,"LINESTRING (17.225393 51.7132319, 17.2255256 51.7134319)",2,36,50,
340125915,primary,False,False,77.864,Rawicka,"LINESTRING (17.225393 51.7132319, 17.224953 51.7125869)",2,36,,
389991476,tertiary,False,True,41.162,Baszkowska,"LINESTRING (17.225393 51.7132319, 17.2259602 51.7131156)",,,,
95153590,primary,False,False,5.517,Józefa Piłsudskiego,"LINESTRING (17.2266366 51.7149415, 17.2266345 51.7148919)",2,36,50,
95153684,residential,False,True,44.465,Farna,"LINESTRING (17.2266366 51.7149415, 17.2259932 51.7149731)",,,,
94944567,primary,False,True,63.961,Wolności,"LINESTRING (17.2266366 51.7149415, 17.2266488 51.7150928, 17.2266829 51.715516)",2,36,50,
95153557,residential,False,False,60.012,Boruty,"LINESTRING (17.2294656 51.7156226, 17.2294657 51.7156915, 17.2294666 51.7161623)",,,,
211147987,primary,False,False,99.778,Krotoszyńska,"LINESTRING (17.2294656 51.7156226, 17.2296336 51.7156339, 17.2298174 51.7156606, 17.2298606 51.7156669, 17.2300695 51.7157141, 17.230347 51.7157807, 17.2306275 51.7158481, 17.2308384 51.7158973)",,36,50,
211147987,primary,False,True,124.291,Krotoszyńska,"LINESTRING (17.2294656 51.7156226, 17.2291761 51.715617, 17.2289718 51.7156219, 17.2286653 51.7156388, 17.2276678 51.7156997)",,36,50,
340125915,primary,False,True,77.864,Rawicka,"LINESTRING (17.224953 51.7125869, 17.225393 51.7132319)",2,36,,
340125916,primary,False,False,67.749,Rawicka,"LINESTRING (17.224953 51.7125869, 17.2249333 51.7125629, 17.2248918 51.7125379, 17.2248155 51.7125002, 17.2247235 51.7124694, 17.2240893 51.7123177)",2,36,,
