osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,access,bridge
"[34393129, 324563986]",2,Cegielniana,unclassified,50,False,False,65.40700000000001,"LINESTRING (18.5454106 50.0997945, 18.5453487 50.0998012, 18.5453107 50.0998068, 18.5452841 50.0998119, 18.545258 50.0998179, 18.5452335 50.0998249, 18.5452165 50.0998306, 18.5452064 50.0998347, 18.5451987 50.0998382, 18.5451912 50.099842, 18.5451815 50.0998463, 18.5451642 50.0998527, 18.5451417 50.0998604, 18.5451176 50.0998671, 18.5450772 50.0998739, 18.5450285 50.0998789, 18.5449807 50.0998806, 18.5445204 50.0998797)",,,,
523690374,2,Gliwicka,tertiary,50,False,False,18.68,"LINESTRING (18.5454106 50.0997945, 18.545437 50.0998793, 18.5454505 50.0999191, 18.5454644 50.0999589)",,,,
"[291757770, 523690373, 1031927623]",2,Gliwicka,tertiary,50,False,True,148.27999999999997,"LINESTRING (18.5454106 50.0997945, 18.545406 50.0997795, 18.5453678 50.099638, 18.5453481 50.0995702, 18.5453303 50.0995065, 18.5453226 50.0994836, 18.5453128 50.0994625, 18.5453033 50.0994441, 18.5452949 50.0994289, 18.5452783 50.0994044, 18.5452596 50.099378, 18.5451955 50.0992968, 18.5450839 50.0991537, 18.545029 50.0990846, 18.5449714 50.0990099, 18.5449576 50.0989899, 18.5449424 50.098968, 18.5449274 50.0989402, 18.5448882 50.0988652, 18.5448558 50.0987953, 18.5448404 50.0987547, 18.5448279 50.0987183, 18.5448183 50.0986843, 18.5448098 50.0986476, 18.5448041 50.0986166, 18.5448002 50.0985877, 18.5447945 50.0985337)",,,,
1024812137,1,Rondo Topolczany,tertiary,50,True,False,8.207,"LINESTRING (18.5370071 50.0954007, 18.5369962 50.0954152, 18.5369817 50.0954284, 18.5369642 50.0954399, 18.5369489 50.0954476, 18.5369316 50.0954544)",roundabout,,,
34393130,1,Franciszka Rybnickiego,unclassified,50,True,False,131.124,"LINESTRING (18.5425044 50.0998721, 18.5425048 50.099848, 18.5425053 50.0998216, 18.542506 50.0997811, 18.5425063 50.0997646, 18.5424702 50.0995679, 18.5424324 50.0993482, 18.5424299 50.0993338, 18.5423979 50.0991484, 18.5423507 50.0988811, 18.5423213 50.0986995)",,5,,
324563986,,Cegielniana,unclassified,50,False,True,143.803,"LINESTRING (18.5425044 50.0998721, 18.5425768 50.0998724, 18.5426689 50.0998727, 18.5427128 50.0998728, 18.5430462 50.0998719, 18.5431935 50.0998754, 18.5436849 50.0998773, 18.5442544 50.0998787, 18.5443379 50.0998787, 18.5445204 50.0998797)",,,,
358423083,,Cegielniana,unclassified,50,False,False,125.68,"LINESTRING (18.5425044 50.0998721, 18.5423473 50.0998707, 18.5423175 50.0998704, 18.5419571 50.0998688, 18.5418722 50.0998683, 18.5416543 50.0998679, 18.5415926 50.0998677, 18.5415392 50.0998676, 18.5414319 50.0998673, 18.5410726 50.0998658, 18.5409593 50.0998659, 18.5409128 50.099866, 18.5408636 50.0998654, 18.5408239 50.0998637, 18.5407869 50.0998592, 18.5407445 50.0998523)",,,,
34393133,1,Księdza doktora Franciszka Brudnioka,unclassified,50,True,False,177.375,"LINESTRING (18.5423213 50.0986995, 18.5423554 50.0986967, 18.5423883 50.0986939, 18.5427248 50.0986686, 18.5427908 50.0986642, 18.5429761 50.098651, 18.5435305 50.0986154, 18.543992 50.0985845, 18.5442068 50.0985707, 18.544614 50.0985444, 18.5447372 50.0985368, 18.5447945 50.0985337)",,5.5,,
1153017806,2,Franciszka Rybnickiego,unclassified,50,False,False,77.533,"LINESTRING (18.5423213 50.0986995, 18.5423035 50.0986529, 18.5422975 50.0986185, 18.5422152 50.0981626, 18.5422064 50.0981151, 18.5421815 50.0980084)",,5.8,,
"[34393131, 1153017807]",2,Franciszka Rybnickiego,unclassified,50,False,False,108.78699999999999,"LINESTRING (18.5421815 50.0980084, 18.5421666 50.0979656, 18.54215 50.0979358, 18.5421325 50.0979073, 18.5420704 50.0978232, 18.5420196 50.0977591, 18.5417037 50.0973677, 18.5416777 50.0973443, 18.5416502 50.0973283, 18.5416315 50.0973218, 18.5416008 50.097314, 18.5415669 50.0973095, 18.5415306 50.097308, 18.5414052 50.0973083, 18.5413248 50.0973211)",,5.8,,
"[34566920, 324563987]","['1', '2']",Cmentarna,unclassified,50,False,False,134.05199999999996,"LINESTRING (18.5421815 50.0980084, 18.5421336 50.0980192, 18.5421077 50.0980272, 18.5420765 50.0980406, 18.5420598 50.0980495, 18.5420328 50.0980639, 18.5418712 50.0981525, 18.5416681 50.0982611, 18.5415482 50.0983259, 18.5415046 50.0983506, 18.5414757 50.0983683, 18.5414424 50.0983892, 18.5413973 50.0984256, 18.5413643 50.0984621, 18.5412921 50.0986245, 18.5412396 50.0987418, 18.5412284 50.0987675, 18.5411425 50.0989476)",,,,
236207413,1,Józefa Poloka,living_street,,False,False,107.76700000000001,"LINESTRING (18.5421815 50.0980084, 18.5422237 50.0979992, 18.5423406 50.0979767, 18.5424722 50.0979473, 18.5426093 50.0979416, 18.5427072 50.0979299, 18.5428434 50.0978709, 18.5430497 50.0977832, 18.5431908 50.0977257, 18.5433142 50.0976871, 18.5434155 50.0976805, 18.5434863 50.0976858, 18.5435633 50.0976956)",,,,
1153017806,2,Franciszka Rybnickiego,unclassified,50,False,True,77.533,"LINESTRING (18.5421815 50.0980084, 18.5422064 50.0981151, 18.5422152 50.0981626, 18.5422975 50.0986185, 18.5423035 50.0986529, 18.5423213 50.0986995)",,5.8,,
319169224,1,Dworek,tertiary,50,True,False,7.396,"LINESTRING (18.5369316 50.0954544, 18.5368995 50.0954995, 18.53689 50.0955153)",,,,
1024812136,1,Rondo Topolczany,tertiary,50,True,False,10.273,"LINESTRING (18.5369316 50.0954544, 18.5368969 50.0954624, 18.5368585 50.0954648, 18.5368227 50.0954621, 18.536792 50.0954552)",roundabout,,,
35277863,2,Dworek,tertiary,50,False,True,29.912,"LINESTRING (18.5363029 50.0966425, 18.5362598 50.0967026, 18.5362168 50.0967674, 18.5361358 50.0968892)",,,,
209673797,,Dworek,living_street,,False,True,77.77999999999999,"LINESTRING (18.5363029 50.0966425, 18.5362567 50.0966257, 18.5361746 50.0966115, 18.5357497 50.0965429, 18.5355663 50.0965074, 18.5353352 50.0964504, 18.5352652 50.0964332)",,,,
430205536,2,Dworek,tertiary,50,False,False,26.164,"LINESTRING (18.5363029 50.0966425, 18.5363463 50.0965781, 18.5363905 50.0965082, 18.5364408 50.0964245)",,,,
430205549,2,,unclassified,50,False,False,22.805,"LINESTRING (18.5363029 50.0966425, 18.5363491 50.0966556, 18.5363856 50.0966619, 18.5364477 50.0966711, 18.5366111 50.0966952)",,,,
