osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed,bridge
389629947,3,359,secondary,False,False,16.651,"LINESTRING (16.9150823 51.4704051, 16.9150766 51.4702554)",,,
84958769,3,359,secondary,False,True,18.616999999999997,"LINESTRING (16.9150823 51.4704051, 16.9150867 51.4705322, 16.9150871 51.4705725)",,,
277897680,,,unclassified,False,True,21.563,"LINESTRING (16.9150823 51.4704051, 16.9152965 51.4703694, 16.915384 51.4703575)",,,
1107318619,,,residential,False,False,24.191,"LINESTRING (16.9150823 51.4704051, 16.9148231 51.4704425, 16.9147412 51.4704516)",Sportowa,50,
95017573,,,tertiary,True,False,10.571,"LINESTRING (16.9075814 51.4704055, 16.9077305 51.4704258)",Plac Wolności,40,
128180482,2,,tertiary,False,True,84.089,"LINESTRING (16.9075814 51.4704055, 16.9075629 51.4703238, 16.9075318 51.4702495, 16.9073477 51.4698862, 16.9072462 51.4696797)",Wrocławska,40,
204184658,,,residential,False,True,8.284,"LINESTRING (16.907167 51.4727299, 16.9072775 51.4727014)",Lipowa,,
95017590,,,residential,False,True,108.741,"LINESTRING (16.907167 51.4727299, 16.9072021 51.4727917, 16.9073209 51.4730125, 16.9074068 51.4731474, 16.9075268 51.4732516, 16.9078116 51.4734494, 16.9078583 51.4735088, 16.9078885 51.4735807)",Rybacka,,
"[204184659, 655184084]",,,residential,False,False,95.91699999999999,"LINESTRING (16.907167 51.4727299, 16.9070528 51.4727603, 16.9064072 51.4728968, 16.906039 51.4729969, 16.905987 51.473011, 16.9058978 51.4730614)",Lipowa,,
99196820,,,residential,False,False,29.851999999999997,"LINESTRING (16.9088917 51.4734416, 16.9089813 51.4734117, 16.9092234 51.4733735, 16.9093011 51.4733627)",,,
570499972,,,tertiary,True,False,117.394,"LINESTRING (16.9088917 51.4734416, 16.9087717 51.4733514, 16.9086192 51.4731888, 16.9084837 51.4730516, 16.908374 51.4729059, 16.9082147 51.4725495, 16.9081844 51.4724943)",Świętego Jana Pawła II,40,
95017481,,,residential,False,True,63.302,"LINESTRING (16.9078892 51.4743165, 16.9085673 51.474319, 16.908803 51.4743244)",Kolejowa,,
95017590,,,residential,False,False,81.826,"LINESTRING (16.9078892 51.4743165, 16.9078933 51.47424, 16.9078853 51.4736795, 16.9078885 51.4735807)",Rybacka,,
204184657,,,residential,False,False,108.79,"LINESTRING (16.9078892 51.4743165, 16.9067971 51.4743109, 16.9063185 51.474308)",Kolejowa,,
95017485,,,residential,False,False,55.87,"LINESTRING (16.9128939 51.4723743, 16.9130355 51.4723751, 16.9137005 51.4723791)",,,
