osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,tunnel,maxspeed
"[25973500, 101895404, 25973501]",541,Działdowska,secondary,False,False,111.357,yes,"LINESTRING (19.8264253 53.262526, 19.8262458 53.2625061, 19.8258964 53.2624757, 19.8255683 53.2624689, 19.8250869 53.2624758, 19.8250598 53.2624762, 19.8248627 53.2624723, 19.8247583 53.2624702)",,,
360135943,,Piaski,tertiary,False,True,120.72500000000001,,"LINESTRING (19.8264253 53.262526, 19.8263411 53.2626799, 19.8260608 53.2632849, 19.8259181 53.2635683)",,,
467631117,541,Działdowska,secondary,False,True,92.734,,"LINESTRING (19.8264253 53.262526, 19.8267308 53.2625607, 19.8269725 53.2625833, 19.8272102 53.2625946, 19.8275429 53.2626007, 19.8278102 53.2626041)",2,,
13756855,541,Nowy Rynek,secondary,False,False,29.950000000000003,,"LINESTRING (19.8236575 53.2624329, 19.8236147 53.2624116, 19.8235731 53.2623739, 19.8235288 53.2623224, 19.8234508 53.2621979)",,,
25973501,541,Działdowska,secondary,False,True,73.523,,"LINESTRING (19.8236575 53.2624329, 19.8236931 53.2624418, 19.8237526 53.2624482, 19.8238363 53.26245, 19.8247583 53.2624702)",,,
39806953,,Kościelna,tertiary,False,True,89.99799999999999,,"LINESTRING (19.8236575 53.2624329, 19.8235915 53.2624759, 19.8235464 53.2625072, 19.8234816 53.2625413, 19.8233292 53.2626067, 19.8231701 53.262649, 19.8227462 53.2627318, 19.8224696 53.2627888)",,,
25937617,,Plac generała Józefa Hallera,tertiary,True,False,26.104,,"LINESTRING (19.8215216 53.26316, 19.8215015 53.2630496, 19.8214555 53.262929)",,,
25937626,,Krótka,tertiary,False,False,53.777,,"LINESTRING (19.8215216 53.26316, 19.8213417 53.2632309, 19.8211053 53.2632911, 19.8210154 53.2633119, 19.8209309 53.2633424, 19.8208732 53.2633736, 19.8208396 53.2634057)",,,
25937617,,Plac generała Józefa Hallera,tertiary,True,False,69.23,,"LINESTRING (19.8214555 53.262929, 19.8219925 53.2628513, 19.8224696 53.2627888)",,,
26006731,,Podgórna,residential,True,False,60.891999999999996,,"LINESTRING (19.8214555 53.262929, 19.8213579 53.2629188, 19.8212999 53.262903, 19.8212676 53.2628772, 19.8212361 53.2628326, 19.8211642 53.2627137, 19.8210686 53.2625332, 19.8210304 53.2624845)",,,
