osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction,ref
165601343,2,Poznańska,tertiary,40,False,False,59.12,"LINESTRING (16.8548813 52.2852724, 16.8544713 52.2848036)",,,
165601343,2,Poznańska,tertiary,40,False,True,92.189,"LINESTRING (16.8548813 52.2852724, 16.8552373 52.2856728, 16.8554556 52.2859187, 16.8555395 52.2859968)",,,
186050884,,Akacjowa,living_street,,False,False,140.688,"LINESTRING (16.8548813 52.2852724, 16.8547808 52.2853127, 16.8547086 52.2853424, 16.8531518 52.2859663)",,,
165601343,2,Poznańska,tertiary,40,False,True,88.306,"LINESTRING (16.853853 52.2841053, 16.8540137 52.2842868, 16.8544713 52.2848036)",,,
165601343,2,Poznańska,tertiary,40,False,True,59.12,"LINESTRING (16.8544713 52.2848036, 16.8548813 52.2852724)",,,
165601343,2,Poznańska,tertiary,40,False,False,88.306,"LINESTRING (16.8544713 52.2848036, 16.8540137 52.2842868, 16.853853 52.2841053)",,,
172419758,2,Kościelna,residential,,False,True,148.456,"LINESTRING (16.8591284 52.2850364, 16.8587368 52.2850952, 16.8586825 52.2851032, 16.8577769 52.2852402, 16.8576796 52.2852549, 16.857549 52.2852759, 16.8574196 52.2853004, 16.8574046 52.2853034, 16.8573132 52.2853217, 16.8572197 52.2853426, 16.8571606 52.2853601, 16.8570982 52.2853827, 16.8570413 52.2854078)",,,
175150955,,Podleśna,residential,50,False,True,317.901,"LINESTRING (16.864805 52.2914523, 16.8647731 52.2913916, 16.8647474 52.2913303, 16.8647234 52.291274, 16.8646242 52.2910571, 16.8646059 52.2910251, 16.8645913 52.2910005, 16.8645679 52.2909565, 16.8645414 52.2908956, 16.8645387 52.2908865, 16.8644374 52.2905538, 16.863984 52.289123, 16.8638876 52.2887946, 16.8638414 52.2886571)",destination,,
175332191,,Jasna,living_street,,False,True,132.619,"LINESTRING (16.864805 52.2914523, 16.8647521 52.291473, 16.8644259 52.2916017, 16.8632251 52.2921047, 16.863189 52.2921196)",,,
165601343,2,Poznańska,tertiary,40,False,False,92.189,"LINESTRING (16.8555395 52.2859968, 16.8554556 52.2859187, 16.8552373 52.2856728, 16.8548813 52.2852724)",,,
572435840,1,Rondo księdza Kazimierza Pielatowskiego,tertiary,,True,False,18.902,"LINESTRING (16.8555395 52.2859968, 16.8555963 52.2859788, 16.8556241 52.2859754, 16.8556805 52.2859752, 16.8557341 52.2859859, 16.8557672 52.2860001, 16.8557901 52.2860141)",,roundabout,
172419758,2,Kościelna,residential,,False,False,69.44200000000001,"LINESTRING (16.8557901 52.2860141, 16.8559693 52.2859319, 16.8563118 52.2857713, 16.8564831 52.2856883, 16.8565992 52.2856333)",,,
572435840,1,Rondo księdza Kazimierza Pielatowskiego,tertiary,,True,False,23.886000000000003,"LINESTRING (16.8557901 52.2860141, 16.855804 52.2860268, 16.8558167 52.286042, 16.8558282 52.2860667, 16.8558274 52.2861003, 16.8558097 52.2861322, 16.855777 52.2861591, 16.85574 52.2861765, 16.8556991 52.2861877)",,roundabout,
165601355,1,Rondo księdza Kazimierza Pielatowskiego,tertiary,,True,False,16.887999999999998,"LINESTRING (16.8554994 52.2861369, 16.8554828 52.2861061, 16.8554788 52.2860707, 16.8554938 52.2860365, 16.8555395 52.2859968)",,roundabout,
165601355,1,Rondo księdza Kazimierza Pielatowskiego,tertiary,,True,False,16.049,"LINESTRING (16.8556991 52.2861877, 16.8556745 52.2861918, 16.8556448 52.2861936, 16.8556062 52.2861904, 16.8555697 52.286182, 16.8555311 52.2861628, 16.8554994 52.2861369)",,roundabout,
219742425,2,Poznańska,tertiary,40,False,True,70.316,"LINESTRING (16.8556991 52.2861877, 16.8557762 52.2862792, 16.8559371 52.2864613, 16.8559927 52.2865243, 16.8561439 52.2866925, 16.8561903 52.2867441)",yes,,
172419758,2,Kościelna,residential,,False,False,148.45600000000002,"LINESTRING (16.8570413 52.2854078, 16.8570982 52.2853827, 16.8571606 52.2853601, 16.8572197 52.2853426, 16.8573132 52.2853217, 16.8574046 52.2853034, 16.8574196 52.2853004, 16.857549 52.2852759, 16.8576796 52.2852549, 16.8577769 52.2852402, 16.8586825 52.2851032, 16.8587368 52.2850952, 16.8591284 52.2850364)",,,
172419758,2,Kościelna,residential,,False,True,10.641,"LINESTRING (16.8570413 52.2854078, 16.8569832 52.2854386, 16.856924 52.2854711)",,,
"[389973843, 175146223]",2,"['Słoneczna', 'Podleśna']",residential,"['20', '50']",False,"[False, True]",606.5319999999999,"LINESTRING (16.8574945 52.288188, 16.8575722 52.2881558, 16.8576237 52.2881342, 16.8588806 52.2876111, 16.8606908 52.2868705, 16.8630092 52.2859127, 16.8630828 52.2861886, 16.8633894 52.2872216, 16.8634051 52.287277)",yes,,
