osmid,oneway,name,highway,reversed,length,geometry,bridge,width,lanes,maxspeed,junction
38155066,True,Romualda Traugutta,residential,False,67.901,"LINESTRING (15.5365855 51.5668959, 15.5366681 51.5665205, 15.5366947 51.5664127, 15.536716 51.5663637, 15.5367992 51.5663137)",,,,,
"[38155064, 177869002, 177869003]",False,Romualda Traugutta,residential,True,157.5,"LINESTRING (15.5365855 51.5668959, 15.5364429 51.567046, 15.5363071 51.5671706, 15.5361629 51.5672777, 15.5359525 51.5674062, 15.5359264 51.5674283, 15.5352199 51.5680254)",yes,,,,
177869005,False,Basztowa,tertiary,True,86.19399999999999,"LINESTRING (15.5365855 51.5668959, 15.5364738 51.5668593, 15.5364388 51.5668478, 15.5363633 51.5668176, 15.5362986 51.5667774, 15.5362699 51.5667551, 15.5361932 51.5666954, 15.5360394 51.5665497, 15.5359884 51.5664991, 15.5358771 51.5663887, 15.5357998 51.5663124)",,,,,
253841278,False,Bronka Kozaka,tertiary,False,96.943,"LINESTRING (15.5365855 51.5668959, 15.5367715 51.5669132, 15.536948 51.5669297, 15.5374561 51.5669644, 15.5376451 51.566973, 15.5376994 51.5669735, 15.5378769 51.566975, 15.5379804 51.5669758)",,,,,
"[38155040, 177868994, 177868995, 177868996, 177868997]",False,Młynarska,residential,False,695.6569999999999,"LINESTRING (15.535434 51.5634745, 15.5357093 51.5634364, 15.5361421 51.5633478, 15.5364941 51.5631907, 15.5365758 51.5631767, 15.5366622 51.5631619, 15.5377977 51.5631087, 15.538097 51.5630703, 15.5386119 51.5630077, 15.5398764 51.5627955, 15.5400411 51.5627871, 15.5401661 51.5628135, 15.5402826 51.5628619, 15.5405317 51.5630066, 15.5405846 51.5630449, 15.540622 51.563072, 15.5406682 51.5631515, 15.5407395 51.5633836, 15.5407977 51.5635728, 15.540908 51.5638228, 15.5409281 51.56399, 15.5408777 51.5641937, 15.5408425 51.5642625, 15.5406194 51.5646984, 15.5405767 51.5648268, 15.5405706 51.5648451, 15.5405586 51.5649405, 15.5405573 51.5650358, 15.5405587 51.5650752, 15.5405612 51.5651459, 15.5405999 51.565251, 15.5406135 51.5652864, 15.5406413 51.5653586, 15.5406793 51.5654572, 15.540727 51.5655781, 15.540862 51.5658032)",yes,10,,,
"[177869000, 177869001, 38155059]",False,Zygmunta Krasińskiego,residential,False,113.72899999999998,"LINESTRING (15.535434 51.5634745, 15.5353108 51.5634888, 15.5352514 51.5634893, 15.5351005 51.5634806, 15.534786 51.5634633, 15.5345704 51.5634681, 15.5343448 51.5634857, 15.5340506 51.5635239, 15.5338267 51.5635925)",yes,,,,
"[177868992, 177868993, 1157067970, 172074919, 172074920, 1157068630]",False,3 Maja,tertiary,True,127.48400000000001,"LINESTRING (15.535434 51.5634745, 15.5354488 51.5633534, 15.5354732 51.5632485, 15.5355081 51.563132, 15.5355181 51.5630857, 15.5355667 51.5629216, 15.5356125 51.5627666, 15.5357124 51.5624291, 15.535719 51.562343)",yes,,,,
"[391176977, 391176978, 373633922]",False,Muzealna,tertiary,True,30.049000000000003,"LINESTRING (15.535434 51.5634745, 15.5354789 51.5635352, 15.5355886 51.5636834, 15.5356157 51.56372)",yes,,,,
164214511,True,Jana Kasprowicza,residential,False,69.681,"LINESTRING (15.5367992 51.5663137, 15.5366704 51.5663404, 15.5365608 51.5663434, 15.5362476 51.5663306, 15.5359668 51.5663192, 15.5357998 51.5663124)",,,,,
171874378,False,Jana Kasprowicza,residential,False,67.598,"LINESTRING (15.5367992 51.5663137, 15.5368485 51.5663008, 15.5369487 51.5662912, 15.5372996 51.5663155, 15.5375719 51.566339, 15.5377643 51.5663592)",,,,,
253841314,False,Rynek,residential,False,58.665,"LINESTRING (15.5367992 51.5663137, 15.5368367 51.5662612, 15.5368367 51.5660586, 15.536851 51.5657912)",,,,,
"[171874376, 177868998, 177868999]",False,Jana Kochanowskiego,residential,False,251.81600000000003,"LINESTRING (15.5438913 51.5671021, 15.5437279 51.5670716, 15.5437031 51.5670637, 15.5429641 51.566828, 15.5428424 51.5668182, 15.5426836 51.5668382, 15.5423439 51.566915, 15.5422901 51.5669272, 15.5421805 51.5669475, 15.5418004 51.5669467, 15.5416679 51.5669335, 15.5415188 51.5668822, 15.5413617 51.566784, 15.5412489 51.5666737, 15.5411718 51.5665759, 15.5411069 51.5664754, 15.5410596 51.5663808, 15.5410131 51.5662793)",yes,,,,
255130219,False,Bolesława Prusa,residential,False,190.054,"LINESTRING (15.5438913 51.5671021, 15.543866 51.5672563, 15.5432582 51.5680445, 15.5431699 51.5681221, 15.543032 51.5681652, 15.5423353 51.5682291, 15.5422535 51.5682366)",,,,,
