osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,tunnel,width,junction
"[660934531, 660934526, 233725671]",2,Marii Curie-Skłodowskiej,tertiary,False,False,104.066,20,"LINESTRING (16.414074 54.4210234, 16.4140462 54.4209694, 16.4140212 54.4209218, 16.4138936 54.4206659, 16.4137601 54.4204029, 16.4137298 54.4203424, 16.4136421 54.4202166, 16.4135728 54.4201358)",,,,
233725671,2,Marii Curie-Skłodowskiej,tertiary,False,True,83.207,,"LINESTRING (16.414074 54.4210234, 16.4141282 54.4211323, 16.4144374 54.4217412)",,,,
291782881,,Rynkowa,residential,True,False,67.159,,"LINESTRING (16.414074 54.4210234, 16.4139119 54.4210521, 16.4138262 54.4210673, 16.4137353 54.4210884, 16.4135755 54.4211255, 16.4131023 54.4212348)",,,,
252138161,2,Morska,tertiary,False,True,124.7,50,"LINESTRING (16.4016775 54.4245379, 16.4019588 54.4243238, 16.4027787 54.4237052, 16.402853 54.4236491)",,,,
124205445,2,Sportowa,secondary,False,True,35.647999999999996,50,"LINESTRING (16.4020244 54.4251639, 16.4021211 54.4252174, 16.4024129 54.4253912)",203,,,
177959591,,Plac Zamkowy,residential,False,True,59.63399999999999,,"LINESTRING (16.4123149 54.4196476, 16.412307 54.4195966, 16.4124741 54.4193486, 16.4125921 54.4192114, 16.4126383 54.4191519)",,,,
177959591,,Plac Zamkowy,residential,False,False,59.634,,"LINESTRING (16.4126383 54.4191519, 16.4125921 54.4192114, 16.4124741 54.4193486, 16.412307 54.4195966, 16.4123149 54.4196476)",,,,
289426748,,Szpitalna,residential,False,False,100.41600000000001,,"LINESTRING (16.4126383 54.4191519, 16.4128029 54.4190103, 16.4128735 54.4189052, 16.4130168 54.4187039, 16.4131497 54.4185407, 16.4132699 54.4184096, 16.4133283 54.4183459)",,,,
"[603736242, 660934538, 660934535]",2,Marii Curie-Skłodowskiej,tertiary,False,True,125.197,"['20', '50']","LINESTRING (16.4126383 54.4191519, 16.4126674 54.4191969, 16.4127222 54.4192609, 16.4127896 54.4193459, 16.412877 54.419454, 16.4129563 54.4195348, 16.4130861 54.4196567, 16.4133386 54.4198877, 16.4135728 54.4201358)",,,,
"[135301053, 177959589]",2,"['Podzamcze', 'Morska']",tertiary,False,False,123.403,,"LINESTRING (16.4111651 54.4208113, 16.4105289 54.420986, 16.4098255 54.4211812, 16.4094422 54.4212875)",,,,
