osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access,bridge,junction
"[955236868, 553308213]",False,5,Gabriela Narutowicza,tertiary,50,False,37.605999999999995,"LINESTRING (19.4712197 51.7720025, 19.4713281 51.7720116, 19.4715547 51.7720274, 19.4716544 51.7720343, 19.4717625 51.7720419)",,,,
593706296,True,,Gabriela Narutowicza,tertiary,50,False,18.701999999999998,"LINESTRING (19.4826181 51.7729194, 19.4826826 51.7729305, 19.482818 51.7729537, 19.48288 51.7729644)",,,,
"[4692718, 1054250422]",True,3,Doktora Stefana Kopcińskiego,primary,50,False,311.70899999999995,"LINESTRING (19.4826181 51.7729194, 19.4826193 51.7729054, 19.4826282 51.7728012, 19.4826419 51.7727131, 19.4826481 51.7726841, 19.4826705 51.7725788, 19.4826753 51.7725563, 19.4826817 51.7725275, 19.4827194 51.7723459, 19.4827694 51.7721037, 19.482814 51.7718911, 19.4828605 51.7716636, 19.4829304 51.771325, 19.4830242 51.7708721, 19.4830736 51.7706335, 19.4830971 51.7705253, 19.483178 51.770138)",14,,,
"[287957520, 1081124670]",False,,Tramwajowa,tertiary,,False,317.926,"LINESTRING (19.477197 51.7695751, 19.4771825 51.7696414, 19.4771806 51.7696504, 19.4771723 51.7696886, 19.4771684 51.7697071, 19.4771123 51.7699765, 19.4770802 51.7701308, 19.477041 51.7703173, 19.4770069 51.7704845, 19.4770021 51.7705072, 19.4769843 51.77059, 19.4769688 51.7706619, 19.4768506 51.7712282, 19.4767811 51.7715383, 19.4767567 51.7716798, 19.4767199 51.7718582, 19.4766857 51.7720196, 19.4766697 51.7720985, 19.4766352 51.7722693, 19.4766263 51.7723105, 19.4766222 51.7723275, 19.4766022 51.7724104)",,,,
431237976,False,,Węglowa,residential,,False,148.652,"LINESTRING (19.477197 51.7695751, 19.4769917 51.7695579, 19.4769005 51.7695503, 19.4768889 51.7695494, 19.4768768 51.7695484, 19.4768328 51.7695447, 19.4767981 51.7695418, 19.4760905 51.7694827, 19.4753966 51.7694247, 19.4753295 51.7694198, 19.4753036 51.7694192, 19.4752665 51.7694184, 19.4751893 51.7694206, 19.4751239 51.7694287, 19.4750572 51.7694397)",,,,
4695074,False,6,Gabriela Narutowicza,tertiary,50,True,21.321,"LINESTRING (19.4731083 51.7721565, 19.4728012 51.7721309)",,,,
10150146,True,2,Uniwersytecka,secondary,50,False,53.846000000000004,"LINESTRING (19.4731083 51.7721565, 19.4731272 51.7721725, 19.4732929 51.7723124, 19.4733404 51.7723514, 19.4735677 51.7725485)",,,,
"[865009427, 163594636]",False,5,Gabriela Narutowicza,tertiary,50,False,46.555,"LINESTRING (19.4731083 51.7721565, 19.4734702 51.7721899, 19.4735436 51.7721968, 19.4736377 51.7722051, 19.4737776 51.7722179)",,,,
10151668,True,1,,tertiary_link,,False,44.399,"LINESTRING (19.4737776 51.7722179, 19.4737585 51.7722286, 19.4736087 51.7723131, 19.4735853 51.7723282, 19.473566 51.7723428, 19.4735405 51.7723736, 19.4735269 51.7723975, 19.473518 51.7724232, 19.4735153 51.7724461, 19.4735178 51.7724694, 19.4735238 51.7724878, 19.4735338 51.7725086, 19.4735455 51.7725245, 19.4735677 51.7725485)",,,,
"[281999021, 202269719]",False,"['4', '5']",Gabriela Narutowicza,tertiary,50,False,39.354,"LINESTRING (19.4737776 51.7722179, 19.4741074 51.7722471, 19.4743438 51.772268)",,,,
"[865009427, 163594636]",False,5,Gabriela Narutowicza,tertiary,50,True,46.555,"LINESTRING (19.4737776 51.7722179, 19.4736377 51.7722051, 19.4735436 51.7721968, 19.4734702 51.7721899, 19.4731083 51.7721565)",,,,
"[202269720, 536432512]",True,"['2', '3']",Uniwersytecka,secondary,50,False,228.927,"LINESTRING (19.4735677 51.7725485, 19.4738796 51.772811, 19.4743304 51.7731903, 19.4745341 51.7733591, 19.4746048 51.7734181, 19.4752716 51.774013, 19.4754399 51.7741675, 19.4754741 51.7741973, 19.4755019 51.7742233)",,,,
