osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,access
47278954,True,Pawła Pośpiecha,residential,False,424.909,"LINESTRING (19.1908946 50.1433425, 19.190794 50.1432978, 19.1877149 50.1435054, 19.1872971 50.1435693, 19.1866929 50.1436645, 19.1850944 50.1440209)",,,,
47278956,False,Karola Olszewskiego,residential,False,156.831,"LINESTRING (19.1852418 50.1485655, 19.185174 50.1485491, 19.1850918 50.1485623, 19.1850399 50.1485835, 19.1846483 50.1488585, 19.1841742 50.1491603, 19.1836541 50.1494913)",,,,yes
64440073,False,Wyzwolenia,residential,False,24.131,"LINESTRING (19.1852418 50.1485655, 19.1853232 50.1484013, 19.185344 50.1483586)",,,,
403374113,False,Wyzwolenia,residential,True,7.415,"LINESTRING (19.185611 50.1473143, 19.1855985 50.1473805)",,,50,
403374943,False,Piotra Ściegiennego,residential,True,163.04700000000003,"LINESTRING (19.185611 50.1473143, 19.1856871 50.1473168, 19.1858339 50.1473215, 19.1865841 50.1473446, 19.1871938 50.1473814, 19.187606 50.1474262, 19.1876871 50.1474382, 19.1877786 50.1474535, 19.1878345 50.1474664, 19.1878775 50.1474773)",,,30,
47278949,False,Piotra Ściegiennego,residential,False,156.10100000000003,"LINESTRING (19.1887904 50.1486992, 19.1887353 50.1486597, 19.1886973 50.148614, 19.1886783 50.148579, 19.1886601 50.1485074, 19.1886226 50.1483392, 19.1885994 50.1482333, 19.1885694 50.1481206, 19.1885323 50.148036, 19.1884718 50.1479373, 19.1884095 50.1478595, 19.1883703 50.147818, 19.1883193 50.1477701, 19.188097 50.1475925, 19.1880292 50.1475487, 19.1879681 50.1475139, 19.1879162 50.1474911, 19.1878775 50.1474773)",,,50,
48008055,False,Zygmunta Wróblewskiego,residential,False,254.64299999999997,"LINESTRING (19.1887904 50.1486992, 19.1886253 50.1486987, 19.1885467 50.1486984, 19.1880174 50.1486844, 19.1873959 50.1486518, 19.1871405 50.1486301, 19.1868316 50.1486002, 19.186663 50.148574, 19.1865115 50.1485477, 19.186364 50.1485043, 19.1862198 50.1484555, 19.1861069 50.1484088, 19.1859829 50.1483592, 19.1859037 50.1483244, 19.1858359 50.1483067, 19.1857633 50.1483048, 19.1856956 50.1483075, 19.1854193 50.1483477, 19.185344 50.1483586)",,,,
208754665,False,Świętego Brata Alberta,tertiary,True,27.153,"LINESTRING (19.1846951 50.1448764, 19.1843802 50.1447389)",,,50,
208754674,False,Świętego Brata Alberta,tertiary,False,21.731,"LINESTRING (19.1846951 50.1448764, 19.1849419 50.1449912)",,,50,
232352039,False,Imielińska,secondary,False,66.452,"LINESTRING (19.1901745 50.1437222, 19.1908946 50.1433425)",2,934,50,
