osmid,highway,oneway,reversed,length,geometry,name,ref,maxspeed,lanes,width,bridge
617166593,living_street,False,False,472.619,"LINESTRING (20.9013995 49.3593152, 20.9013174 49.3593609, 20.9012098 49.3594264, 20.9011059 49.3594573, 20.9009589 49.3594823, 20.9008723 49.3594826, 20.9007404 49.3594673, 20.8998767 49.359291, 20.8996451 49.3592349, 20.8992964 49.3591105, 20.8990223 49.3589756, 20.897819 49.3582718, 20.8975987 49.3581404, 20.8974218 49.3580454, 20.8971783 49.3579251, 20.8970203 49.3578541, 20.8969469 49.3578155, 20.8967857 49.3577041, 20.8963782 49.3574923, 20.896153 49.3573748, 20.8960661 49.3573327)",,,,,,
838517872,residential,False,False,32.972,"LINESTRING (20.9013995 49.3593152, 20.9014235 49.3593417, 20.9014504 49.3594037, 20.9014732 49.3594666, 20.9014785 49.3595301, 20.9014699 49.359603)",Kościelna,,,,,
838517872,residential,False,True,239.943,"LINESTRING (20.9013995 49.3593152, 20.9013327 49.3592579, 20.9010405 49.3590606, 20.898949 49.3578661)",Kościelna,,,,,
"[245336931, 704218876]",secondary,True,False,105.52600000000001,"LINESTRING (20.9029138 49.3597465, 20.9026722 49.3597399, 20.9025269 49.3597351, 20.9020709 49.3597146, 20.9014619 49.3596707)",Grunwaldzka,971,50,2,,
704218873,residential,False,False,6.346,"LINESTRING (20.9029138 49.3597465, 20.9029167 49.3597085, 20.9029181 49.3596895)",,,,,,
463324649,tertiary,False,True,55.599000000000004,"LINESTRING (20.8935672 49.351703, 20.8934649 49.3518653, 20.8932707 49.3521642)",Józefa Piłsudskiego,,,,7,
101082064,residential,True,False,91.223,"LINESTRING (20.8952971 49.3542956, 20.8952424 49.3543296, 20.8947903 49.3546068, 20.8944082 49.3547992, 20.8943653 49.3548432)",Krzywa,,,,,
"[704218880, 421965881]",residential,False,False,145.692,"LINESTRING (20.8952971 49.3542956, 20.8952062 49.354241, 20.8948199 49.3539859, 20.8944693 49.3536967, 20.8940073 49.3532938)",Józefa Piłsudskiego,,,3,,
421965881,residential,False,True,46.18299999999999,"LINESTRING (20.8952971 49.3542956, 20.8953845 49.3543556, 20.8957358 49.354597)",Józefa Piłsudskiego,,,,,
349351120,residential,False,True,27.971,"LINESTRING (20.8957358 49.354597, 20.8959792 49.3547923)",Józefa Piłsudskiego,,,,,
421965881,residential,False,False,46.18299999999999,"LINESTRING (20.8957358 49.354597, 20.8953845 49.3543556, 20.8952971 49.3542956)",Józefa Piłsudskiego,,,,,
"[27161778, 101082045, 101081966]",residential,False,"[False, True]",355.87699999999995,"LINESTRING (20.8964764 49.3554126, 20.8967 49.3557138, 20.89672 49.3557313, 20.8970241 49.3559982, 20.8970796 49.356045, 20.8971402 49.3560914, 20.8972707 49.3561915, 20.8973689 49.3562609, 20.897433 49.3563062, 20.8975575 49.3562415, 20.8979943 49.3560025, 20.89809 49.3559833, 20.8981893 49.3559849, 20.8982899 49.3560298, 20.9 49.35691)","['Rynek', 'Rolanda']",,,,,
101081998,residential,False,False,35.159,"LINESTRING (20.8964764 49.3554126, 20.8964281 49.355335, 20.8962697 49.3551267)",Józefa Piłsudskiego,,,,,
349351120,residential,False,False,27.971,"LINESTRING (20.8959792 49.3547923, 20.8957358 49.354597)",Józefa Piłsudskiego,,,,,
101081998,residential,False,True,42.757000000000005,"LINESTRING (20.8959792 49.3547923, 20.8960832 49.3548975, 20.8962697 49.3551267)",Józefa Piłsudskiego,,,,,
138210012,residential,True,False,107.663,"LINESTRING (20.8959792 49.3547923, 20.8960397 49.3547587, 20.8963075 49.3545836, 20.8965537 49.3544053, 20.8967514 49.3542501, 20.8969171 49.3540495)",Ogrodowa,,,,,
571437760,residential,False,True,45.232,"LINESTRING (20.8948293 49.3551135, 20.8946071 49.354966, 20.8945178 49.3549127, 20.8943653 49.3548432)",Antoniego Kity,,,,,
