osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access,junction
27310635,False,2,Jana III Sobieskiego,tertiary,50,False,36.172,"LINESTRING (16.8746133 52.3423902, 16.8745827 52.3423453, 16.8745629 52.3423058, 16.8745518 52.3422707, 16.8745443 52.342231, 16.8745398 52.3421894, 16.8745345 52.3420715)",,,
141499392,False,2,Żabikowska,tertiary,50,True,90.114,"LINESTRING (16.8746133 52.3423902, 16.8746683 52.3424391, 16.8747411 52.3425016, 16.8748954 52.3426376, 16.8751622 52.3428721, 16.8753698 52.3430559)",,,
172343500,True,1,Żabikowska,tertiary,50,False,48.064,"LINESTRING (16.8746133 52.3423902, 16.8745535 52.3423426, 16.8745147 52.3423098, 16.8744723 52.3422743, 16.8744126 52.3422221, 16.8743594 52.3421744, 16.8743081 52.3421262, 16.8742116 52.3420346)",,,
339503261,True,,,tertiary,50,False,22.659,"LINESTRING (16.8742116 52.3420346, 16.8742695 52.3420522, 16.8743166 52.3420616, 16.8743693 52.3420685, 16.874428 52.3420717, 16.8744791 52.3420716, 16.8745345 52.3420715)",,,
572616673,False,3,Żabikowska,tertiary,50,False,22.183,"LINESTRING (16.8784246 52.34581, 16.8782586 52.3456382)",,,
190055039,True,2,1 Listopada,tertiary,50,False,19.878,"LINESTRING (16.8784246 52.34581, 16.8783174 52.3458529, 16.8782714 52.3458718, 16.8781755 52.3459035)",,,
356789699,False,2,Kazimierza Pułaskiego,tertiary,,True,96.246,"LINESTRING (16.8784246 52.34581, 16.8785441 52.3457636, 16.8785755 52.3457524, 16.878607 52.3457412, 16.8787253 52.3457009, 16.8788545 52.3456572, 16.878934 52.3456322, 16.8790092 52.3456111, 16.8790747 52.3455946, 16.8791549 52.3455755, 16.8792408 52.3455577, 16.8793112 52.3455457, 16.8793816 52.3455349, 16.8794553 52.3455255, 16.8795344 52.3455175, 16.879633 52.3455097, 16.8797316 52.3455046)",,,
839713120,False,3,Żabikowska,tertiary,50,True,23.712,"LINESTRING (16.8784246 52.34581, 16.8785817 52.3459648, 16.8786111 52.3459902)",,,
141499388,False,2,Żabikowska,tertiary,50,False,31.314,"LINESTRING (16.8808878 52.3487794, 16.8808309 52.3486311, 16.8808287 52.3486253, 16.8807827 52.3485052)",,,
245437746,False,3,Powstańców Wielkopolskich,tertiary,,True,65.29599999999999,"LINESTRING (16.8808878 52.3487794, 16.8811196 52.3487315, 16.8811849 52.3487171, 16.8813957 52.3486726, 16.8817966 52.348588)",,,
"[245437752, 245437756]",False,4,Żabikowska,tertiary,50,True,84.527,"LINESTRING (16.8808878 52.3487794, 16.8809328 52.3488969, 16.8809491 52.3489395, 16.8810433 52.34916, 16.8811051 52.3493003, 16.8811974 52.3495156)",,,
26610116,True,,Jana Kilińskiego,residential,,False,265.22400000000005,"LINESTRING (16.8720415 52.3461123, 16.87204 52.3461415, 16.8720405 52.3461674, 16.8720411 52.3462017, 16.8720448 52.3462721, 16.8720492 52.3463229, 16.8720537 52.3463733, 16.8720595 52.3464204, 16.8720694 52.3464832, 16.8720836 52.3465521, 16.8721079 52.3466272, 16.8721283 52.34668, 16.8721488 52.3467205, 16.8721803 52.3467769, 16.8722108 52.3468228, 16.872241 52.3468681, 16.8722747 52.3469088, 16.8723104 52.3469471, 16.8723581 52.3469912, 16.8726786 52.347274, 16.8736793 52.3481582, 16.8737283 52.3482002)",,,
26610117,False,2,Jana Kilińskiego,residential,,False,63.304,"LINESTRING (16.8720415 52.3461123, 16.8720455 52.3460616, 16.8720501 52.3460159, 16.8720874 52.3456219, 16.8720914 52.3455942, 16.8720987 52.3455441)",,,
1083169418,False,2,Tadeusza Kościuszki,tertiary,50,False,58.438,"LINESTRING (16.8737283 52.3482002, 16.8743835 52.3478596)",7,,
