osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel,access
700918783,2,Wojska Polskiego,secondary,False,True,20.118,"LINESTRING (17.3832037 51.2129521, 17.3829171 51.2129745)",,,,
32754290,3,Wojska Polskiego,secondary,False,False,55.370999999999995,"LINESTRING (17.3832037 51.2129521, 17.3834043 51.2129372, 17.3839931 51.2128935)",,,,
699706966,1,Plac Stanisława Staszica,tertiary,True,False,28.296,"LINESTRING (17.3832037 51.2129521, 17.3831482 51.2129175, 17.3830924 51.2128727, 17.3830169 51.2127972, 17.3829586 51.2127502)",50,,,
103604877,1,Plac Stanisława Staszica,tertiary,True,False,33.96,"LINESTRING (17.3829948 51.2126846, 17.3831355 51.2127991, 17.3831586 51.2128246, 17.3831724 51.2128399, 17.3831952 51.2129066, 17.3832037 51.2129521)",50,,,
"[699706969, 699706970]",1,Plac Stanisława Staszica,tertiary,True,False,75.102,"LINESTRING (17.3829948 51.2126846, 17.3832047 51.2127813, 17.3833036 51.2128129, 17.3833779 51.212829, 17.3835459 51.2128665, 17.3836239 51.2128756, 17.3839931 51.2128935)",50,,,
28013156,2,Rzemieślnicza,tertiary,False,False,115.77499999999999,"LINESTRING (17.3801463 51.2122669, 17.3804339 51.212336, 17.3806638 51.2123825, 17.3807731 51.2123994, 17.3808685 51.2124117, 17.381013 51.2124248, 17.3811347 51.2124343, 17.3811995 51.212438, 17.3813746 51.2124425, 17.3814726 51.2124415, 17.3815447 51.2124401, 17.3816135 51.2124374, 17.3816758 51.2124337, 17.3817668 51.2124258)",,,,
28013156,2,Rzemieślnicza,tertiary,False,True,147.527,"LINESTRING (17.3801463 51.2122669, 17.3801143 51.2122596, 17.3799184 51.2122149, 17.3795344 51.2121194, 17.3793221 51.2120662, 17.378971 51.21198, 17.3784321 51.2118476, 17.3781735 51.2117844)",,,,
305671151,,Rzemieślnicza,residential,False,True,101.277,"LINESTRING (17.3801463 51.2122669, 17.3801063 51.2123353, 17.3798867 51.2127091, 17.3798759 51.2127247, 17.3798043 51.2128283, 17.3797566 51.2128975, 17.379608 51.2131126)",,,,
699712242,1,Rondo 750-lecia Oleśnicy,tertiary,True,False,4.093999999999999,"LINESTRING (17.3822428 51.212302, 17.3822464 51.2122837, 17.3822554 51.2122662)",50,roundabout,,
427799223,1,Jana Matejki,residential,True,False,33.125,"LINESTRING (17.3822554 51.2122662, 17.3822225 51.212225, 17.3821715 51.2121811, 17.3820051 51.2120133)",50,,,
